,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,674062.0,342331.0,331731.0,504770.0,257625.0,247145.0,169292.0,84706.0,84586.0,213275.0,103261.0,110014.0,172499.0,82842.0,89657.0,40776.0,20419.0,20357.0,341148.0,170020.0,171128.0,252363.0,128493.0,123870.0,88785.0,41527.0,47258.0,119639.0,69050.0,50589.0,79908.0,46290.0,33618.0,39731.0,22760.0,16971.0
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",5486.0,1210.0,4276.0,5408.0,1210.0,4198.0,78.0,0.0,78.0,4100.0,1210.0,2890.0,4022.0,1210.0,2812.0,78.0,0.0,78.0,1055.0,0.0,1055.0,1055.0,0.0,1055.0,0.0,0.0,0.0,331.0,0.0,331.0,331.0,0.0,331.0,0.0,0.0,0.0
2,Tompkins County PUMA,3045.0,1097.0,1948.0,2604.0,1043.0,1561.0,441.0,54.0,387.0,2221.0,584.0,1637.0,1780.0,530.0,1250.0,441.0,54.0,387.0,824.0,513.0,311.0,824.0,513.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,8080.0,3525.0,4555.0,5893.0,2496.0,3397.0,2187.0,1029.0,1158.0,2219.0,812.0,1407.0,1452.0,589.0,863.0,767.0,223.0,544.0,4575.0,2087.0,2488.0,3253.0,1281.0,1972.0,1322.0,806.0,516.0,1286.0,626.0,660.0,1188.0,626.0,562.0,98.0,0.0,98.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",21546.0,10985.0,10561.0,15341.0,8451.0,6890.0,6205.0,2534.0,3671.0,5469.0,2502.0,2967.0,4370.0,2178.0,2192.0,1099.0,324.0,775.0,14648.0,7842.0,6806.0,10316.0,6111.0,4205.0,4332.0,1731.0,2601.0,1429.0,641.0,788.0,655.0,162.0,493.0,774.0,479.0,295.0
5,Madison & Cortland Counties PUMA,39.0,39.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,11180.0,5182.0,5998.0,7490.0,3697.0,3793.0,3690.0,1485.0,2205.0,1413.0,727.0,686.0,1413.0,727.0,686.0,0.0,0.0,0.0,7548.0,2856.0,4692.0,4199.0,1483.0,2716.0,3349.0,1373.0,1976.0,2219.0,1599.0,620.0,1878.0,1487.0,391.0,341.0,112.0,229.0
7,Dutchess County (Southwest) PUMA,2845.0,1911.0,934.0,1657.0,999.0,658.0,1188.0,912.0,276.0,916.0,648.0,268.0,916.0,648.0,268.0,0.0,0.0,0.0,1338.0,672.0,666.0,741.0,351.0,390.0,597.0,321.0,276.0,591.0,591.0,0.0,0.0,0.0,0.0,591.0,591.0,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",14869.0,6626.0,8243.0,11134.0,4999.0,6135.0,3735.0,1627.0,2108.0,2179.0,903.0,1276.0,1974.0,749.0,1225.0,205.0,154.0,51.0,10143.0,4279.0,5864.0,7548.0,3438.0,4110.0,2595.0,841.0,1754.0,2547.0,1444.0,1103.0,1612.0,812.0,800.0,935.0,632.0,303.0
9,Dutchess County (North & East) PUMA,1795.0,1153.0,642.0,1795.0,1153.0,642.0,0.0,0.0,0.0,121.0,20.0,101.0,121.0,20.0,101.0,0.0,0.0,0.0,971.0,658.0,313.0,971.0,658.0,313.0,0.0,0.0,0.0,703.0,475.0,228.0,703.0,475.0,228.0,0.0,0.0,0.0
