,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,87.15772805288245,91.54814305725333,82.65302277510726,81.39441260059104,87.46169312340895,74.36220294866615,81.10269021917868,87.6359938993391,69.13317050958314
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",93.5881627620222,100.0,90.31957803288861,69.55307262569832,#DIV/0!,69.55307262569832,#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,89.35611038107753,78.54304635761589,100.0,91.40625,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,77.14038627846642,84.80926430517711,71.51424287856072,81.32780082987551,91.84156074490097,70.75780089153047,96.18279569892472,100.0,91.20198265179678
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",90.76086956521739,97.40144692160048,83.16731386121897,85.86248099065827,87.20603890448079,84.14407723728185,87.45519713261649,96.35732870771899,77.94253938832252
5,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,95.01298701298701,100.0,92.49413604378421,93.72965322009908,100.0,88.26490066225165,71.19715527459502,64.71442400774443,100.0
7,Dutchess County (Southwest) PUMA,88.45644691554143,77.75510204081633,100.0,57.84789644012945,60.95808383233533,51.3715710723192,72.78325123152709,81.51724137931035,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",84.98727735368958,92.54901960784314,81.35593220338984,86.4566188572772,95.3764861294584,76.2361251261352,54.45903123585333,76.18636755823987,30.476190476190478
9,Dutchess County (North & East) PUMA,77.79017857142857,100.0,72.0112517580872,85.96165739022882,96.87092568448502,76.11764705882354,73.34183673469387,62.410071942446045,100.0
10,Erie County (Central) PUMA,84.6938775510204,82.52427184466019,100.0,90.30837004405286,100.0,50.0,0.0,0.0,#DIV/0!
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,78.96440129449837,51.515151515151516,87.3942470389171,76.3785046728972,83.18512530315279,67.05426356589147,50.255536626916516,53.73364126250962,40.476190476190474
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",42.66666666666667,56.25,32.55813953488372,100.0,100.0,100.0,100.0,100.0,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,90.43032786885246,97.02290076335878,82.78761061946904,88.70835608956854,88.12641083521444,89.59917069799586,72.76982378854625,85.39765319426337,50.93914350112697
14,Westchester County (Northeast) PUMA,92.41192411924119,100.0,88.54219948849105,85.17226341037941,89.42307692307693,83.19488817891374,100.0,100.0,#DIV/0!
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,88.62925099102858,97.68841038632046,71.131498470948,75.92592592592592,100.0,52.610837438423644,96.78096571028692,100.0,86.10271903323263
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,100.0,#DIV/0!,100.0,79.39698492462311,69.17293233082707,100.0,100.0,100.0,100.0
