,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,389971.0,190834.0,199137.0,197849.0,94755.0,103094.0,192122.0,96079.0,96043.0,201957.0,94778.0,107179.0,100035.0,48416.0,51619.0,101922.0,46362.0,55560.0,158976.0,80806.0,78170.0,80653.0,37678.0,42975.0,78323.0,43128.0,35195.0,29038.0,15250.0,13788.0,17161.0,8661.0,8500.0,11877.0,6589.0,5288.0
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2317.0,509.0,1808.0,944.0,48.0,896.0,1373.0,461.0,912.0,1766.0,434.0,1332.0,676.0,48.0,628.0,1090.0,386.0,704.0,283.0,75.0,208.0,0.0,0.0,0.0,283.0,75.0,208.0,268.0,0.0,268.0,268.0,0.0,268.0,0.0,0.0,0.0
2,Tompkins County PUMA,1047.0,520.0,527.0,430.0,190.0,240.0,617.0,330.0,287.0,1047.0,520.0,527.0,430.0,190.0,240.0,617.0,330.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4830.0,2197.0,2633.0,2120.0,1092.0,1028.0,2710.0,1105.0,1605.0,1335.0,623.0,712.0,1042.0,569.0,473.0,293.0,54.0,239.0,2711.0,1574.0,1137.0,889.0,523.0,366.0,1822.0,1051.0,771.0,784.0,0.0,784.0,189.0,0.0,189.0,595.0,0.0,595.0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4586.0,2340.0,2246.0,3538.0,1677.0,1861.0,1048.0,663.0,385.0,1223.0,725.0,498.0,1035.0,579.0,456.0,188.0,146.0,42.0,2299.0,972.0,1327.0,1439.0,455.0,984.0,860.0,517.0,343.0,1064.0,643.0,421.0,1064.0,643.0,421.0,0.0,0.0,0.0
5,Madison & Cortland Counties PUMA,531.0,321.0,210.0,128.0,128.0,0.0,403.0,193.0,210.0,315.0,191.0,124.0,128.0,128.0,0.0,187.0,63.0,124.0,216.0,130.0,86.0,0.0,0.0,0.0,216.0,130.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,483.0,194.0,289.0,77.0,34.0,43.0,406.0,160.0,246.0,246.0,0.0,246.0,0.0,0.0,0.0,246.0,0.0,246.0,237.0,194.0,43.0,77.0,34.0,43.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dutchess County (Southwest) PUMA,638.0,443.0,195.0,254.0,59.0,195.0,384.0,384.0,0.0,253.0,133.0,120.0,179.0,59.0,120.0,74.0,74.0,0.0,310.0,310.0,0.0,0.0,0.0,0.0,310.0,310.0,0.0,75.0,0.0,75.0,75.0,0.0,75.0,0.0,0.0,0.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1003.0,784.0,219.0,102.0,0.0,102.0,901.0,784.0,117.0,117.0,0.0,117.0,0.0,0.0,0.0,117.0,0.0,117.0,736.0,634.0,102.0,102.0,0.0,102.0,634.0,634.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,150.0,150.0,0.0
9,Dutchess County (North & East) PUMA,1052.0,474.0,578.0,946.0,474.0,472.0,106.0,0.0,106.0,213.0,112.0,101.0,213.0,112.0,101.0,0.0,0.0,0.0,839.0,362.0,477.0,733.0,362.0,371.0,106.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
