,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,267365,158604,108761,82902.59903502703,93638,67246,154374,81366,73008,105345.17475740734,129290,78658,96805,64879,31926,51822.86548215485,55561,44225,16186,12359,3827,54737.7295193377,58811,41582
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1224,494,730,95180.22875816993,103663,89439,1224,494,730,95180.22875816993,103663,89439,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
2,Tompkins County PUMA,922,520,402,132609.4360086768,205819,37910,922,520,402,132609.4360086768,205819,37910,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2640,2170,470,156517.14772727274,147113,199931,891,569,322,325704.8260381594,354859,274186,1661,1601,60,71933.9373871162,73280,36000,88,0,88,40000.0,0,40000
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2648,2066,582,50946.525679758306,53662,41305,826,626,200,67629.53995157385,67006,69580,1220,924,296,34362.62295081967,37299,25194,602,516,86,61664.45182724253,66775,31000
5,Madison & Cortland Counties PUMA,383,173,210,166204.96083550915,341419,21861,297,173,124,213173.40067340067,341419,34250,86,0,86,4000.0,0,4000,0,0,0,#DIV/0!,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,34,34,0,71000.0,71000,0,0,0,0,#DIV/0!,0,0,34,34,0,71000.0,71000,0,0,0,0,#DIV/0!,0,0
7,Dutchess County (Southwest) PUMA,354,310,44,31384.18079096045,20935,105000,44,0,44,105000.0,0,105000,310,310,0,20935.483870967742,20935,0,0,0,0,#DIV/0!,0,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",853,634,219,54479.484173505276,50173,66945,117,0,117,73000.0,0,73000,736,634,102,51535.32608695652,50173,60000,0,0,0,#DIV/0!,0,0
9,Dutchess County (North & East) PUMA,795,424,371,73091.82389937107,100297,42000,62,62,0,57000.0,57000,0,733,362,371,74452.93315143247,107712,42000,0,0,0,#DIV/0!,0,0
10,Erie County (Central) PUMA,1463,507,956,37072.686261107316,25093,43425,401,0,401,62015.56109725686,0,62015,935,445,490,26704.919786096256,21623,31319,127,62,65,34645.669291338585,50000,20000
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1377,758,619,71405.80973129993,86341,53116,764,411,353,85994.50261780104,105744,63000,379,225,154,58168.8654353562,70604,40000,234,122,112,45213.67521367521,50000,40000
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",362,170,192,171901.65745856354,55672,274812,131,47,84,408687.0229007634,90000,587000,28,28,0,12800.0,12800,0,203,95,108,41044.33497536946,51326,32000
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2804,1836,968,57109.5577746077,61997,47839,1996,1421,575,60048.947895791585,71076,32797,808,415,393,49848.39108910891,30909,69847,0,0,0,#DIV/0!,0,0
14,Westchester County (Northeast) PUMA,1740,1217,523,108611.6091954023,120641,80619,1285,762,523,133522.9571984436,169833,80619,379,379,0,31892.348284960422,31892,0,76,76,0,70000.0,70000,0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,881,405,476,103196.67763904654,92813,112031,662,186,476,113324.77341389727,116634,112031,219,219,0,72581.15525114155,72581,0,0,0,0,#DIV/0!,0,0
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,1035,787,248,81203.2850241546,93597,41872,367,296,71,132201.6348773842,150000,58000,606,429,177,55761.38613861386,64160,35403,62,62,0,28000.0,28000,0
18,Niagara County (North & East) PUMA,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1115,984,131,51988.340807174885,55216,27740,426,353,73,33476.525821596246,36677,18000,455,455,0,68375.82417582418,68375,0,234,176,58,53824.78632478633,58380,40000
20,"Chenango, Delaware & Broome (East) Counties PUMA",26,26,0,100000.0,100000,0,26,26,0,100000.0,100000,0,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
21,Oswego County PUMA,346,0,346,57633.23699421965,0,57633,346,0,346,57633.23699421965,0,57633,0,0,0,#DIV/0!,0,0,0,0,0,#DIV/0!,0,0
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",722,508,214,73945.98337950138,84523,48836,411,197,214,44615.57177615572,40030,48836,311,311,0,112707.39549839229,112707,0,0,0,0,#DIV/0!,0,0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3204,1971,1233,68476.24843945069,80411,49396,2055,1232,823,76505.0608272506,89748,56680,951,577,374,50544.689800210304,60031,35909,198,162,36,71272.72727272728,82000,23000
24,Ontario & Yates Counties PUMA,265,177,88,410182.641509434,599200,30000,177,177,0,599200.0,599200,0,0,0,0,#DIV/0!,0,0,88,0,88,30000.0,0,30000
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",996,770,226,72673.5642570281,80228,46931,772,546,226,84429.4689119171,99950,46931,224,224,0,32157.678571428572,32157,0,0,0,0,#DIV/0!,0,0
26,Erie County (Northwest) PUMA,639,492,147,37870.86071987481,31330,59761,187,187,0,12308.449197860962,12308,0,382,305,77,51460.20942408377,42992,85000,70,0,70,32000.0,0,32000
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,6262,3038,3224,48942.733950814436,60479,38071,3253,1239,2014,45584.826314171536,66805,32530,2642,1564,1078,48411.79409538228,50254,45737,367,235,132,82528.61035422343,95182,60000
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1434,1258,176,53751.11576011158,53681,54250,355,278,77,83847.88732394367,92669,52000,783,783,0,41857.08812260536,41857,0,296,197,99,49118.24324324324,45659,56000
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",6309,4001,2308,178741.52797590743,205287,132722,6183,4001,2182,181365.08167556202,205287,137499,126,0,126,50000.0,0,50000,0,0,0,#DIV/0!,0,0
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",194,194,0,35000.0,35000,0,0,0,0,#DIV/0!,0,0,194,194,0,35000.0,35000,0,0,0,0,#DIV/0!,0,0
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,10420,6017,4403,50986.87619961612,43333,61445,5090,2214,2876,57651.424361493126,39691,71476,4848,3321,1527,46317.4504950495,48048,42552,482,482,0,27573.651452282156,27573,0
32,Erie County (West Central)--Buffalo City (West) PUMA,626,296,330,58115.015974440896,85506,33545,405,75,330,30000.0,14400,33545,221,221,0,109638.00904977375,109638,0,0,0,0,#DIV/0!,0,0
33,Schenectady County--Schenectady City PUMA,1153,832,321,72649.26279271465,83213,45266,620,409,211,67707.41935483871,74801,53955,533,423,110,78397.74859287054,91347,28600,0,0,0,#DIV/0!,0,0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1625,1304,321,198276.8,212066,142257,1425,1104,321,217013.7403508772,238749,142257,200,200,0,64776.1,64776,0,0,0,0,#DIV/0!,0,0
