,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,392487,192574,199913,327582,161401,166181,64905,31173,33732,202622,95213,107409,180149,85704,94445,22473,9509,12964,160356,81640,78716,125765,64424,61341,34591,17216,17375,29509,15721,13788,21668,11273,10395,7841,4448,3393
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",2377,569,1808,2120,569,1551,257,0,257,1826,494,1332,1569,494,1075,257,0,257,283,75,208,283,75,208,0,0,0,268,0,268,268,0,268,0,0,0
2,Tompkins County PUMA,1047,520,527,934,520,414,113,0,113,1047,520,527,934,520,414,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,4857,2224,2633,3807,2018,1789,1050,206,844,1335,623,712,1335,623,712,0,0,0,2738,1601,1137,1761,1395,366,977,206,771,784,0,784,711,0,711,73,0,73
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4586,2340,2246,4140,2139,2001,446,201,245,1223,725,498,1044,725,319,179,0,179,2299,972,1327,2111,850,1261,188,122,66,1064,643,421,985,564,421,79,79,0
5,Madison & Cortland Counties PUMA,534,324,210,531,321,210,3,3,0,315,191,124,315,191,124,0,0,0,219,133,86,216,130,86,3,3,0,0,0,0,0,0,0,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,483,194,289,346,194,152,137,0,137,246,0,246,109,0,109,137,0,137,237,194,43,237,194,43,0,0,0,0,0,0,0,0,0,0,0,0
7,Dutchess County (Southwest) PUMA,638,443,195,562,443,119,76,0,76,253,133,120,177,133,44,76,0,76,310,310,0,310,310,0,0,0,0,75,0,75,75,0,75,0,0,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",1003,784,219,1003,784,219,0,0,0,117,0,117,117,0,117,0,0,0,736,634,102,736,634,102,0,0,0,150,150,0,150,150,0,0,0,0
9,Dutchess County (North & East) PUMA,1052,474,578,1052,474,578,0,0,0,213,112,101,213,112,101,0,0,0,839,362,477,839,362,477,0,0,0,0,0,0,0,0,0,0,0,0
