,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,318557,174618,143939,300137,165121,135016,18420,9497,8923,173151,87512,85639,163917,83055,80862,9234,4457,4777,125089,73228,51861,117232,69035,48197,7857,4193,3664,20317,13878,6439,18988,13031,5957,1329,847,482
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1984,521,1463,1315,60,1255,669,461,208,1433,446,987,1047,60,987,386,386,0,283,75,208,0,0,0,283,75,208,268,0,268,268,0,268,0,0,0
2,Tompkins County PUMA,922,520,402,922,520,402,0,0,0,922,520,402,922,520,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,3661,2224,1437,3351,2170,1181,310,54,256,1044,623,421,951,569,382,93,54,39,2456,1601,855,2239,1601,638,217,0,217,161,0,161,161,0,161,0,0,0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3360,2029,1331,3267,2029,1238,93,0,93,879,679,200,879,679,200,0,0,0,1740,834,906,1647,834,813,93,0,93,741,516,225,741,516,225,0,0,0
5,Madison & Cortland Counties PUMA,315,191,124,315,191,124,0,0,0,315,191,124,315,191,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,303,194,109,303,194,109,0,0,0,109,0,109,109,0,109,0,0,0,194,194,0,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dutchess County (Southwest) PUMA,504,384,120,428,384,44,76,0,76,194,74,120,118,74,44,76,0,76,310,310,0,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",922,703,219,853,634,219,69,69,0,117,0,117,117,0,117,0,0,0,736,634,102,736,634,102,0,0,0,69,69,0,0,0,0,69,69,0
9,Dutchess County (North & East) PUMA,1052,474,578,1006,474,532,46,0,46,213,112,101,213,112,101,0,0,0,839,362,477,793,362,431,46,0,46,0,0,0,0,0,0,0,0,0
