,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,267069,158373,108696,243743,141225,102518,23326,17148,6178,154150,81207,72943,146928,77627,69301,7222,3580,3642,96733,64807,31926,83344,53954,29390,13389,10853,2536,16186,12359,3827,13471,9644,3827,2715,2715,0
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",1224,494,730,1224,494,730,0,0,0,1224,494,730,1224,494,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tompkins County PUMA,922,520,402,809,520,289,113,0,113,922,520,402,809,520,289,113,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2640,2170,470,2374,1964,410,266,206,60,891,569,322,891,569,322,0,0,0,1661,1601,60,1395,1395,0,266,206,60,88,0,88,88,0,88,0,0,0
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2648,2066,582,2574,1992,582,74,74,0,826,626,200,826,626,200,0,0,0,1220,924,296,1146,850,296,74,74,0,602,516,86,602,516,86,0,0,0
5,Madison & Cortland Counties PUMA,383,173,210,383,173,210,0,0,0,297,173,124,297,173,124,0,0,0,86,0,86,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,34,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dutchess County (Southwest) PUMA,354,310,44,354,310,44,0,0,0,44,0,44,44,0,44,0,0,0,310,310,0,310,310,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",853,634,219,853,634,219,0,0,0,117,0,117,117,0,117,0,0,0,736,634,102,736,634,102,0,0,0,0,0,0,0,0,0,0,0,0
9,Dutchess County (North & East) PUMA,795,424,371,795,424,371,0,0,0,62,62,0,62,62,0,0,0,0,733,362,371,733,362,371,0,0,0,0,0,0,0,0,0,0,0,0
10,Erie County (Central) PUMA,1463,507,956,1049,274,775,414,233,181,401,0,401,401,0,401,0,0,0,935,445,490,521,212,309,414,233,181,127,62,65,127,62,65,0,0,0
