,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,36.93543045814767,33.177822521239506,40.2325667290456
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",#DIV/0!,#DIV/0!,#DIV/0!
2,Tompkins County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,5.905006418485238,5.874499332443257,5.946601941747573
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",38.86855241264559,45.80140734949179,30.986666666666668
5,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,39.12855910267472,16.666666666666664,48.531211750306
7,Dutchess County (Southwest) PUMA,100.0,#DIV/0!,100.0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",33.66268697680802,56.799513233951934,14.649999999999999
9,Dutchess County (North & East) PUMA,100.0,100.0,100.0
10,Erie County (Central) PUMA,100.0,100.0,#DIV/0!
11,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,53.43511450381679,46.52686762778506,61.2094395280236
12,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,45.67723342939482,40.35259549461313,50.80113100848256
14,Westchester County (Northeast) PUMA,28.614277144571087,11.458333333333332,100.0
15,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,100.0,100.0,#DIV/0!
16,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,#DIV/0!,0.0
17,Nassau County (Central)--Hempstead Town (East Central) PUMA,100.0,100.0,#DIV/0!
18,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
19,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",84.61538461538461,60.0,100.0
20,"Chenango, Delaware & Broome (East) Counties PUMA",100.0,#DIV/0!,100.0
21,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
22,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",100.0,#DIV/0!,100.0
23,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,40.61757719714964,49.00662251655629,35.92592592592593
24,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",44.12829798241076,24.92063492063492,53.41519570222564
26,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
27,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,46.9431315749352,40.702901512055575,50.65661478599222
28,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",54.002254791431795,39.4811320754717,75.56022408963585
29,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",88.3357041251778,100.0,82.62711864406779
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",26.2336867862969,16.96813092161929,34.56622773044152
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,29.592350276799195,20.19621109607578,38.83527454242928
32,Erie County (West Central)--Buffalo City (West) PUMA,16.48414985590778,0.0,28.121927236971484
33,Schenectady County--Schenectady City PUMA,0.0,0.0,0.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,0.0,0.0
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,39.30878552971576,34.554597701149426,43.1924882629108
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,100.0,100.0,100.0
38,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,14.447236180904522,0.0,48.319327731092436
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",36.9120175027348,43.250950570342205,30.74313906876349
42,Erie County (West Central)--Buffalo City (East) PUMA,100.0,#DIV/0!,100.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,#DIV/0!,#DIV/0!,#DIV/0!
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,12.251547735418704,0.0,20.291419320021586
45,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
46,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,100.0,100.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",19.19087136929461,0.0,23.38811630847029
48,Erie County (South) PUMA,100.0,#DIV/0!,100.0
49,Albany County (Outside Albany City) PUMA,0.0,#DIV/0!,0.0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0
51,Erie County (North Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",100.0,100.0,#DIV/0!
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",34.71464019851116,34.91231414410979,34.49989645889418
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,#DIV/0!
