,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,-0.3554997756633526,-0.12035748349585242,0.07280191079589514,-0.8371262934053151,0.07402903847236268,0.0860128681058126,-0.3175780966469333,-0.19967397597676897,-0.24155333574433355,-0.14558020623018975,0.1849391786210143,-0.013905031522518884,-0.04216231951808728,-0.2922533078996231,-0.3320170525995704,-0.1260760106990441,C-,C,C,D,C,C,C-,C,C,C,C,C,C-,C,C-,C
1,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.7794384044388987,0.2965274726780321,0.07603881614347757,#DIV/0!,0.36623367504575927,-0.6097731275442959,0.6910298436901868,#DIV/0!,0.8914033982928746,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,B,B-,C,#DIV!0,B-,C-,B-,#DIV!0,B,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
2,Tompkins County PUMA,#DIV/0!,-0.4107914276152512,-0.5371503221211391,0.6442131380483259,#DIV/0!,-0.4659036692497338,-0.6910067743770404,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,C-,C-,B-,#DIV!0,C-,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
3,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,-1.2851942369263039,-0.6187321641817696,#DIV/0!,#DIV/0!,#DIV/0!,-0.6367543067106637,-0.7546944849633328,#DIV/0!,-0.5322998090574613,-0.03687363451205864,0.29662697705206925,0.14629235312235617,0.3518000063402299,0.1989322552926091,-0.48141615123361886,-0.008134000427982053,D-,C-,#DIV!0,#DIV!0,#DIV!0,C-,D,#DIV!0,C-,C,B-,C,C-,B-,C,C
4,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",#DIV/0!,-0.19671077655381447,0.34069693897795356,#DIV/0!,#DIV/0!,-0.38001192791751626,-0.09228935505117865,#DIV/0!,0.3007721108302647,0.09140041558719605,-0.20303665137708152,-0.7238659891303812,#DIV/0!,-0.45234632545362075,0.10761878346283331,#DIV/0!,#DIV!0,C,B-,#DIV!0,#DIV!0,C-,C,#DIV!0,B-,C,C,C-,C,#DIV!0,C-,#DIV!0
5,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.203357895985849,-5.485681753359578,#DIV/0!,#DIV/0!,#DIV/0!,2.4001333413801023,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,E,#DIV!0,A,#DIV!0,#DIV!0,#DIV!0
6,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,#DIV/0!,0.5676353207767809,#DIV/0!,0.3851223601580123,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5.557217562723854,#DIV/0!,#DIV/0!,#DIV/0!,-0.41451039707775444,-0.5693789495546797,#DIV/0!,#DIV!0,#DIV!0,B-,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
7,Dutchess County (Southwest) PUMA,0.7794384044388987,3.9685572012418335,0.5484003342738033,#DIV/0!,#DIV/0!,0.2411852887744921,0.00012296484140732176,#DIV/0!,#DIV/0!,-0.7618090914421357,#DIV/0!,#DIV/0!,0.37167794580732244,#DIV/0!,0.4905402102900926,#DIV/0!,B,A,B-,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,B-,B-,#DIV!0,#DIV!0
8,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,-0.5401814463024307,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.4997178357229288,#DIV/0!,#DIV/0!,-0.3827870762859769,#DIV/0!,#DIV/0!,#DIV/0!,-0.46347568048080406,-0.40387117198185146,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
9,Dutchess County (North & East) PUMA,#DIV/0!,4.857730610351432,#DIV/0!,#DIV/0!,#DIV/0!,-0.1266384887373789,0.19567372656344725,#DIV/0!,-2.145017821616427,-0.2246525091378711,#DIV/0!,#DIV/0!,#DIV/0!,-0.48025491064028064,-0.5737046509522349,#DIV/0!,#DIV!0,A,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,E,C,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
