,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_Ownership_BABS,Home_Ownership_HS
0,Total Geo,1.377660199675674,1.4567592899914281,0.9207536355575583,0.8284644102685835,1.362376641907173,1.1396896008289827,1.0638725676707792,0.8389711304525401,0.6874851976331212,0.8433516070921674,1.277713670361159,1.089753319708205,1.0399577729813687,1.0500339398913432
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.8273085167947704,#DIV/0!,0.9772622448162586,1.4913410448252935,4.197751275347234,0.706250623188975,0.0,#DIV/0!,0.6816133087333323,0.4126671810699588,0.5686252718897058,1.3538092381523694,1.0504651674348349,inf
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,inf,0.2878992670678189,0.7444601603017444,0.9312000183557263,0.7166378250695307,0.10548649096635174,inf,0.11094282978718192,0.4352384626766405,0.80336600667723,#DIV/0!,inf,0.9172450689439362,0.8683980055889883
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,5.334480452852812,#DIV/0!,0.8396161576092482,1.0188964961355664,inf,1.382899200736013,inf,inf,1.1395662893873748,0.506519040030106,0.5562896748283457,inf,0.7540450787360733,0.24709967757960663
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,1.0,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.0625,1.1065573770491803,#DIV/0!,#DIV/0!,1.0,inf
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,0.33585858585858586,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.1456035780555094,#DIV/0!,#DIV/0!,#DIV/0!,0.8148148148148148,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,0.0,1.0,inf,1.2626516280059588,#DIV/0!,1.4266615369818219,0.0,0.5960051060941596,#DIV/0!,inf,0.0,1.1148303013847407
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,inf,0.7238876529660393,0.7550185873605948,inf,#DIV/0!,#DIV/0!,#DIV/0!,0.6886623487511062,1.3301016810457902,#DIV/0!,#DIV/0!,1.0384857795350346,0.7863538129052177
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,inf,0.34951456310679613,0.3098104793756967,#DIV/0!,2.880840599150458,#DIV/0!,#DIV/0!,0.7692307692307693,0.31424342479790507,#DIV/0!,#DIV/0!,inf,0.9007936507936507
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.6681074735185037,inf,0.88315342113826,0.6622922134733158,2.35553078071961,inf,inf,#DIV/0!,0.3035383530525388,0.9554150524823463,2.227024614822651,#DIV/0!,1.2226256796686927,0.6628835664512105
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.8082706766917294,0.9762030871670702,#DIV/0!,0.0,#DIV/0!,0.0,1.84973946569228,0.07589437899531788,#DIV/0!,#DIV/0!,1.1422400576974625,1.0
11,Erie County (Northwest) PUMA,0.0,#DIV/0!,1.0,#DIV/0!,0.00847321284925189,#DIV/0!,inf,#DIV/0!,0.5013274392446546,0.0,0.0,#DIV/0!,0.38452418096723867,1.4884482062327524
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4.067695302375524,inf,0.9319028471494286,0.8287163341708796,0.9093477415202136,1.2710524179542304,0.35203343809076576,0.4033167870036101,0.9918059328407945,0.7311714142289875,1.3889791690612934,0.3824174798883144,1.087875579089007,1.0248865299238572
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,inf,1.0804049715260997,1.0320916905444126,0.9680729347351935,1.1687608391608393,1.659478531276163,0.8154586662928175,1.537880498478544,0.9907454496236304,0.7560007352475027,1.0130414746543779,2.817553256948177,0.25847272727272724,1.1324414633997348
14,Rockland County (North)--New City & Congers PUMA,inf,0.2988574066228683,1.193279195636259,1.0060677442937211,#DIV/0!,3.4347067949967736,#DIV/0!,inf,0.6663511829653461,0.9199954529681552,#DIV/0!,inf,1.1616233031674208,0.8457039804513551
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,1.0,1.0,1.2119193989071038,0.10291595197255576,1.6897619047619046,1.1320754716981132,0.5417924148604847,1.352569882777277,inf,#DIV/0!,1.0285153544216117,8.571428571428571
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2.4326021311808597,1.569121140142518,0.9376394724093059,0.8713363440399592,0.9316881388737677,1.5478459778879143,0.5128189274375374,0.6682033898305085,0.8346359985386046,1.0767981147460368,1.5019531512182025,1.7422331616538143,0.529521793455112,0.7178595359190026
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3.5870201240042996,0.4870746745832382,1.022536154494904,0.8270745546750193,1.3883496916063287,1.1660299073274527,2.2827438734093457,0.7328091313824716,0.6863052536198784,0.9337718193587591,1.5197497598390035,1.533099617092346,0.8771975861901603,1.2794869778217162
18,Tompkins County PUMA,#DIV/0!,#DIV/0!,0.9009487599770395,0.7468354430379747,6.136296296296297,#DIV/0!,0.0,#DIV/0!,1.0112038401792431,0.33828967642526964,0.0,#DIV/0!,0.8288920863309351,0.7468354430379747
19,Dutchess County (Southwest) PUMA,0.5403770595035018,inf,0.9770584095707249,1.1251514548632486,0.9647738209817132,0.532042996723192,1.2390833634067122,0.562441290715682,0.8917801989740091,0.7133820905636573,2.0919276801629745,0.8775557695393997,1.8949954542909624,1.666466877871964
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2.376238921660825,1.1838722623552345,0.8929203583358339,0.8616452028415417,1.83690629701268,1.2359982386149895,1.0650477957125974,0.9605952306682233,0.6165288490100312,0.9520440488577808,2.9683275229870483,1.4976318581244226,0.9037315204050232,1.0069471977163262
21,Westchester County (Northwest) PUMA,1.0298294841355493,#DIV/0!,1.0240779098400732,0.3280464056094465,0.0,1.414407549886755,0.0,1.1007622510883057,0.7586696650015307,0.7102811427822201,0.0,0.9948964725490539,0.869270981388714,1.2444432644825572
22,Albany County (Outside Albany City) PUMA,#DIV/0!,inf,0.9925021653008614,0.7307001795332136,1.1427941824592331,1.1872397027795616,#DIV/0!,0.0,0.45467030787056334,1.0333650466570832,#DIV/0!,0.0,1.0193356945630474,0.7595472959257222
23,Monroe County (South) PUMA,2.1863256218094924,#DIV/0!,0.9347669507786249,0.5365853658536586,0.31662287037466474,#DIV/0!,#DIV/0!,#DIV/0!,0.8299253519265803,0.3465803559876937,0.0,#DIV/0!,1.2527429376085935,0.801418439716312
24,Jefferson & Lewis Counties PUMA,0.0,0.0,0.6460431654676259,0.046476761619190406,8.948312993539126,inf,#DIV/0!,#DIV/0!,0.5373668588152731,0.4211438474870018,inf,1.0,1.4765366466478733,0.5814191960623462
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,#DIV/0!,#DIV/0!,0.9273748659694487,inf,inf,#DIV/0!,#DIV/0!,inf,0.668190309272402,inf,#DIV/0!,inf,0.9700897945890616
26,Erie County (Central) PUMA,inf,0.0,1.0,0.9284192260975187,inf,0.624872885273181,#DIV/0!,0.0,0.5349806811430183,0.7892112174443215,#DIV/0!,#DIV/0!,1.5048048922539312,1.477673935617861
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.31024930747922436,0.0,inf,#DIV/0!,#DIV/0!,0.0,0.9059025223899969,#DIV/0!,inf,2.387096774193548,1.7302196027773291
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",inf,0.0,1.0037296107080362,0.7684464945277526,2.7512570830825895,2.1430482247411384,1.4687191263250647,2.3832402471016327,0.5399803193401842,0.8495306472436991,1.1722995717185014,2.0695249266177647,1.0680595214535447,3.9854011755024135
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,3.058451854699212,0.644043126684636,0.6639676113360324,#DIV/0!,inf,#DIV/0!,#DIV/0!,1.2314261440537595,0.6435431188422299,inf,#DIV/0!,0.8035402854436787,0.9168900804289544
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,19.134796238244515,13.605264639639639,0.744927463030151,0.8290678698839394,9.686995023289589,1.0463069692632962,16.42064604452557,0.0,0.9457632391799644,1.433661962225934,0.8997056594975812,1.174205651626081,0.6392904246620089,1.0699581205917261
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,1.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.4241155163966517,0.0,#DIV/0!,#DIV/0!,0.7138263665594855,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,inf,inf,0.6612903225806451,1.5295326490052656,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5920019423252292,0.52516370022862,#DIV/0!,#DIV/0!,1.115264797507788,0.7420739526930751
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.7898550724637681,#DIV/0!,0.5448201825013418,#DIV/0!,#DIV/0!,inf,1.4321100917431193,#DIV/0!,#DIV/0!,#DIV/0!,0.5362318840579711
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,inf,0.9137807335751712,0.7544235502953406,#DIV/0!,inf,#DIV/0!,inf,0.41692501093959944,0.4496686746114763,#DIV/0!,#DIV/0!,0.956822641060705,1.2544438963963116
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3.1319093320848936,0.0,0.8350737658639564,1.0716263662229462,3.3694011071967793,0.5757063736277532,0.913790832455216,0.0,0.8244181826241318,0.7891960684161828,inf,0.7742751319826418,0.9356964443231383,1.3237484569097986
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.679324894514768,#DIV/0!,0.45937345307969724,#DIV/0!,0.6762205489434053,0.0,0.9651761424460574,#DIV/0!,#DIV/0!,1.44954128440367,2.825889658466682
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,#DIV/0!,3.6629132700499487,0.6472986748216107,0.49871638854718425,inf,4.388860157669209,#DIV/0!,#DIV/0!,1.06053076698746,0.7442045591692229,#DIV/0!,inf,1.4066901408450705,0.969310123746351
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,inf,1.0,0.6856145736216231,0.0,2.4407829427020493,0.0,2.3164533374892433,1.875849883950613,0.7357037214666377,0.0,3.1179064845457454,1.8101318157497934,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,1.0231715826572367,0.8743264925658226,0.9484194341562786,0.8174892695466857,0.6277484396144856,1.5174389368932106,0.4644008726291211,0.6357826083138137,1.2124123359737982,0.9567065427292147,1.847080413103861,1.0825408861236963,2.4651716623903255,1.5541536150410649
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",inf,#DIV/0!,0.8672589495688529,1.0,inf,0.0,inf,0.0,0.7124847074099856,1.9280704372481718,inf,0.0,0.6296957719702075,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,inf,#DIV/0!,0.9362119725220804,0.7549857549857549,inf,1.095084563606539,#DIV/0!,0.0,0.8463869191697725,1.4109187532143175,0.9798430166693641,1.2881990595835295,0.7556180429416421,0.592707100779928
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,#DIV/0!,0.9429423611969312,0.7473817835607744,0.0,0.6613011675980192,0.0,0.7184501061571127,0.8973050905135267,0.8765750014366381,0.049539941860629357,0.6499745637123708,0.5117397021367894,4.512982824826902
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.956770410174318,1.297910779819369,0.9370208797410756,0.87330037893252,1.0296839056887188,1.0453969796898164,1.3556708072962786,0.5651002097355141,0.8549147397964119,1.079316459431985,1.3740572229550394,0.9344511443010495,1.1717652979897983,0.9956101753883305
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.0,inf,0.8510399194238542,0.804080283414676,2.1644357048976555,0.9115043143744173,4.613398715275391,0.7798587815651874,0.8557430151021045,1.0078553753359487,1.752502063931173,1.2822181308794824,0.9210262392498443,1.295116055258778
45,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,1.0,#DIV/0!,inf,#DIV/0!,#DIV/0!,#DIV/0!,0.6785058421693457,inf,#DIV/0!,#DIV/0!,1.0918918918918918,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",inf,#DIV/0!,0.8103321033210332,1.1209724400308232,0.45610824226783026,1.6934178659587353,0.0,3.54032,0.8552293083530281,0.5464919060979831,0.9728102510093032,0.5958428715319111,0.7218747067589768,0.9331271593469435
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3.780817616234569,2.0717105263157896,1.0435561571075476,0.9389070523383183,1.209393669514138,1.3836124018997764,0.9716233175595547,0.9752888947137793,0.7700607552177693,0.501125653204104,2.4315168648859427,1.5051284685414918,0.9832742654279024,1.324570518903904
