,puma,Unemployment_BABS_F,Unemployment_HS_F,FT_Work_BABS_F,FT_Work_HS_F,Poverty_BABS_F,Poverty_HS_F,Working_Poor_BABS_F,Working_Poor_HS_F,Income_level_BABS_F,Income_level_HS_F,Rent_Burden_BABS_F,Rent_Burden_HS_F,Home_Ownership_BABS_F,Home_Ownership_HS_F
0,Total Geo,1.9967110538873278,1.0037933982760474,1.0178980749422768,0.9867419555252621,2.1012474436120434,1.1233867119445216,2.7302635045981365,1.4186446279103515,0.8806134587874264,0.9199386729257395,1.587328417939983,1.110269971644208,0.7907361325806335,0.7064442724143173
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5.9143531720479565,#DIV/0!,1.2030450349803405,0.8091607959487173,1.8361437283502215,0.7660933261237334,0.0,0.0,0.69583776682981,0.8817184315699644,1.099807588596278,0.8843065694853232,0.8254727429755738,0.22914607384608446
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,2.7450904528445808,1.3536371351563432,0.9012220184385995,1.224458884323153,2.0378848836433017,0.19054223887362232,0.057301671211510585,1.8693300553165333,0.4427390947952511,0.8096646800551424,#DIV/0!,0.705208134345206,0.9462871580547437,0.8896330012120873
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1.8819008104289519,0.0,0.9508655433169674,1.0670429113182407,3.5888400692368334,0.8732546523896111,5.0962404086106785,3.0759276450895996,1.267266488402899,0.6349294818830005,0.7016773913419014,1.0958951185764196,0.7999391943975858,0.5110560915222403
4,Madison & Cortland Counties PUMA,0.0,0.0,1.2688482515239012,1.373597289858141,0.0,0.0,0.0,0.0,1.3302426469632063,1.0036242945965115,#DIV/0!,#DIV/0!,1.1133783783783784,0.8080601857030989
5,Ontario & Yates Counties PUMA,0.0,4.680363636363636,0.42198585790420234,0.0,0.0,1.6799823559065705,0.0,#DIV/0!,1.0170957751566525,0.0,0.0,0.0,0.9842215673363055,0.9588638900162338
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,1.3649152542372882,4.3529458440785564,1.7378745227161754,#DIV/0!,6.200036102944969,0.0,0.697318227219294,0.0,3.7824909747292415,0.0,1.1259356711470656
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,1.0687936979606263,0.8964251261016368,1.0478696956628248,0.9326964314210485,0.0,0.0,#DIV/0!,0.8184828204467535,1.1163761022389036,0.0,1.603522825542761,1.0157721019570074,0.8785417130322113
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,1.4227334705109453,0.4201644347232188,0.24499091511793814,0.0,2.071439322590772,0.0,0.0,0.8390038312516002,0.3445067132124037,#DIV/0!,2.8442121684867394,1.2848625854296931,1.3102368918097522
9,NYC-Manhattan Community District 8--Upper East Side PUMA,1.6698440591519985,inf,1.007688816669884,0.9227681111232306,1.3086548908143172,1.5215254816939836,0.44615785255510837,0.0,0.5939130764588056,0.6990505446228276,1.824722695916581,#DIV/0!,0.7663216589845441,0.7568662589875582
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.9589634602404362,1.1486095243215635,#DIV/0!,0.0,#DIV/0!,#DIV/0!,0.7181841559549397,0.08691525309442555,#DIV/0!,#DIV/0!,0.5679903409711802,1.162228666842429
11,Erie County (Northwest) PUMA,0.0,#DIV/0!,1.2551499348109518,#DIV/0!,0.1255201150268494,0.0,inf,#DIV/0!,0.8504206202944283,0.0,0.0,0.0,0.28015026306111446,0.8057459774965765
