,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,1633052.0,816005.0,817047.0,718489.0,347263.0,371226.0,914563.0,468742.0,445821.0,677981.0,308943.0,369038.0,344221.0,153516.0,190705.0,333760.0,155427.0,178333.0,727488.0,373063.0,354425.0,302299.0,151333.0,150966.0,425189.0,221730.0,203459.0,227583.0,133999.0,93584.0,71969.0,42414.0,29555.0,155614.0,91585.0,64029.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,16278.0,6663.0,9615.0,3668.0,1481.0,2187.0,12610.0,5182.0,7428.0,10659.0,4661.0,5998.0,3483.0,1481.0,2002.0,7176.0,3180.0,3996.0,3993.0,1612.0,2381.0,185.0,0.0,185.0,3808.0,1612.0,2196.0,1626.0,390.0,1236.0,0.0,0.0,0.0,1626.0,390.0,1236.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,12247.0,5536.0,6711.0,10712.0,5174.0,5538.0,1535.0,362.0,1173.0,4508.0,1901.0,2607.0,3861.0,1710.0,2151.0,647.0,191.0,456.0,7204.0,3182.0,4022.0,6316.0,3011.0,3305.0,888.0,171.0,717.0,535.0,453.0,82.0,535.0,453.0,82.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,10138.0,4595.0,5543.0,2773.0,1640.0,1133.0,7365.0,2955.0,4410.0,7219.0,3535.0,3684.0,2243.0,1256.0,987.0,4976.0,2279.0,2697.0,2073.0,695.0,1378.0,444.0,298.0,146.0,1629.0,397.0,1232.0,846.0,365.0,481.0,86.0,86.0,0.0,760.0,279.0,481.0
4,Madison & Cortland Counties PUMA,343.0,152.0,191.0,152.0,30.0,122.0,191.0,122.0,69.0,53.0,30.0,23.0,53.0,30.0,23.0,0.0,0.0,0.0,245.0,77.0,168.0,99.0,0.0,99.0,146.0,77.0,69.0,45.0,45.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0
5,Ontario & Yates Counties PUMA,1054.0,348.0,706.0,903.0,348.0,555.0,151.0,0.0,151.0,834.0,348.0,486.0,744.0,348.0,396.0,90.0,0.0,90.0,220.0,0.0,220.0,159.0,0.0,159.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2588.0,1485.0,1103.0,1477.0,843.0,634.0,1111.0,642.0,469.0,909.0,554.0,355.0,197.0,197.0,0.0,712.0,357.0,355.0,1363.0,728.0,635.0,1144.0,580.0,564.0,219.0,148.0,71.0,316.0,203.0,113.0,136.0,66.0,70.0,180.0,137.0,43.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,13553.0,5249.0,8304.0,12411.0,5006.0,7405.0,1142.0,243.0,899.0,7935.0,3103.0,4832.0,7485.0,2860.0,4625.0,450.0,243.0,207.0,5189.0,1950.0,3239.0,4497.0,1950.0,2547.0,692.0,0.0,692.0,429.0,196.0,233.0,429.0,196.0,233.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1038.0,361.0,677.0,917.0,265.0,652.0,121.0,96.0,25.0,235.0,43.0,192.0,192.0,0.0,192.0,43.0,43.0,0.0,432.0,180.0,252.0,407.0,180.0,227.0,25.0,0.0,25.0,371.0,138.0,233.0,318.0,85.0,233.0,53.0,53.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,22767.0,9171.0,13596.0,5801.0,2204.0,3597.0,16966.0,6967.0,9999.0,20285.0,8328.0,11957.0,4979.0,1807.0,3172.0,15306.0,6521.0,8785.0,1979.0,340.0,1639.0,558.0,133.0,425.0,1421.0,207.0,1214.0,503.0,503.0,0.0,264.0,264.0,0.0,239.0,239.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,5266.0,1928.0,3338.0,2738.0,1259.0,1479.0,2528.0,669.0,1859.0,3028.0,1166.0,1862.0,1573.0,557.0,1016.0,1455.0,609.0,846.0,950.0,523.0,427.0,950.0,523.0,427.0,0.0,0.0,0.0,1288.0,239.0,1049.0,215.0,179.0,36.0,1073.0,60.0,1013.0
11,Erie County (Northwest) PUMA,2710.0,1401.0,1309.0,937.0,582.0,355.0,1773.0,819.0,954.0,1036.0,395.0,641.0,406.0,250.0,156.0,630.0,145.0,485.0,1247.0,889.0,358.0,531.0,332.0,199.0,716.0,557.0,159.0,427.0,117.0,310.0,0.0,0.0,0.0,427.0,117.0,310.0
