,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1637089,818777,818312,1282535,652679,629856,354554,166098,188456,679418,309735,369683,597611,278583,319028,81807,31152,50655,729037,374246,354791,542286,284481,257805,186751,89765,96986,228634,134796,93838,142638,89615,53023,85996,45181,40815
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,16278,6663,9615,13214,5534,7680,3064,1129,1935,10659,4661,5998,9974,4554,5420,685,107,578,3993,1612,2381,2289,778,1511,1704,834,870,1626,390,1236,951,202,749,675,188,487
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,12251,5536,6715,11113,4660,6453,1138,876,262,4512,1901,2611,4133,1710,2423,379,191,188,7204,3182,4022,6575,2627,3948,629,555,74,535,453,82,405,323,82,130,130,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,10480,4827,5653,8294,4234,4060,2186,593,1593,7219,3535,3684,6588,3535,3053,631,0,631,2288,800,1488,1620,613,1007,668,187,481,973,492,481,86,86,0,887,406,481
4,Madison & Cortland Counties PUMA,343,152,191,343,152,191,0,0,0,53,30,23,53,30,23,0,0,0,245,77,168,245,77,168,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,1054,348,706,970,348,622,84,0,84,834,348,486,834,348,486,0,0,0,220,0,220,136,0,136,84,0,84,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2588,1485,1103,2004,1271,733,584,214,370,909,554,355,745,554,191,164,0,164,1363,728,635,1052,580,472,311,148,163,316,203,113,207,137,70,109,66,43
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,13553,5249,8304,13227,5176,8051,326,73,253,7935,3103,4832,7722,3103,4619,213,0,213,5189,1950,3239,5189,1950,3239,0,0,0,429,196,233,316,123,193,113,73,40
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1237,560,677,949,436,513,288,124,164,235,43,192,235,43,192,0,0,0,631,379,252,424,308,116,207,71,136,371,138,233,290,85,205,81,53,28
9,NYC-Manhattan Community District 8--Upper East Side PUMA,22767,9171,13596,21415,8938,12477,1352,233,1119,20285,8328,11957,19264,8095,11169,1021,233,788,1979,340,1639,1648,340,1308,331,0,331,503,503,0,503,503,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,5305,1967,3338,4963,1661,3302,342,306,36,3028,1166,1862,3028,1166,1862,0,0,0,976,549,427,849,422,427,127,127,0,1301,252,1049,1086,73,1013,215,179,36
11,Erie County (Northwest) PUMA,2712,1401,1311,2448,1139,1309,264,262,2,1038,395,643,891,250,641,147,145,2,1247,889,358,1247,889,358,0,0,0,427,117,310,310,0,310,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",35870,17761,18109,31448,15618,15830,4422,2143,2279,17823,7885,9938,16222,7139,9083,1601,746,855,14908,7896,7012,12709,6863,5846,2199,1033,1166,3139,1980,1159,2517,1616,901,622,364,258
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17911,8637,9274,12575,6601,5974,5336,2036,3300,3176,1801,1375,2315,1346,969,861,455,406,11417,5747,5670,8967,4818,4149,2450,929,1521,3318,1089,2229,1293,437,856,2025,652,1373
14,Rockland County (North)--New City & Congers PUMA,11116,5580,5536,10024,5099,4925,1092,481,611,3841,1670,2171,3841,1670,2171,0,0,0,5232,3127,2105,4659,2954,1705,573,173,400,2043,783,1260,1524,475,1049,519,308,211
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",720,371,349,435,187,248,285,184,101,395,151,244,253,103,150,142,48,94,197,120,77,84,14,70,113,106,7,128,100,28,98,70,28,30,30,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16755,8860,7895,9953,5525,4428,6802,3335,3467,5880,2910,2970,4251,2075,2176,1629,835,794,6619,3480,3139,3988,2382,1606,2631,1098,1533,4256,2470,1786,1714,1068,646,2542,1402,1140
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37994,18765,19229,28638,14341,14297,9356,4424,4932,14824,6349,8475,12627,5579,7048,2197,770,1427,18315,9367,8948,13210,6952,6258,5105,2415,2690,4855,3049,1806,2801,1810,991,2054,1239,815
18,Tompkins County PUMA,3671,1507,2164,3378,1480,1898,293,27,266,3168,1368,1800,2923,1341,1582,245,27,218,444,128,316,444,128,316,0,0,0,59,11,48,11,11,0,48,0,48
