,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,87.81450666298419,91.50831541950033,84.2566141062527,81.56207936480891,88.12156858023502,73.00558334576695,80.5411325653091,87.10987964914666,66.46572448459241
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,94.02867140760807,95.16666666666667,93.00279029834728,50.06002400960384,37.40359897172236,55.7815223707147,83.72280419016921,0.0,100.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,85.85225789611067,100.0,74.44601603017445,87.2285102477822,90.90571640683,84.65140478668054,100.0,100.0,100.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,89.28231184503016,96.64348351980647,81.14343029087262,82.62068965517241,81.72920065252855,83.27359617682198,100.0,100.0,#DIV/0!
4,Madison & Cortland Counties PUMA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!
5,Ontario & Yates Counties PUMA,64.65053763440861,100.0,33.58585858585859,0.0,#DIV/0!,0.0,100.0,100.0,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,77.15877437325905,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,77.11415773041944,91.78214631002255,66.43996247654785,85.79741379310344,100.0,75.50185873605948,100.0,100.0,100.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",54.109589041095894,100.0,34.95145631067961,44.763513513513516,57.93450881612091,17.94871794871795,35.53459119496855,100.0,12.017167381974248
9,NYC-Manhattan Community District 8--Upper East Side PUMA,90.22952320989067,96.53471771576898,85.25496620929756,73.97167902899528,100.0,66.22922134733157,100.0,100.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,85.24183546920216,100.0,80.82706766917293,80.92417061611374,81.60291438979964,79.66101694915254,94.70432480141217,50.0,100.0
11,Erie County (Northwest) PUMA,100.0,100.0,100.0,83.68953880764904,83.68953880764904,#DIV/0!,100.0,100.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",89.68358602504945,93.12481983280485,86.78328474246841,86.2423521414004,92.08041014570966,76.30853994490359,91.99170124481327,88.66039952996475,100.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,98.01418439716312,96.8906163242643,100.0,86.44797879390325,87.61615778494216,84.81883099709073,71.80156657963447,80.32581453634086,67.26666666666667
14,Rockland County (North)--New City & Congers PUMA,85.67146282973621,77.37373737373737,92.32847109670448,92.63613861386139,92.41706161137441,92.9778247096093,73.09941520467837,82.41430700447094,39.130434782608695
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,100.0,100.0,100.0,100.0,100.0,91.40625,89.0,100.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,85.76611182244986,88.16187594553706,82.66405484818804,72.76659457660955,76.38998682476942,66.56137184115524,77.50488417527211,82.51273344651952,67.88916055419722
