,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,1126408,655346,471062,63351.76672839682,68489.90153903434,56203.54399845456,508727,260095,248632,89869.40315139554,106070.19294873027,72921.68756234113,478696,292761,185935,43981.07629894547,46830.49340246822,39494.571871890716,138985,102490,36495,33006.29348490844,34989.89267245585,27435.692560624742
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,10620,4288,6332,115312.15630885122,158702.16884328358,85928.64813644977,8330,3997,4333,137138.95558223288,164359.244433325,112029.44841910916,1251,291,960,44492.40607513989,81000.0,33426.041666666664,1039,0,1039,25589.60538979788,0.0,25589.60538979788
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,9336,4482,4854,57699.13024850043,73003.45827755466,43567.69262463947,3289,1710,1579,82381.42292490118,113026.783625731,49193.603546548446,5703,2449,3254,45069.90706645625,50765.53695385872,40783.30669944683,344,323,21,31084.011627906977,29724.148606811144,52000.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7186,4062,3124,108758.18257723351,104312.81634662728,114538.29705505761,5623,3196,2427,128251.12929041436,120964.28660826033,137846.82323856614,1198,501,697,46975.12520868114,65893.8123752495,33376.470588235294,365,365,0,11243.835616438357,11243.835616438357,0.0
4,Madison & Cortland Counties PUMA,244,152,92,44392.2131147541,40014.47368421053,51625.0,53,30,23,82169.81132075471,80000.0,85000.0,146,77,69,38443.150684931505,36600.0,40500.0,45,45,0,19200.0,19200.0,0.0
5,Ontario & Yates Counties PUMA,573,440,133,53104.746945898776,49880.795454545456,63770.45112781955,481,348,133,57906.48648648649,55665.37356321839,63770.45112781955,0,0,0,#DIV/0!,0.0,0.0,92,92,0,28000.0,28000.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,2117,1485,632,43004.01511572981,49212.45791245791,28416.13924050633,554,554,0,53393.501805054155,53393.501805054155,0.0,1290,728,562,40391.08527131783,49018.543956043955,29215.302491103204,273,203,70,34267.39926739927,38497.536945812804,22000.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10051,4994,5057,72439.77912645508,78576.89227072487,66379.1220090963,5681,2848,2833,86506.28762541806,102405.54775280898,70522.845040593,3981,1950,2031,56147.14895754836,48054.35897435898,63917.183653372726,389,196,193,33748.58611825193,36000.0,31462.17616580311
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",457,358,99,39368.16192560175,43037.01117318436,26101.010101010103,79,43,36,58164.556962025315,65000.0,50000.0,265,230,35,34728.301886792455,38186.95652173913,12000.0,113,85,28,37108.407079646015,45050.0,13000.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,17125,8042,9083,168146.32,264835.89032578963,82538.31333259935,15764,7438,8326,178438.76744481098,282271.474858833,85680.21859236129,1097,340,757,48675.47857793984,50220.58823529412,47981.505944517834,264,264,0,50000.0,50000.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3818,1065,2753,42566.63174436878,42719.342723004695,42507.55539411551,2062,557,1505,54190.9796314258,33447.03770197486,61868.305647840534,683,448,235,38918.30161054173,57061.38392857143,4330.63829787234,1073,60,1013,22550.2329916123,21710.0,22600.0
11,Erie County (Northwest) PUMA,1595,1111,484,55023.69905956113,57948.514851485146,48309.9173553719,734,250,484,64677.11171662125,96364.0,48309.9173553719,744,744,0,51290.86021505376,51290.86021505376,0.0,117,117,0,18200.0,18200.0,0.0
