,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,16.955613246374977,14.765096109404313,18.865565143182252,27.98805275869952,26.833749290169262,29.24216736917964,27.417013714611283,26.131786692444013,29.261926787366193
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,17.300153400374978,23.080048760666397,13.123899001761597,36.596523330283624,31.017369727047146,41.991601679664065,24.538745387453876,51.7948717948718,15.93851132686084
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,17.237163814180928,0.0,21.792890262751158,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,11.385431544582739,15.063520871143377,8.379681127178348,10.300703774792067,0.0,13.807890222984561,36.71052631578947,100.0,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,32.42009132420091,0.0,100.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,56.64739884393064,#DIV/0!,56.64739884393064,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,#DIV/0!,44.0,#DIV/0!,44.0,100.0,100.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,11.342309261525909,6.617886178861789,14.738195418419823,0.0,0.0,0.0,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,23.015873015873016,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",8.359889526237518,6.893317702227432,9.574674694115362,17.71267302781884,25.135204738604173,9.612141652613827,32.02025886325267,31.797235023041477,32.369942196531795
