,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1237352,623034,614318,952743,489193,463550,284609,133841,150768,477072,216272,260800,418669,194121,224548,58403,22151,36252,564566,291174,273392,414710,218337,196373,149856,72837,77019,195714,115588,80126,119364,76735,42629,76350,38853,37497
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,7966,4337,3629,6200,3315,2885,1766,1022,744,5128,2537,2591,4871,2537,2334,257,0,257,2163,1612,551,1329,778,551,834,834,0,675,188,487,0,0,0,675,188,487
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,11458,5206,6252,10450,4460,5990,1008,746,262,4357,1901,2456,3978,1710,2268,379,191,188,6757,2982,3775,6128,2427,3701,629,555,74,344,323,21,344,323,21,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,6141,2517,3624,4495,2203,2292,1646,314,1332,3831,1881,1950,3368,1881,1487,463,0,463,1702,509,1193,1127,322,805,575,187,388,608,127,481,0,0,0,608,127,481
4,Madison & Cortland Counties PUMA,144,45,99,144,45,99,0,0,0,0,0,0,0,0,0,0,0,0,99,0,99,99,0,99,0,0,0,45,45,0,45,45,0,0,0,0
5,Ontario & Yates Counties PUMA,559,153,406,475,153,322,84,0,84,475,153,322,475,153,322,0,0,0,84,0,84,0,0,0,84,0,84,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1551,925,626,967,711,256,584,214,370,712,357,355,548,357,191,164,0,164,593,365,228,282,217,65,311,148,163,246,203,43,137,137,0,109,66,43
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,10102,3870,6232,9816,3797,6019,286,73,213,6475,2463,4012,6262,2463,3799,213,0,213,3238,1211,2027,3238,1211,2027,0,0,0,389,196,193,316,123,193,73,73,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",686,252,434,529,199,330,157,53,104,89,0,89,89,0,89,0,0,0,339,199,140,235,199,36,104,0,104,258,53,205,205,0,205,53,53,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,12984,5388,7596,12151,5388,6763,833,0,833,11020,4678,6342,10351,4678,5673,669,0,669,1461,207,1254,1297,207,1090,164,0,164,503,503,0,503,503,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4430,1515,2915,4404,1489,2915,26,26,0,2824,1113,1711,2824,1113,1711,0,0,0,580,389,191,554,363,191,26,26,0,1026,13,1013,1026,13,1013,0,0,0
11,Erie County (Northwest) PUMA,1511,669,842,1392,552,840,119,117,2,893,250,643,891,250,641,2,0,2,501,302,199,501,302,199,0,0,0,117,117,0,0,0,0,117,117,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27658,13358,14300,24643,11980,12663,3015,1378,1637,14587,6356,8231,13466,5912,7554,1121,444,677,9978,5022,4956,8706,4452,4254,1272,570,702,3093,1980,1113,2471,1616,855,622,364,258
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17412,8487,8925,12202,6577,5625,5210,1910,3300,3045,1777,1268,2184,1322,862,861,455,406,11049,5621,5428,8725,4818,3907,2324,803,1521,3318,1089,2229,1293,437,856,2025,652,1373
14,Rockland County (North)--New City & Congers PUMA,10021,5058,4963,8929,4577,4352,1092,481,611,2979,1228,1751,2979,1228,1751,0,0,0,4999,3047,1952,4426,2874,1552,573,173,400,2043,783,1260,1524,475,1049,519,308,211
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",487,263,224,202,79,123,285,184,101,326,109,217,184,61,123,142,48,94,113,106,7,0,0,0,113,106,7,48,48,0,18,18,0,30,30,0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13925,7721,6204,8113,4698,3415,5812,3023,2789,3820,2156,1664,2805,1562,1243,1015,594,421,6015,3166,2849,3594,2068,1526,2421,1098,1323,4090,2399,1691,1714,1068,646,2376,1331,1045
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,22276,11496,10780,17104,8776,8328,5172,2720,2452,7807,3893,3914,6964,3463,3501,843,430,413,10852,5459,5393,7991,4028,3963,2861,1431,1430,3617,2144,1473,2149,1285,864,1468,859,609
18,Tompkins County PUMA,2440,866,1574,2278,839,1439,162,27,135,2153,855,1298,2039,828,1211,114,27,87,228,0,228,228,0,228,0,0,0,59,11,48,11,11,0,48,0,48
19,Dutchess County (Southwest) PUMA,6097,2997,3100,4813,2366,2447,1284,631,653,3299,1588,1711,2646,1293,1353,653,295,358,2072,683,1389,1549,455,1094,523,228,295,726,726,0,618,618,0,108,108,0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25992,13778,12214,20100,11152,8948,5892,2626,3266,9900,4753,5147,8336,4300,4036,1564,453,1111,13038,6950,6088,9517,5276,4241,3521,1674,1847,3054,2075,979,2247,1576,671,807,499,308
21,Westchester County (Northwest) PUMA,10405,5834,4571,7053,4237,2816,3352,1597,1755,2844,1031,1813,2844,1031,1813,0,0,0,5184,2795,2389,2514,1578,936,2670,1217,1453,2377,2008,369,1695,1628,67,682,380,302
22,Albany County (Outside Albany City) PUMA,5934,2585,3349,5306,2518,2788,628,67,561,3714,2185,1529,3647,2118,1529,67,67,0,1729,400,1329,1338,400,938,391,0,391,491,0,491,321,0,321,170,0,170
23,Monroe County (South) PUMA,5933,2984,2949,4688,2246,2442,1245,738,507,3825,1911,1914,3376,1562,1814,449,349,100,733,327,406,733,327,406,0,0,0,1375,746,629,579,357,222,796,389,407
24,Jefferson & Lewis Counties PUMA,2725,1378,1347,2436,1357,1079,289,21,268,1808,1108,700,1652,1087,565,156,21,135,917,270,647,784,270,514,133,0,133,0,0,0,0,0,0,0,0,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",444,84,360,444,84,360,0,0,0,132,0,132,132,0,132,0,0,0,271,43,228,271,43,228,0,0,0,41,41,0,41,41,0,0,0,0
26,Erie County (Central) PUMA,1701,1093,608,1415,819,596,286,274,12,540,313,227,528,313,215,12,0,12,977,780,197,703,506,197,274,274,0,184,0,184,184,0,184,0,0,0
27,St. Lawrence County PUMA,648,275,373,457,227,230,191,48,143,241,196,45,193,148,45,48,48,0,322,79,243,253,79,174,69,0,69,85,0,85,11,0,11,74,0,74
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16891,8216,8675,12717,6740,5977,4174,1476,2698,8053,3485,4568,6274,3033,3241,1779,452,1327,5332,2817,2515,4423,2505,1918,909,312,597,3506,1914,1592,2020,1202,818,1486,712,774
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4125,1974,2151,4032,1974,2058,93,0,93,2544,1351,1193,2544,1351,1193,0,0,0,1231,273,958,1138,273,865,93,0,93,350,350,0,350,350,0,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,10469,4862,5607,8537,3988,4549,1932,874,1058,4118,1754,2364,3798,1699,2099,320,55,265,4496,2242,2254,2884,1423,1461,1612,819,793,1855,866,989,1855,866,989,0,0,0
31,Cayuga & Onondaga (South) Counties PUMA,974,659,315,752,437,315,222,222,0,456,293,163,456,293,163,0,0,0,366,366,0,144,144,0,222,222,0,152,0,152,152,0,152,0,0,0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,3363,1162,2201,3363,1162,2201,0,0,0,977,479,498,977,479,498,0,0,0,2386,683,1703,2386,683,1703,0,0,0,0,0,0,0,0,0,0,0,0
33,Fulton & Montgomery Counties PUMA,137,43,94,43,43,0,94,0,94,94,0,94,0,0,0,94,0,94,43,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,2322,1340,982,2155,1173,982,167,167,0,1207,504,703,1207,504,703,0,0,0,787,508,279,787,508,279,0,0,0,328,328,0,161,161,0,167,167,0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,8700,4418,4282,6337,2992,3345,2363,1426,937,4608,1804,2804,4018,1731,2287,590,73,517,3527,2381,1146,1801,1075,726,1726,1306,420,565,233,332,518,186,332,47,47,0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,730,516,214,478,264,214,252,252,0,158,158,0,158,158,0,0,0,0,511,358,153,259,106,153,252,252,0,61,0,61,61,0,61,0,0,0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,6451,3480,2971,5708,3480,2228,743,0,743,1326,583,743,1254,583,671,72,0,72,3241,1729,1512,2570,1729,841,671,0,671,1884,1168,716,1884,1168,716,0,0,0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",13303,6699,6604,9125,5244,3881,4178,1455,2723,2732,1500,1232,2271,1039,1232,461,461,0,7835,4070,3765,5743,3512,2231,2092,558,1534,2736,1129,1607,1111,693,418,1625,436,1189
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,31680,17407,14273,22367,12577,9790,9313,4830,4483,10178,5589,4589,8593,4543,4050,1585,1046,539,16323,8484,7839,11349,6460,4889,4974,2024,2950,5179,3334,1845,2425,1574,851,2754,1760,994
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",4454,1400,3054,4354,1400,2954,100,0,100,3834,1043,2791,3794,1043,2751,40,0,40,41,41,0,41,41,0,0,0,0,579,316,263,519,316,203,60,0,60
41,Suffolk County (Central)--Islip Town (East) PUMA,2749,1295,1454,2142,976,1166,607,319,288,1789,811,978,1789,811,978,0,0,0,890,414,476,353,165,188,537,249,288,70,70,0,0,0,0,70,70,0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",9470,4273,5197,7070,2673,4397,2400,1600,800,1950,316,1634,1809,175,1634,141,141,0,7231,3815,3416,5170,2498,2672,2061,1317,744,289,142,147,91,0,91,198,142,56
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",43348,21776,21572,33046,16970,16076,10302,4806,5496,16115,7462,8653,13708,6439,7269,2407,1023,1384,21727,11243,10484,16037,8310,7727,5690,2933,2757,5506,3071,2435,3301,2221,1080,2205,850,1355
