,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,38.52322955471057,34.635602394294445,42.49239341022273,45.62286475322821,46.742549668874176,44.47969625651761,15.853905692061224,18.621847936831383,13.027910333259651
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,64.3735877479287,58.49665667512105,71.39707908514742,27.152899824253073,37.16854968872493,15.18324607329843,8.473512427818228,4.334793636154023,13.419674841554146
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,38.02583347879211,36.51555897041875,39.28342930262316,58.97189736428696,57.28006146753746,60.38067818298145,3.0022691569209283,6.204379562043796,0.33589251439539347
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,62.38397655105031,74.73182359952324,53.807947019867555,27.715355805243448,20.22248708780294,32.91942604856512,9.900667643706237,5.045689312673818,13.27262693156733
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,70.39473684210526,0.0,100.0,29.605263157894733,100.0,0.0
5,Ontario & Yates Counties PUMA,72.96466973886328,62.44897959183674,79.3103448275862,12.903225806451612,0.0,20.689655172413794,14.132104454685098,37.55102040816327,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,45.90586718246293,38.5945945945946,56.70926517571885,38.23339780786589,39.45945945945946,36.42172523961661,15.860735009671178,21.945945945945947,6.869009584664537
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,64.09621857058009,63.64341085271318,64.37740693196406,32.05305880023758,31.291989664082685,32.525673940949936,3.85072262918234,5.064599483204135,3.0969191270860077
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",7.472712006717044,0.0,20.506912442396313,63.81192275398825,81.90224570673712,32.25806451612903,28.71536523929471,18.09775429326288,47.235023041474655
9,NYC-Manhattan Community District 8--Upper East Side PUMA,83.82778031340332,84.2882882882883,83.4913112164297,11.113646736649931,3.72972972972973,16.5086887835703,5.058572949946752,11.981981981981981,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,64.46902654867257,74.95327102803738,58.69639794168096,12.831858407079647,24.236760124610594,6.5523156089193835,22.699115044247787,0.809968847352025,34.75128644939966
11,Erie County (Northwest) PUMA,59.09993381866314,37.369207772795214,76.36579572446556,33.15684976836532,45.14200298953662,23.634204275534444,7.743216412971542,17.48878923766816,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",52.740617542844745,47.58197334930379,57.55944055944055,36.076361269795356,37.595448420422215,34.65734265734265,11.183021187359895,14.822578230273994,7.7832167832167825
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,17.487939352170915,20.937905031224226,14.207282913165267,63.45623707787733,66.23070578531872,60.817927170868344,19.05582356995176,12.83138918345705,24.974789915966387
14,Rockland County (North)--New City & Congers PUMA,29.72757209859295,24.27837089758798,35.28107999194036,49.88524099391278,60.24120205614868,39.33104976828531,20.38718690749426,15.480427046263346,25.38787023977433
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",66.94045174537987,41.44486692015209,96.875,23.203285420944557,40.3041825095057,3.125,9.856262833675565,18.250950570342205,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,26.4964971908164,26.251065384147083,26.8214055448098,45.134216549906355,44.53914525751857,45.92198581560284,28.369286259277242,29.209789358334348,27.256608639587366
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,35.04668701741785,33.863952679192764,36.30797773654916,48.71610702100916,47.48608211551844,50.027829313543606,16.237205961572993,18.649965205288797,13.664192949907235
18,Tompkins County PUMA,87.9852881078872,98.72979214780601,82.09993674889311,9.603596240294237,0.0,14.864010120177104,2.4111156518185535,1.2702078521939952,3.0360531309297913
19,Dutchess County (Southwest) PUMA,52.90250160359204,50.63775510204081,55.19354838709677,33.22642719692111,21.779336734693878,44.806451612903224,13.87107119948685,27.58290816326531,0.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,38.088642659279785,34.497024241544494,42.14016702145079,50.16158818097877,50.442734794600085,49.84444080563288,11.74976915974146,15.060240963855422,8.015392172916327
21,Westchester County (Northwest) PUMA,27.204897646833746,17.525072242053376,39.66309341500766,50.05739429883298,48.34268230494646,52.26427477576022,22.737708054333268,34.13224545300017,8.072631809232115
