,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,51.04023531883601,50.33758891540583,51.62307086160174,37.650905745297216,36.94321547910108,38.40256971863486,28.918755197798703,28.89786115800282,28.94881810897436
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,38.046021840873635,36.30271974773354,39.752991123118484,8.552935737401757,0.0,33.57531760435572,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,85.13668734206294,89.95265649658076,81.40293637846656,87.89403581471066,94.2655935613682,82.86092715231787,100.0,100.0,100.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,26.41607935264944,26.209463051568317,26.615384615384613,22.46133154001345,46.53465346534654,13.48107109879963,0.0,#DIV/0!,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,#DIV/0!,100.0,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,63.06913996627319,59.45205479452055,68.85964912280701,26.82926829268293,32.51231527093596,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,93.05019305019306,90.13398294762484,94.84047856430708,78.62878319950588,100.0,65.86087814504194,100.0,100.0,100.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,#DIV/0!,100.0,82.14285714285714,#DIV/0!,82.14285714285714,79.45736434108527,0.0,100.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,11.823956442831216,10.282171868319795,12.961210974456009,21.765913757700204,0.0,25.358851674641148,52.48508946322068,52.48508946322068,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,51.664305949008494,45.28301886792453,55.815312682641725,100.0,100.0,100.0,0.0,#DIV/0!,0.0
11,Erie County (Northwest) PUMA,45.56677890011223,100.0,24.336973478939157,84.23153692614771,73.84105960264901,100.0,0.0,0.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",41.274960543470804,38.88713745271122,43.11580994045449,51.242734014832635,50.89605734767025,51.59402744148507,40.284513417394116,43.63636363636363,34.32165318957772
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,24.433497536945815,34.89026449071469,9.779179810725552,37.858629740247984,35.95445650240171,39.83050847457627,13.200723327305605,8.44811753902663,15.522655899506505
14,Rockland County (North)--New City & Congers PUMA,84.45787176905002,79.96742671009773,87.6070816676185,57.911582316463296,61.306202822448306,52.61270491803278,50.75868820362213,61.813537675606646,43.888888888888886
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",36.809815950920246,26.605504587155966,41.935483870967744,6.1946902654867255,0.0,100.0,100.0,100.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,33.753943217665615,40.44526901669759,25.0,24.022719679251587,31.78195728402933,15.47911547911548,13.911980440097798,12.630262609420592,15.730337078651685
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,64.16036889970539,62.36835345491909,65.94276954522228,49.06929598230741,46.84008060084264,51.325792694233265,39.50787945811446,27.985074626865668,56.279701289884585
18,Tompkins County PUMA,46.818392940083605,36.140350877192986,53.85208012326657,64.91228070175438,#DIV/0!,64.91228070175438,100.0,#DIV/0!,100.0
19,Dutchess County (Southwest) PUMA,60.98817823582904,41.43576826196473,79.13500876680304,38.513513513513516,16.105417276720353,49.53203743700504,74.93112947658402,74.93112947658402,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,62.67777326290126,64.78013885966757,60.71498723237085,51.28854118729866,51.884892086330936,50.60775295663601,63.948919449901766,58.60240963855422,75.28089887640449
21,Westchester County (Northwest) PUMA,52.63713080168776,70.61105722599417,42.41588527302813,18.34490740740741,16.100178890876567,20.971117622436168,39.75599495161969,43.72509960159363,18.157181571815716
22,Albany County (Outside Albany City) PUMA,79.62709075952839,77.76203966005666,82.21059516023544,12.261422787738576,21.25,9.556057185854025,65.37678207739307,#DIV/0!,65.37678207739307
23,Monroe County (South) PUMA,63.08496732026144,52.1716378859236,73.98119122257053,84.72032742155525,100.0,72.41379310344827,25.454545454545453,34.852546916890084,14.308426073131955
24,Jefferson & Lewis Counties PUMA,19.060927892677473,15.059687786960515,25.285714285714285,45.25627044711014,68.14814814814815,35.7032457496136,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,#DIV/0!,0.0,55.71955719557196,0.0,66.22807017543859,0.0,0.0,#DIV/0!
26,Erie County (Central) PUMA,32.00757575757576,29.712460063897762,35.348837209302324,65.60900716479019,56.92307692307692,100.0,100.0,#DIV/0!,100.0
27,St. Lawrence County PUMA,55.44041450777202,41.891891891891895,100.0,96.58385093167702,86.07594936708861,100.0,29.411764705882355,#DIV/0!,29.411764705882355
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",10.579908108779337,14.031563845050215,7.946584938704028,3.7321830457614404,2.7334043308484204,4.850894632206759,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,73.34905660377359,78.97853441894893,66.97401508801342,92.44516653127539,100.0,90.29227557411274,46.285714285714285,46.285714285714285,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,15.144874604334063,17.842799770510613,13.155668358714042,21.645118145341062,14.068100358422939,29.14818101153505,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,80.48245614035088,100.0,45.39877300613497,39.34426229508197,39.34426229508197,#DIV/0!,100.0,#DIV/0!,100.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,100.0,100.0,100.0,35.49874266554904,46.705710102489014,31.004110393423375,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.0,#DIV/0!,0.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,75.06213753106876,68.65079365079364,79.65860597439544,42.94790343074968,26.181102362204722,73.47670250896059,49.08536585365854,49.08536585365854,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,92.16579861111111,100.0,87.12553495007133,56.9889424440034,50.6089878202436,70.24432809773124,73.6283185840708,67.81115879828327,77.71084337349397
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,68.9873417721519,68.9873417721519,#DIV/0!,50.68493150684932,29.608938547486037,100.0,0.0,#DIV/0!,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,46.68174962292609,36.53516295025729,54.643337819650064,81.54890465905584,89.6471949103528,72.28835978835978,36.67728237791932,43.321917808219176,25.837988826815643
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",40.26354319180088,35.6,45.94155844155844,4.479897894065092,8.624078624078624,0.0,1.5350877192982455,0.0,2.613565650280025
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,24.798505995675253,13.751119068934647,38.243626062322946,17.73571034736262,14.83969825553984,20.870008929710423,17.879899594516317,15.476904619076185,22.22222222222222
