,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Avg_PINCP_mf_t,Total_Avg_PINCP_m,Total_Avg_PINCP_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Avg_PINCP_mf_t,BABS_Avg_PINCP_m,BABS_Avg_PINCP_f,Total_HS,Total_HS_m,Total_HS_f,HS_Avg_PINCP_mf_t,HS_Avg_PINCP_m,HS_Avg_PINCP_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,857651,500744,356907,57226.68701021744,59886.973579313984,53494.2790222663,358100,181138,176962,83828.60823233734,95662.56571232983,71715.38963167234,376323,229011,147312,40493.395734515296,42338.07022370105,37625.66771885522,123228,90595,32633,31023.018875580226,32717.402395275676,26319.10949039316
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,4584,2625,1959,126551.592495637,150249.7142857143,94796.83511995916,4003,2334,1669,138451.5363477392,158883.67609254498,109878.37028160575,291,291,0,81000.0,81000.0,0.0,290,0,290,8000.0,0.0,8000.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,8936,4358,4578,58370.30886302596,73508.37540156035,43959.71603320227,3193,1710,1483,83956.31067961165,113026.783625731,50436.075522589344,5399,2325,3074,44977.158733098724,50525.93548387097,40780.377358490565,344,323,21,31084.011627906977,29724.148606811144,52000.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4092,2090,2002,102748.2991202346,105523.63636363637,99850.96903096903,3142,1837,1305,120213.18905155952,109456.50517147523,135354.97318007663,950,253,697,44985.47368421053,76967.58893280632,33376.470588235294,0,0,0,#DIV/0!,0.0,0.0
4,Madison & Cortland Counties PUMA,45,45,0,19200.0,19200.0,0.0,0,0,0,#DIV/0!,0.0,0.0,0,0,0,#DIV/0!,0.0,0.0,45,45,0,19200.0,19200.0,0.0
5,Ontario & Yates Counties PUMA,304,245,59,41928.78289473684,35493.87755102041,68650.0,212,153,59,47973.34905660377,40000.0,68650.0,0,0,0,#DIV/0!,0.0,0.0,92,92,0,28000.0,28000.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1153,925,228,36930.18213356462,41643.78378378379,17807.01754385965,357,357,0,53319.32773109244,53319.32773109244,0.0,593,365,228,26526.98145025295,31973.972602739726,17807.01754385965,203,203,0,38497.536945812804,38497.536945812804,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,8176,3870,4306,74073.06996086106,81535.40051679587,67366.33070134696,5143,2463,2680,86455.03013805172,102205.44051969143,71979.9328358209,2644,1211,1433,55920.95310136157,46865.4004954583,63573.621772505234,389,196,193,33748.58611825193,36000.0,31462.17616580311
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0,199,199,0,27000.0,27000.0,0.0,0,0,0,#DIV/0!,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,10146,4759,5387,127011.43209146462,183523.97352384953,77086.95006497123,9136,4288,4848,136068.95687390544,197707.69356343284,81550.20627062707,746,207,539,43340.48257372654,60000.0,36942.486085343226,264,264,0,50000.0,50000.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3422,906,2516,43749.210987726474,38662.80353200883,45580.80286168522,1948,504,1444,53855.23613963039,27500.0,63054.016620498616,448,389,59,48171.875,53582.262210796915,12500.0,1026,13,1013,22630.409356725148,25000.0,22600.0
11,Erie County (Northwest) PUMA,1153,669,484,54990.28620988725,59823.31838565022,48309.9173553719,734,250,484,64677.11171662125,96364.0,48309.9173553719,302,302,0,45700.0,45700.0,0.0,117,117,0,18200.0,18200.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",20105,11279,8826,55872.64561054464,54552.547211632234,57559.637434851575,11142,5377,5765,63492.963561299584,59320.249209596426,67384.84301821336,6746,4393,2353,52031.2392528906,57699.294331891644,41449.103272418186,2217,1509,708,29263.960306720794,28403.048376408216,31098.870056497177
