,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,12.241967669450315,10.242195013686468,13.900306748466257,26.543575064739994,25.014939520698963,28.17163633171417,39.011005855483,33.613350866872,46.79754386840726
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5.01170046801872,0.0,9.918950212273254,38.55755894590846,51.736972704714645,0.0,100.0,100.0,100.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,8.698645857241221,10.047343503419253,7.654723127035831,9.308864880864288,18.611670020120723,1.960264900662252,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,12.08561733228922,0.0,23.743589743589745,33.78378378378378,36.73870333988212,32.52305113160101,100.0,100.0,100.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,23.03370786516854,0.0,46.19718309859155,52.4451939291737,40.54794520547945,71.49122807017544,44.3089430894309,32.51231527093596,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3.2895752895752897,0.0,5.309072781655035,0.0,0.0,0.0,18.76606683804627,37.244897959183675,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,#DIV/0!,0.0,30.678466076696164,0.0,74.28571428571429,20.54263565891473,100.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,6.070780399274047,0.0,10.54872280037843,11.225188227241615,0.0,13.078149920255184,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,4.482758620689655,6.683804627249357,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,0.22396416573348266,0.0,0.3110419906687403,0.0,0.0,0.0,100.0,100.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",7.684924933159663,6.985525487728131,8.22500303729802,12.74804570054119,11.35005973715651,14.164648910411623,20.109925638538638,18.383838383838384,23.180592991913745
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,28.27586206896552,25.604952166572875,32.018927444794954,21.033577699339308,14.285714285714285,28.021370670596905,61.03074141048824,59.87144168962351,61.597128757290264
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,11.462292458491698,5.677715786019035,20.491803278688526,25.40381791483113,39.33588761174968,16.746031746031743
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",43.558282208588956,44.03669724770643,43.31797235023041,100.0,100.0,100.0,62.5,62.5,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,26.570680628272253,27.55102040816326,25.30048076923077,40.24937655860349,34.680985470625394,46.43734643734644,58.09290953545232,55.481450604418505,61.79775280898876
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10.798001793262458,11.045466221423068,10.55186509964231,26.363803907113898,26.21359223300971,26.515853884665308,40.58612109482997,40.065298507462686,41.34419551934827
18,Tompkins County PUMA,5.294937296795169,3.1578947368421053,6.702619414483821,0.0,#DIV/0!,0.0,81.35593220338984,0.0,100.0
19,Dutchess County (Southwest) PUMA,19.79387693240376,18.57682619647355,20.92343658679135,25.241312741312743,33.38213762811127,21.238300935925125,14.87603305785124,14.87603305785124,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,15.797979797979798,9.530822638333685,21.585389547309113,27.00567571713453,24.086330935251798,30.33837056504599,26.424361493123772,24.048192771084338,31.46067415730337
21,Westchester County (Northwest) PUMA,0.0,0.0,0.0,51.504629629629626,43.54203935599285,60.82042695688573,28.6916281026504,18.92430278884462,81.84281842818429
22,Albany County (Outside Albany City) PUMA,1.8039849219170705,3.0663615560640736,0.0,22.614227877385773,0.0,29.42061700526712,34.623217922606926,#DIV/0!,34.623217922606926
