,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,16.556908464810604,14.373718646694723,18.408311982164843,27.451411459230783,27.06107087871358,27.875979954351493,26.987979219597285,24.4392805330526,30.6667407901564
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,21.746575342465754,28.527227722772274,13.34355828220859,25.278058645096056,31.017369727047146,0.0,29.185185185185187,0.0,40.4517453798768
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,17.237163814180928,0.0,21.792890262751158,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,10.276967930029155,10.967250571210966,9.643605870020965,6.2557497700092,0.0,7.807118254879448,0.0,#DIV/0!,0.0
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,32.42009132420091,0.0,100.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,56.64739884393064,#DIV/0!,56.64739884393064,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,44.0,#DIV/0!,44.0,100.0,100.0,#DIV/0!
9,NYC-Manhattan Community District 8--Upper East Side PUMA,11.279201399608933,9.697402906838217,12.481884057971014,0.0,0.0,0.0,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0
11,Erie County (Northwest) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",9.292714606210886,7.761351636747624,10.531937620166632,14.700354980162873,24.435146443514643,5.00208420175073,32.02025886325267,31.797235023041477,32.369942196531795
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,18.26697892271663,17.28608470181504,19.427402862985684,18.87561899213516,10.055555555555555,28.597672994488672,54.65277777777777,65.69709127382146,48.80509824747743
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,4.610266159695818,0.0,10.486486486486486,29.025844930417495,27.09030100334448,29.84441301272984
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",45.63106796116505,0.0,74.60317460317461,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,13.348214285714285,7.1227741330834125,19.01108269394714,32.87159190853122,23.22429906542056,41.4451827242525,36.68341708542713,39.36068702290076,32.323232323232325
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,12.759113652609006,13.447098976109215,12.003000750187546,20.599112426035504,14.40891124685591,27.161904761904758,38.20840950639854,32.44818652849741,52.01863354037267
