,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,4.8050703810155495,4.632638979169375,4.971604628252429,4.657619486942374,3.641335747024612,5.956112852664576,4.306753545010281,3.197322717870663,6.710926928281462
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6.963916341071018,6.227828143476547,7.993384785005513,0.0,0.0,#DIV/0!,0.0,#DIV/0!,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3.991484832357637,0.0,7.088846880907372,9.846487827570167,16.517055655296232,4.776200873362446,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4.011887072808321,0.0,8.835078534031414,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,17.479674796747968,0.0,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,5.548387096774193,0.0,9.105346744309157,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!,4.2682926829268295,0.0,10.852713178294573,0.0,#DIV/0!,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,3.6855036855036856,8.336896109448483,0.0,15.492957746478872,0.0,19.230769230769234,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,21.56515580736544,54.71698113207547,0.0,5.803571428571429,6.683804627249357,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4.477238619309655,1.6776202006226217,7.083065035415325,9.209526222447428,0.0,23.703945223345286,0.0,0.0,0.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1.6459400146305778,0.0,4.702194357366771,5.784663397235844,4.42976491159899,7.6078431372549025,4.892022917584839,13.909774436090224,0.0
14,Rockland County (North)--New City & Congers PUMA,7.148067104303428,0.0,12.046711739397665,8.624052004333695,11.6214335421016,3.676048248133257,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,5.41087962962963,6.434872859366891,4.120340091563113,2.7090694935217905,2.3084643693542994,3.27790973871734,3.7320281431630473,5.339168490153172,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,3.6118675648559555,2.543025944002055,4.961089494163424,6.500408830744071,6.876077379812297,6.070567609029148,0.0,0.0,0.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,6.662157592154211,13.265993265993266,0.0,24.709976798143853,0.0,40.92219020172911,0.0,0.0,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5.261141616651768,4.078857919782461,6.787595084844939,4.302325581395349,3.6106250994114837,5.380609967765931,7.528089887640449,3.3906882591093117,19.30835734870317
21,Westchester County (Northwest) PUMA,8.817204301075268,19.88360814742968,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
22,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,1.71898355754858,0.0,2.4520255863539444,0.0,#DIV/0!,0.0
23,Monroe County (South) PUMA,2.243689622935494,4.368932038834951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,1.3427109974424554,2.1761658031088085,0.0,13.804173354735152,31.851851851851855,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
26,Erie County (Central) PUMA,26.325757575757574,0.0,64.65116279069767,38.70625662778367,46.794871794871796,0.0,0.0,#DIV/0!,0.0
27,St. Lawrence County PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1.3998112614029568,0.0,2.61150234741784,3.1791318524556758,5.862457722660654,0.0,0.0,0.0,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,13.838936669272869,10.377358490566039,15.555555555555555,0.0,0.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4.065456405011506,0.6271379703534777,6.861381548446917,3.790322580645161,0.508646998982706,7.468643101482327,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,13.472070098576122,0.0,24.69879518072289,9.70059880239521,0.0,16.41337386018237,#DIV/0!,#DIV/0!,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1.6844469399213924,3.981420039814201,0.0,4.6147507210548,6.267487409065472,0.0,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,13.378033205619413,0.0,27.71164021164021,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",9.799453053783044,17.117834394904456,0.0,2.1440691038099646,0.0,4.0324920220481575,24.204065976217876,55.89016829052259,0.0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,4.930578331693451,4.871841483366661,5.019199122325837,1.9689119170984457,2.037596950177468,1.8803997967135353,0.0,0.0,0.0
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",2.8250401284109152,0.0,3.8972542072630643,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
41,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,#DIV/0!
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,0.0,0.0,0.0,0.0,39.792387543252595,41.54929577464789,38.095238095238095
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",4.507904856857997,4.413489736070382,4.59706452506231,3.4530926971000726,2.2303325223033252,4.954562429976347,2.0232815964523283,0.0,7.213438735177865
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,2.1017362168748095,4.520144120537176,0.0,3.3393634185694028,0.0,8.140643623361145,3.3760361718161267,1.7107309486780715,9.121395036887995
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3.7395228884590583,0.0,8.895705521472392,0.0,0.0,0.0,0.0,0.0,0.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2.0908199934661873,0.0,4.058338617628408,8.632746563781046,7.367514002585093,10.240963855421686,0.0,0.0,#DIV/0!
48,Wayne & Seneca Counties PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
49,Schenectady County--Schenectady City PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,3.3120757045875333,0.0,6.767549390500211,4.871488344291692,9.772182254196643,0.0,52.02821869488537,0.0,57.28155339805825
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,6.553164150337295,0.0,12.150089338892197,3.270440251572327,0.0,8.360128617363344,0.0,#DIV/0!,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,13.971807628524047,25.588235294117645,5.459770114942529,5.1869501466275665,0.0,16.11617312072893,7.718446601941747,0.0,23.2796486090776
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1.8259281801582472,2.4410089503661516,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
54,Columbia & Greene Counties PUMA,0.0,0.0,0.0,22.105263157894736,26.923076923076923,0.0,0.0,0.0,0.0
55,Rensselaer County--Troy City PUMA,4.536489151873767,14.02439024390244,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
56,Erie County (West Central)--Buffalo City (West) PUMA,23.727422003284072,17.746113989637305,34.08071748878923,6.692913385826772,0.0,29.142857142857142,0.0,0.0,0.0
57,Erie County (South) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",3.776501766784452,6.988148753575807,0.0,5.226296663363065,0.7906727418922541,9.53994526260915,8.032490974729242,10.840438489646772,0.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,17.16216216216216,0.0,30.850202429149796,6.528451698279665,0.0,12.824956672443674,15.031315240083506,22.89348171701113,0.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,3.4636578325898713,0.0,6.643180674383492,0.0,0.0,0.0,13.707165109034266,0.0,39.198218262806236
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,2.2178338143703478,3.5726099900760833,1.0674157303370786,0.0,0.0,0.0,0.0,0.0,0.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,33.50125944584383,56.59121171770972,12.783751493428912,0.0,0.0,0.0,4.6875,0.0,9.569377990430622
64,Albany County (East Central)--Albany City PUMA,5.568181818181818,0.0,11.793020457280386,0.0,0.0,0.0,0.0,0.0,0.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,4.481132075471698,8.936970837253057,0.0,5.693148922483114,9.46018172100481,0.0,0.0,0.0,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,12.570356472795496,0.0,52.14007782101168,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4.282407407407407,4.952076677316294,3.901996370235935,1.6944699855510312,1.6144349477682813,1.7935901205527787,4.581358609794629,0.0,10.915934755332497
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",0.0,0.0,0.0,2.194555813462756,3.9046367561479256,0.0,2.019867549668874,0.0,4.189560439560439
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",8.653122648607976,19.782110091743117,0.0,3.219178082191781,0.0,6.007669365146996,0.0,0.0,0.0
70,Erie County (Northeast) PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
71,NYC-Manhattan Community District 11--East Harlem PUMA,12.015318334131162,16.581892166836216,7.956600361663653,10.513347022587268,0.0,19.96879875195008,0.0,0.0,0.0
