,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,175118.0,88375.0,86743.0,133275.0,68858.0,64417.0,41843.0,19517.0,22326.0,93705.0,45181.0,48524.0,76931.0,38111.0,38820.0,16774.0,7070.0,9704.0,65834.0,34187.0,31647.0,45602.0,25412.0,20190.0,20232.0,8775.0,11457.0,15579.0,9007.0,6572.0,10742.0,5335.0,5407.0,4837.0,3672.0,1165.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,5199.0,1047.0,4152.0,3917.0,738.0,3179.0,1282.0,309.0,973.0,2947.0,845.0,2102.0,2567.0,738.0,1829.0,380.0,107.0,273.0,1301.0,0.0,1301.0,601.0,0.0,601.0,700.0,0.0,700.0,951.0,202.0,749.0,749.0,0.0,749.0,202.0,202.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,2912.0,1351.0,1561.0,2264.0,884.0,1380.0,648.0,467.0,181.0,2157.0,891.0,1266.0,1881.0,703.0,1178.0,276.0,188.0,88.0,476.0,181.0,295.0,383.0,181.0,202.0,93.0,0.0,93.0,279.0,279.0,0.0,0.0,0.0,0.0,279.0,279.0,0.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,151.0,0.0,151.0,151.0,0.0,151.0,0.0,0.0,0.0,90.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,0.0,61.0,0.0,61.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",43.0,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,5100.0,1953.0,3147.0,4528.0,1953.0,2575.0,572.0,0.0,572.0,4989.0,1953.0,3036.0,4417.0,1953.0,2464.0,572.0,0.0,572.0,111.0,0.0,111.0,111.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
