,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,87.63701738462612,91.38330131246963,83.85005966726725,80.61183511161857,86.8386639786411,72.08069723606367,71.79568961589283,79.078579976067,55.93048515568428
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,95.9849157054126,100.0,93.63796133567662,55.7815223707147,#DIV/0!,55.7815223707147,78.75920084121977,0.0,100.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,61.935483870967744,#DIV/0!,61.935483870967744,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,83.56348939036712,95.30154277699859,72.71548930654569,57.540603248259856,85.2233676975945,0.0,100.0,100.0,#DIV/0!
4,Madison & Cortland Counties PUMA,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,100.0,100.0,100.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,100.0,100.0,#DIV/0!,100.0,100.0,100.0,100.0,#DIV/0!,100.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,36.84931506849315,60.15625,18.658536585365855,80.49367850692354,100.0,64.8590021691974,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",54.109589041095894,100.0,34.95145631067961,34.92063492063492,28.440366972477065,43.75,100.0,100.0,100.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,91.05646379997252,92.18612818261633,90.05696530295184,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,55.88235294117647,100.0,40.397350993377486,59.34343434343434,36.875,74.57627118644068,43.925233644859816,43.925233644859816,#DIV/0!
11,Erie County (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,75.29812606473595,75.29812606473595,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",88.18474758324383,89.66087675765095,87.0580808080808,83.02024884118077,94.08123791102514,64.13474240422721,#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,100.0,100.0,100.0,13.099041533546327,0.0,21.92513368983957,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,57.46835443037974,9.18918918918919,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",100.0,100.0,100.0,100.0,100.0,#DIV/0!,100.0,100.0,100.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,87.14285714285714,90.71618037135278,82.46527777777779,100.0,100.0,#DIV/0!,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,89.23429319371728,88.76889848812095,89.51804055833553,77.83706865884027,85.53682342502218,66.22043730477465,50.079239302694134,50.079239302694134,#DIV/0!
18,Tompkins County PUMA,87.0935960591133,100.0,73.90438247011953,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,74.17355371900827,100.0,65.9400544959128,62.23404255319149,50.31055900621118,78.099173553719,#DIV/0!,#DIV/0!,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,94.58023379383634,100.0,87.85714285714286,91.40708915145005,100.0,85.63734290843806,100.0,100.0,#DIV/0!
21,Westchester County (Northwest) PUMA,95.60021727322108,92.62966333030027,100.0,72.26148409893993,100.0,19.072164948453608,100.0,100.0,100.0
22,Albany County (Outside Albany City) PUMA,75.87108013937282,48.529411764705884,90.94594594594595,100.0,100.0,100.0,100.0,#DIV/0!,100.0
23,Monroe County (South) PUMA,91.47851420247632,100.0,75.87628865979381,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,100.0,#DIV/0!,100.0,100.0,#DIV/0!,100.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",30.985915492957744,#DIV/0!,30.985915492957744,83.43949044585987,85.09316770186336,81.69934640522875,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,100.0,100.0,100.0,93.04029304029304,100.0,67.61363636363636,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,65.22346368715084,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",94.13237924865831,97.12509712509713,91.57824933687002,88.19875776397515,77.64705882352942,100.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,84.36097330498464,100.0,68.40095465393794,85.65955117679256,80.67324434126523,90.10875194199896,55.3314121037464,42.27188081936685,100.0
