,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,5.3108181388812765,3.076337462800194,7.595071045339308,4.955648760297939,4.9914994899693985,4.905987414748107,4.468498473494311,3.2479784366576823,7.1407494836234875
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7.889974665218964,4.461538461538462,10.936431989063568,0.0,0.0,0.0,0.0,0.0,#DIV/0!
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
5,Ontario & Yates Counties PUMA,0.0,0.0,0.0,44.85294117647059,#DIV/0!,44.85294117647059,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,4.453614114968697,0.0,8.445763626551537,32.239382239382245,0.0,43.37662337662337,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!
11,Erie County (Northwest) PUMA,100.0,100.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.0,0.0,0.0,13.247133447182238,0.0,35.86525759577279,#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,0.0,40.2555910543131,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,12.923289564616447,0.0,26.984126984126984,0.0,0.0,#DIV/0!,0.0,0.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10.239549084077032,3.350515463917526,14.19068736141907,6.866791744840525,11.265004616805172,0.0,0.0,0.0,#DIV/0!
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
19,Dutchess County (Southwest) PUMA,38.18770226537217,0.0,48.16326530612245,10.047846889952153,0.0,20.655737704918035,#DIV/0!,#DIV/0!,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,10.578842315369261,0.0,22.03742203742204,4.189044038668099,10.427807486631016,0.0,0.0,0.0,#DIV/0!
21,Westchester County (Northwest) PUMA,10.847457627118644,0.0,23.18840579710145,0.0,0.0,0.0,0.0,0.0,0.0
22,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
23,Monroe County (South) PUMA,9.249817916970137,0.0,26.18556701030928,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
24,Jefferson & Lewis Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",49.28571428571429,100.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
26,Erie County (Central) PUMA,0.0,0.0,0.0,16.23931623931624,20.684292379471227,0.0,#DIV/0!,#DIV/0!,#DIV/0!
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",6.666666666666667,0.0,12.612612612612612,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.0,25.0,0.0,79.12087912087912,0.0,0.0,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1.744765702891326,0.0,3.7353255069370332,0.0,0.0,0.0,0.0,0.0,0.0
31,Cayuga & Onondaga (South) Counties PUMA,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,0.0,0.0,#DIV/0!,0.0,0.0,0.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,0.0,#DIV/0!,0.0,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,16.07883817427386,24.83974358974359,0.0,12.972972972972974,0.0,28.915662650602407,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,5.963870329126454,0.0,10.870545782589085,0.0,0.0,0.0,0.0,0.0,0.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.0,41.113490364025694,31.692307692307693,62.676056338028175,0.0,0.0,#DIV/0!
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.0,0.0,#DIV/0!,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",11.101000909918108,0.0,17.83625730994152,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
