,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,404892.0,187947.0,216945.0,86700.0,37093.0,49607.0,318192.0,150854.0,167338.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2885.0,0.0,2885.0,0.0,0.0,0.0,2885.0,0.0,2885.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,966.0,359.0,607.0,409.0,359.0,50.0,557.0,0.0,557.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1689.0,742.0,947.0,71.0,71.0,0.0,1618.0,671.0,947.0
4,Madison & Cortland Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,120.0,49.0,71.0,120.0,49.0,71.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,183.0,0.0,183.0,183.0,0.0,183.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1941.0,1529.0,412.0,251.0,114.0,137.0,1690.0,1415.0,275.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",47.0,0.0,47.0,47.0,0.0,47.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,322.0,161.0,161.0,0.0,0.0,0.0,322.0,161.0,161.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,1661.0,959.0,702.0,0.0,0.0,0.0,1661.0,959.0,702.0
11,Erie County (Northwest) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",4905.0,2141.0,2764.0,1498.0,661.0,837.0,3407.0,1480.0,1927.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,4950.0,2669.0,2281.0,650.0,337.0,313.0,4300.0,2332.0,1968.0
14,Rockland County (North)--New City & Congers PUMA,1738.0,833.0,905.0,810.0,431.0,379.0,928.0,402.0,526.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",42.0,21.0,21.0,42.0,21.0,21.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,27575.0,13509.0,14066.0,4618.0,1923.0,2695.0,22957.0,11586.0,11371.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,16265.0,7777.0,8488.0,5797.0,2554.0,3243.0,10468.0,5223.0,5245.0
18,Tompkins County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Dutchess County (Southwest) PUMA,1457.0,789.0,668.0,578.0,81.0,497.0,879.0,708.0,171.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,5685.0,2475.0,3210.0,2618.0,1403.0,1215.0,3067.0,1072.0,1995.0
21,Westchester County (Northwest) PUMA,4839.0,2165.0,2674.0,571.0,0.0,571.0,4268.0,2165.0,2103.0
22,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,1118.0,239.0,879.0,1118.0,239.0,879.0,0.0,0.0,0.0
24,Jefferson & Lewis Counties PUMA,95.0,0.0,95.0,0.0,0.0,0.0,95.0,0.0,95.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Erie County (Central) PUMA,549.0,0.0,549.0,0.0,0.0,0.0,549.0,0.0,549.0
27,St. Lawrence County PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",5772.0,2157.0,3615.0,0.0,0.0,0.0,5772.0,2157.0,3615.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,457.0,100.0,357.0,236.0,0.0,236.0,221.0,100.0,121.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3456.0,1420.0,2036.0,245.0,182.0,63.0,3211.0,1238.0,1973.0
