,puma,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,37.61295345399197,33.51805691563548,43.49517253138387
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,41.51291512915129,48.205128205128204,39.40129449838188
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,24.299065420560748,28.697571743929362,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,91.16135662898253,82.52032520325203,100.0
4,Madison & Cortland Counties PUMA,0.0,0.0,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,34.49367088607595,32.51231527093596,38.05309734513274
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,26.340326340326342,37.244897959183675,17.167381974248926
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",21.83288409703504,38.405797101449274,12.017167381974248
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,16.52574942352037,71.03174603174604,3.4318398474737846
11,Erie County (Northwest) PUMA,27.400468384074944,100.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",19.815227779547627,18.383838383838384,22.260569456427955
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,61.03074141048824,59.87144168962351,61.597128757290264
14,Rockland County (North)--New City & Congers PUMA,25.40381791483113,39.33588761174968,16.746031746031743
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",23.4375,30.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,59.72744360902256,56.76113360323887,63.829787234042556
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,42.30690010298661,40.63627418825845,45.12735326688815
18,Tompkins County PUMA,81.35593220338984,0.0,100.0
19,Dutchess County (Southwest) PUMA,14.87603305785124,14.87603305785124,#DIV/0!
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25.417322834645667,23.615712257453858,29.001883239171374
21,Westchester County (Northwest) PUMA,30.87525844245348,16.98703620920876,77.59398496240601
22,Albany County (Outside Albany City) PUMA,27.508090614886733,#DIV/0!,27.508090614886733
23,Monroe County (South) PUMA,57.89090909090909,52.14477211796247,64.70588235294117
24,Jefferson & Lewis Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!
26,Erie County (Central) PUMA,0.0,#DIV/0!,0.0
27,St. Lawrence County PUMA,87.05882352941177,#DIV/0!,87.05882352941177
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",42.54835039817975,37.525987525987524,48.618090452261306
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,14.004914004914005,14.004914004914005,#DIV/0!
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,18.181818181818183,32.57305773342837,2.8158295281582952
31,Cayuga & Onondaga (South) Counties PUMA,0.0,#DIV/0!,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,65.0,59.950248756218905,100.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9.136630343671417,6.473829201101928,13.276231263383298
