,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,7319189.0,3573908.0,3745281.0,4507790.0,2233083.0,2274707.0,2811399.0,1340825.0,1470574.0,2955056.0,1344437.0,1610619.0,1923411.0,870838.0,1052573.0,1031645.0,473599.0,558046.0,3857017.0,1953543.0,1903474.0,2395285.0,1247597.0,1147688.0,1461732.0,705946.0,755786.0,507116.0,275928.0,231188.0,189094.0,114648.0,74446.0,318022.0,161280.0,156742.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,83530.0,38326.0,45204.0,27438.0,9839.0,17599.0,56092.0,28487.0,27605.0,68521.0,29327.0,39194.0,24543.0,8695.0,15848.0,43978.0,20632.0,23346.0,13646.0,8482.0,5164.0,2895.0,1144.0,1751.0,10751.0,7338.0,3413.0,1363.0,517.0,846.0,0.0,0.0,0.0,1363.0,517.0,846.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,45441.0,22964.0,22477.0,40241.0,20263.0,19978.0,5200.0,2701.0,2499.0,23475.0,11139.0,12336.0,20492.0,9736.0,10756.0,2983.0,1403.0,1580.0,19382.0,10486.0,8896.0,17642.0,9425.0,8217.0,1740.0,1061.0,679.0,2584.0,1339.0,1245.0,2107.0,1102.0,1005.0,477.0,237.0,240.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63712.0,31256.0,32456.0,18981.0,9137.0,9844.0,44731.0,22119.0,22612.0,46115.0,21739.0,24376.0,15454.0,7290.0,8164.0,30661.0,14449.0,16212.0,13985.0,8081.0,5904.0,3071.0,1847.0,1224.0,10914.0,6234.0,4680.0,3612.0,1436.0,2176.0,456.0,0.0,456.0,3156.0,1436.0,1720.0
4,Madison & Cortland Counties PUMA,57581.0,28993.0,28588.0,43578.0,21200.0,22378.0,14003.0,7793.0,6210.0,15524.0,7285.0,8239.0,13689.0,6289.0,7400.0,1835.0,996.0,839.0,38983.0,19721.0,19262.0,27611.0,13564.0,14047.0,11372.0,6157.0,5215.0,3074.0,1987.0,1087.0,2278.0,1347.0,931.0,796.0,640.0,156.0
5,Ontario & Yates Counties PUMA,65561.0,32298.0,33263.0,52040.0,26295.0,25745.0,13521.0,6003.0,7518.0,22470.0,10037.0,12433.0,18711.0,8418.0,10293.0,3759.0,1619.0,2140.0,38281.0,19261.0,19020.0,29598.0,15262.0,14336.0,8683.0,3999.0,4684.0,4810.0,3000.0,1810.0,3731.0,2615.0,1116.0,1079.0,385.0,694.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,62404.0,30645.0,31759.0,49373.0,24839.0,24534.0,13031.0,5806.0,7225.0,18559.0,7855.0,10704.0,15810.0,7490.0,8320.0,2749.0,365.0,2384.0,41219.0,21371.0,19848.0,32142.0,16485.0,15657.0,9077.0,4886.0,4191.0,2626.0,1419.0,1207.0,1421.0,864.0,557.0,1205.0,555.0,650.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,35510.0,17292.0,18218.0,32463.0,16117.0,16346.0,3047.0,1175.0,1872.0,18877.0,8340.0,10537.0,18058.0,8129.0,9929.0,819.0,211.0,608.0,15239.0,8387.0,6852.0,13788.0,7655.0,6133.0,1451.0,732.0,719.0,1394.0,565.0,829.0,617.0,333.0,284.0,777.0,232.0,545.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",80734.0,40603.0,40131.0,56524.0,28632.0,27892.0,24210.0,11971.0,12239.0,15337.0,6501.0,8836.0,12285.0,5408.0,6877.0,3052.0,1093.0,1959.0,58167.0,29869.0,28298.0,40672.0,21217.0,19455.0,17495.0,8652.0,8843.0,7230.0,4233.0,2997.0,3567.0,2007.0,1560.0,3663.0,2226.0,1437.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,90565.0,40810.0,49755.0,31999.0,14801.0,17198.0,58566.0,26009.0,32557.0,75304.0,32849.0,42455.0,28160.0,13463.0,14697.0,47144.0,19386.0,27758.0,15261.0,7961.0,7300.0,3839.0,1338.0,2501.0,11422.0,6623.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
