,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,2659149.0,1265603.0,1393546.0,2132617.0,1047047.0,1085570.0,526532.0,218556.0,307976.0,995593.0,456944.0,538649.0,884672.0,410042.0,474630.0,110921.0,46902.0,64019.0,1369451.0,658555.0,710896.0,1060626.0,536965.0,523661.0,308825.0,121590.0,187235.0,294105.0,150104.0,144001.0,187319.0,100040.0,87279.0,106786.0,50064.0,56722.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,53129.0,26030.0,27099.0,45641.0,23152.0,22489.0,7488.0,2878.0,4610.0,41974.0,18962.0,23012.0,37900.0,17634.0,20266.0,4074.0,1328.0,2746.0,9792.0,6551.0,3241.0,7042.0,5340.0,1702.0,2750.0,1211.0,1539.0,1363.0,517.0,846.0,699.0,178.0,521.0,664.0,339.0,325.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4296.0,2403.0,1893.0,3655.0,1940.0,1715.0,641.0,463.0,178.0,2498.0,1181.0,1317.0,2384.0,1067.0,1317.0,114.0,114.0,0.0,1561.0,985.0,576.0,1034.0,636.0,398.0,527.0,349.0,178.0,237.0,237.0,0.0,237.0,237.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,42985.0,20958.0,22027.0,37406.0,18378.0,19028.0,5579.0,2580.0,2999.0,30242.0,14282.0,15960.0,27193.0,13139.0,14054.0,3049.0,1143.0,1906.0,9862.0,5346.0,4516.0,8246.0,4299.0,3947.0,1616.0,1047.0,569.0,2881.0,1330.0,1551.0,1967.0,940.0,1027.0,914.0,390.0,524.0
4,Madison & Cortland Counties PUMA,12666.0,7176.0,5490.0,10167.0,5886.0,4281.0,2499.0,1290.0,1209.0,1702.0,921.0,781.0,1617.0,836.0,781.0,85.0,85.0,0.0,10290.0,5615.0,4675.0,8200.0,4734.0,3466.0,2090.0,881.0,1209.0,674.0,640.0,34.0,350.0,316.0,34.0,324.0,324.0,0.0
5,Ontario & Yates Counties PUMA,12984.0,5972.0,7012.0,10838.0,5218.0,5620.0,2146.0,754.0,1392.0,3759.0,1619.0,2140.0,3667.0,1619.0,2048.0,92.0,0.0,92.0,8146.0,3968.0,4178.0,6283.0,3230.0,3053.0,1863.0,738.0,1125.0,1079.0,385.0,694.0,888.0,369.0,519.0,191.0,16.0,175.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,12167.0,5571.0,6596.0,9533.0,4905.0,4628.0,2634.0,666.0,1968.0,2120.0,365.0,1755.0,1625.0,365.0,1260.0,495.0,0.0,495.0,8842.0,4651.0,4191.0,7068.0,3985.0,3083.0,1774.0,666.0,1108.0,1205.0,555.0,650.0,840.0,555.0,285.0,365.0,0.0,365.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,3047.0,1175.0,1872.0,2578.0,1175.0,1403.0,469.0,0.0,469.0,819.0,211.0,608.0,604.0,211.0,393.0,215.0,0.0,215.0,1451.0,732.0,719.0,1197.0,732.0,465.0,254.0,0.0,254.0,777.0,232.0,545.0,777.0,232.0,545.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",22691.0,11249.0,11442.0,17810.0,8723.0,9087.0,4881.0,2526.0,2355.0,2828.0,1039.0,1789.0,2556.0,1009.0,1547.0,272.0,30.0,242.0,16656.0,8369.0,8287.0,13570.0,6565.0,7005.0,3086.0,1804.0,1282.0,3207.0,1841.0,1366.0,1684.0,1149.0,535.0,1523.0,692.0,831.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,57871.0,25314.0,32557.0,53545.0,23230.0,30315.0,4326.0,2084.0,2242.0,46869.0,19111.0,27758.0,42543.0,17027.0,25516.0,4326.0,2084.0,2242.0,11002.0,6203.0,4799.0,11002.0,6203.0,4799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,3631.0,1659.0,1972.0,3136.0,1526.0,1610.0,495.0,133.0,362.0,573.0,144.0,429.0,573.0,144.0,429.0,0.0,0.0,0.0,2254.0,711.0,1543.0,1759.0,578.0,1181.0,495.0,133.0,362.0,804.0,804.0,0.0,804.0,804.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,10576.0,4553.0,6023.0,8665.0,3815.0,4850.0,1911.0,738.0,1173.0,2834.0,1511.0,1323.0,2569.0,1511.0,1058.0,265.0,0.0,265.0,7276.0,2708.0,4568.0,5919.0,2127.0,3792.0,1357.0,581.0,776.0,466.0,334.0,132.0,177.0,177.0,0.0,289.0,157.0,132.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",14965.0,6928.0,8037.0,12025.0,5674.0,6351.0,2940.0,1254.0,1686.0,7933.0,4023.0,3910.0,6422.0,3431.0,2991.0,1511.0,592.0,919.0,6454.0,2905.0,3549.0,5381.0,2243.0,3138.0,1073.0,662.0,411.0,578.0,0.0,578.0,222.0,0.0,222.0,356.0,0.0,356.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,25931.0,9682.0,16249.0,18121.0,7020.0,11101.0,7810.0,2662.0,5148.0,4669.0,1592.0,3077.0,3857.0,984.0,2873.0,812.0,608.0,204.0,16967.0,7095.0,9872.0,12129.0,5391.0,6738.0,4838.0,1704.0,3134.0,4295.0,995.0,3300.0,2135.0,645.0,1490.0,2160.0,350.0,1810.0
14,Rockland County (North)--New City & Congers PUMA,5370.0,2804.0,2566.0,4067.0,2477.0,1590.0,1303.0,327.0,976.0,1176.0,577.0,599.0,1097.0,577.0,520.0,79.0,0.0,79.0,3823.0,2147.0,1676.0,2970.0,1900.0,1070.0,853.0,247.0,606.0,371.0,80.0,291.0,0.0,0.0,0.0,371.0,80.0,291.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",10592.0,5434.0,5158.0,9287.0,4771.0,4516.0,1305.0,663.0,642.0,1984.0,977.0,1007.0,1670.0,772.0,898.0,314.0,205.0,109.0,7691.0,4054.0,3637.0,6866.0,3762.0,3104.0,825.0,292.0,533.0,917.0,403.0,514.0,751.0,237.0,514.0,166.0,166.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,19598.0,10050.0,9548.0,15368.0,7782.0,7586.0,4230.0,2268.0,1962.0,10677.0,4692.0,5985.0,10113.0,4342.0,5771.0,564.0,350.0,214.0,5517.0,3067.0,2450.0,3296.0,2218.0,1078.0,2221.0,849.0,1372.0,3404.0,2291.0,1113.0,1959.0,1222.0,737.0,1445.0,1069.0,376.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,15815.0,7388.0,8427.0,13279.0,6145.0,7134.0,2536.0,1243.0,1293.0,5078.0,1399.0,3679.0,4693.0,1366.0,3327.0,385.0,33.0,352.0,9678.0,5445.0,4233.0,8088.0,4635.0,3453.0,1590.0,810.0,780.0,1059.0,544.0,515.0,498.0,144.0,354.0,561.0,400.0,161.0
18,Tompkins County PUMA,13009.0,7123.0,5886.0,10734.0,5853.0,4881.0,2275.0,1270.0,1005.0,7420.0,4333.0,3087.0,7032.0,4112.0,2920.0,388.0,221.0,167.0,5117.0,2426.0,2691.0,3345.0,1492.0,1853.0,1772.0,934.0,838.0,472.0,364.0,108.0,357.0,249.0,108.0,115.0,115.0,0.0
19,Dutchess County (Southwest) PUMA,20544.0,9099.0,11445.0,16279.0,8183.0,8096.0,4265.0,916.0,3349.0,4243.0,1832.0,2411.0,4106.0,1745.0,2361.0,137.0,87.0,50.0,14349.0,6818.0,7531.0,10543.0,6094.0,4449.0,3806.0,724.0,3082.0,1952.0,449.0,1503.0,1630.0,344.0,1286.0,322.0,105.0,217.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,16227.0,7644.0,8583.0,11715.0,5478.0,6237.0,4512.0,2166.0,2346.0,5809.0,2556.0,3253.0,4602.0,1992.0,2610.0,1207.0,564.0,643.0,9374.0,4466.0,4908.0,6317.0,3004.0,3313.0,3057.0,1462.0,1595.0,1044.0,622.0,422.0,796.0,482.0,314.0,248.0,140.0,108.0
21,Westchester County (Northwest) PUMA,12652.0,5899.0,6753.0,8402.0,4681.0,3721.0,4250.0,1218.0,3032.0,3628.0,1349.0,2279.0,2932.0,1128.0,1804.0,696.0,221.0,475.0,8023.0,3815.0,4208.0,4799.0,3077.0,1722.0,3224.0,738.0,2486.0,1001.0,735.0,266.0,671.0,476.0,195.0,330.0,259.0,71.0
22,Albany County (Outside Albany City) PUMA,25304.0,12862.0,12442.0,21086.0,10305.0,10781.0,4218.0,2557.0,1661.0,7548.0,3138.0,4410.0,6525.0,2518.0,4007.0,1023.0,620.0,403.0,15740.0,8348.0,7392.0,13125.0,6894.0,6231.0,2615.0,1454.0,1161.0,2016.0,1376.0,640.0,1436.0,893.0,543.0,580.0,483.0,97.0
23,Monroe County (South) PUMA,13918.0,7305.0,6613.0,11503.0,6236.0,5267.0,2415.0,1069.0,1346.0,6172.0,2850.0,3322.0,5818.0,2726.0,3092.0,354.0,124.0,230.0,6908.0,4093.0,2815.0,5305.0,3389.0,1916.0,1603.0,704.0,899.0,838.0,362.0,476.0,380.0,121.0,259.0,458.0,241.0,217.0
24,Jefferson & Lewis Counties PUMA,18186.0,8922.0,9264.0,14989.0,7690.0,7299.0,3197.0,1232.0,1965.0,3521.0,1312.0,2209.0,3364.0,1293.0,2071.0,157.0,19.0,138.0,11927.0,5703.0,6224.0,9014.0,4580.0,4434.0,2913.0,1123.0,1790.0,2738.0,1907.0,831.0,2611.0,1817.0,794.0,127.0,90.0,37.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",12432.0,5914.0,6518.0,9445.0,4247.0,5198.0,2987.0,1667.0,1320.0,1468.0,892.0,576.0,1395.0,836.0,559.0,73.0,56.0,17.0,9583.0,4274.0,5309.0,7255.0,2800.0,4455.0,2328.0,1474.0,854.0,1381.0,748.0,633.0,795.0,611.0,184.0,586.0,137.0,449.0
26,Erie County (Central) PUMA,17912.0,7569.0,10343.0,14423.0,6254.0,8169.0,3489.0,1315.0,2174.0,2728.0,745.0,1983.0,2654.0,745.0,1909.0,74.0,0.0,74.0,14132.0,6428.0,7704.0,10896.0,5230.0,5666.0,3236.0,1198.0,2038.0,1052.0,396.0,656.0,873.0,279.0,594.0,179.0,117.0,62.0
27,St. Lawrence County PUMA,10572.0,5482.0,5090.0,8551.0,4665.0,3886.0,2021.0,817.0,1204.0,2073.0,1521.0,552.0,1938.0,1504.0,434.0,135.0,17.0,118.0,7384.0,3386.0,3998.0,5765.0,2727.0,3038.0,1619.0,659.0,960.0,1115.0,575.0,540.0,848.0,434.0,414.0,267.0,141.0,126.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",30038.0,14021.0,16017.0,23041.0,10546.0,12495.0,6997.0,3475.0,3522.0,19204.0,9869.0,9335.0,15364.0,7521.0,7843.0,3840.0,2348.0,1492.0,8683.0,3106.0,5577.0,5814.0,1979.0,3835.0,2869.0,1127.0,1742.0,2151.0,1046.0,1105.0,1863.0,1046.0,817.0,288.0,0.0,288.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4590.0,2752.0,1838.0,3344.0,1962.0,1382.0,1246.0,790.0,456.0,747.0,381.0,366.0,747.0,381.0,366.0,0.0,0.0,0.0,3107.0,2188.0,919.0,2317.0,1398.0,919.0,790.0,790.0,0.0,736.0,183.0,553.0,280.0,183.0,97.0,456.0,0.0,456.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,52407.0,28406.0,24001.0,43138.0,24155.0,18983.0,9269.0,4251.0,5018.0,30997.0,16361.0,14636.0,28031.0,15649.0,12382.0,2966.0,712.0,2254.0,17770.0,9672.0,8098.0,12444.0,6705.0,5739.0,5326.0,2967.0,2359.0,3640.0,2373.0,1267.0,2663.0,1801.0,862.0,977.0,572.0,405.0
