,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,4908757,2659157,2249600,4603830,2507666,2096164,304927,151491,153436,2299072,1136671,1162401,2249785,1112328,1137457,49287,24343,24944,2416023,1390657,1025366,2207458,1291674,915784,208565,98983,109582,193662,131829,61833,146587,103664,42923,47075,28165,18910
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,58659,29760,28899,55852,28869,26983,2807,891,1916,50805,24633,26172,49494,24064,25430,1311,569,742,7155,4949,2206,6180,4627,1553,975,322,653,699,178,521,178,178,0,521,0,521
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,32167,18654,13513,31284,18194,13090,883,460,423,17759,9548,8211,17201,9353,7848,558,195,363,13074,8142,4932,12749,7877,4872,325,265,60,1334,964,370,1334,964,370,0,0,0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,47753,24808,22945,45749,23571,22178,2004,1237,767,38275,19274,19001,37649,18860,18789,626,414,212,8127,5003,3124,6998,4180,2818,1129,823,306,1351,531,820,1102,531,571,249,0,249
4,Madison & Cortland Counties PUMA,37976,21930,16046,35863,20616,15247,2113,1314,799,12252,6018,6234,11878,5674,6204,374,344,30,24491,15045,9446,22824,14147,8677,1667,898,769,1233,867,366,1161,795,366,72,72,0
5,Ontario & Yates Counties PUMA,45134,26155,18979,41743,24345,17398,3391,1810,1581,18131,9240,8891,17888,9166,8722,243,74,169,23782,14395,9387,21537,13119,8418,2245,1276,969,3221,2520,701,2318,2060,258,903,460,443
6,Monroe County (Central)--Greece & Gates Towns PUMA,44487,24356,20131,42787,23498,19289,1700,858,842,14629,6756,7873,14446,6685,7761,183,71,112,28410,16610,11800,27179,15931,11248,1231,679,552,1448,990,458,1162,882,280,286,108,178
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,24508,13608,10900,24345,13538,10807,163,70,93,14105,7582,6523,14012,7582,6430,93,0,93,9452,5461,3991,9382,5391,3991,70,70,0,951,565,386,951,565,386,0,0,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",50493,27805,22688,46483,25891,20592,4010,1914,2096,12321,5583,6738,12034,5553,6481,287,30,257,35712,20203,15509,32059,18389,13670,3653,1814,1839,2460,2019,441,2390,1949,441,70,70,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,71093,35140,35953,69249,34592,34657,1844,548,1296,60265,29293,30972,58893,29205,29688,1372,88,1284,10828,5847,4981,10356,5387,4969,472,460,12,0,0,0,0,0,0,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,32712,18576,14136,32138,18002,14136,574,574,0,15899,8068,7831,15755,7924,7831,144,144,0,16280,9975,6305,16086,9781,6305,194,194,0,533,533,0,297,297,0,236,236,0
11,Erie County (Northwest) PUMA,37159,19459,17700,34661,18687,15974,2498,772,1726,15408,7738,7670,15408,7738,7670,0,0,0,20716,10930,9786,18395,10335,8060,2321,595,1726,1035,791,244,858,614,244,177,177,0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",20771,10293,10478,19941,9705,10236,830,588,242,12519,6374,6145,12122,6094,6028,397,280,117,7429,3625,3804,7158,3354,3804,271,271,0,823,294,529,661,257,404,162,37,125
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,23131,9906,13225,18880,9058,9822,4251,848,3403,5439,2172,3267,5315,2048,3267,124,124,0,15188,7055,8133,12263,6686,5577,2925,369,2556,2504,679,1825,1302,324,978,1202,355,847
14,Rockland County (North)--New City & Congers PUMA,26392,13415,12977,25827,13314,12513,565,101,464,13543,6874,6669,13442,6773,6669,101,101,0,11376,5964,5412,11035,5964,5071,341,0,341,1473,577,896,1350,577,773,123,0,123
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",36613,20502,16111,33773,18674,15099,2840,1828,1012,9903,4168,5735,9357,3883,5474,546,285,261,24955,15282,9673,23041,13848,9193,1914,1434,480,1755,1052,703,1375,943,432,380,109,271
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,18594,9561,9033,16952,8650,8302,1642,911,731,12479,5491,6988,12150,5224,6926,329,267,62,4727,2983,1744,3737,2662,1075,990,321,669,1388,1087,301,1065,764,301,323,323,0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,18246,8736,9510,17252,8221,9031,994,515,479,8017,2873,5144,7549,2482,5067,468,391,77,9631,5586,4045,9189,5462,3727,442,124,318,598,277,321,514,277,237,84,0,84
18,Tompkins County PUMA,28684,14196,14488,26853,13443,13410,1831,753,1078,16474,8662,7812,16378,8657,7721,96,5,91,11361,4685,6676,9703,4014,5689,1658,671,987,849,849,0,772,772,0,77,77,0
19,Dutchess County (Southwest) PUMA,47026,26490,20536,44660,25377,19283,2366,1113,1253,17570,8353,9217,17437,8220,9217,133,133,0,27345,17073,10272,25622,16184,9438,1723,889,834,2111,1064,1047,1601,973,628,510,91,419
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,21547,11245,10302,20138,10761,9377,1409,484,925,8864,4066,4798,8351,3955,4396,513,111,402,11722,6377,5345,10987,6057,4930,735,320,415,961,802,159,800,749,51,161,53,108
21,Westchester County (Northwest) PUMA,37534,20643,16891,36156,20379,15777,1378,264,1114,23084,11908,11176,22779,11861,10918,305,47,258,13208,7826,5382,12540,7784,4756,668,42,626,1242,909,333,837,734,103,405,175,230
22,Albany County (Outside Albany City) PUMA,68028,36495,31533,64677,34565,30112,3351,1930,1421,29187,15539,13648,28184,15266,12918,1003,273,730,36368,18739,17629,34406,17468,16938,1962,1271,691,2473,2217,256,2087,1831,256,386,386,0
23,Monroe County (South) PUMA,54299,31015,23284,52955,30125,22830,1344,890,454,33354,18029,15325,32924,17706,15218,430,323,107,19892,12159,7733,18978,11592,7386,914,567,347,1053,827,226,1053,827,226,0,0,0
24,Jefferson & Lewis Counties PUMA,43319,25930,17389,40015,23907,16108,3304,2023,1281,10745,4982,5763,10222,4754,5468,523,228,295,29993,18789,11204,27414,17196,10218,2579,1593,986,2581,2159,422,2379,1957,422,202,202,0
25,"Chenango, Delaware & Broome (East) Counties PUMA",31217,17450,13767,27632,15370,12262,3585,2080,1505,7291,3161,4130,6863,3050,3813,428,111,317,22675,13403,9272,19705,11568,8137,2970,1835,1135,1251,886,365,1064,752,312,187,134,53
26,Erie County (Central) PUMA,52808,28000,24808,49636,26332,23304,3172,1668,1504,15259,6878,8381,15011,6630,8381,248,248,0,36578,20517,16061,33654,19097,14557,2924,1420,1504,971,605,366,971,605,366,0,0,0
27,St. Lawrence County PUMA,30577,16763,13814,28517,15643,12874,2060,1120,940,9897,5471,4426,9691,5265,4426,206,206,0,19273,10105,9168,17623,9352,8271,1650,753,897,1407,1187,220,1203,1026,177,204,161,43
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",22731,11152,11579,20943,10667,10276,1788,485,1303,15881,8149,7732,15148,7768,7380,733,381,352,6411,2564,3847,5356,2460,2896,1055,104,951,439,439,0,439,439,0,0,0,0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,31630,19404,12226,31537,19311,12226,93,93,0,17074,9199,7875,16981,9106,7875,93,93,0,13955,9701,4254,13955,9701,4254,0,0,0,601,504,97,601,504,97,0,0,0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,46652,27469,19183,43283,24905,18378,3369,2564,805,32904,17788,15116,32079,17377,14702,825,411,414,12309,8611,3698,10407,6877,3530,1902,1734,168,1439,1070,369,797,651,146,642,419,223
31,Cayuga & Onondaga (South) Counties PUMA,38924,22088,16836,37390,21277,16113,1534,811,723,12880,5787,7093,12707,5644,7063,173,143,30,24498,15057,9441,23278,14472,8806,1220,585,635,1546,1244,302,1405,1161,244,141,83,58
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,34060,20845,13215,33660,20592,13068,400,253,147,17379,9113,8266,17314,9113,8201,65,0,65,16516,11663,4853,16250,11479,4771,266,184,82,165,69,96,96,0,96,69,69,0
33,Fulton & Montgomery Counties PUMA,34020,18434,15586,29415,16507,12908,4605,1927,2678,7162,2951,4211,6903,2719,4184,259,232,27,23334,13694,9640,19930,12247,7683,3404,1447,1957,3524,1789,1735,2582,1541,1041,942,248,694
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,56072,30770,25302,53918,29465,24453,2154,1305,849,25826,14275,11551,25604,14053,11551,222,222,0,29227,15958,13269,27431,15005,12426,1796,953,843,1019,537,482,883,407,476,136,130,6
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,28632,15382,13250,27706,14766,12940,926,616,310,11007,4990,6017,10941,4990,5951,66,0,66,16781,9833,6948,16127,9423,6704,654,410,244,844,559,285,638,353,285,206,206,0
