,puma,BABS_UnEmp_Total,BABS_UnEmp_M,BABS_UnEmp_F,HS_UnEmp_Total,HS_UnEmp_M,HS_UnEmp_F,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
0,Total Geo,3.154415229676941,3.4702719759214533,2.8716441348778186,6.236447466373489,6.684712066086972,5.716936223758053,16.346223190203517,17.174177831912303,15.019332557528436
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2.192968269883883,4.132549513611869,0.5262208323310079,1.9593688769722597,2.7464585140213935,0.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,4.474822974036192,6.450062481976353,2.4061210107721736,3.475523180443237,3.566636851520572,3.3631977946243974,4.803749267721148,7.295373665480427,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,3.8765033037029992,2.4107671070794714,5.240936209270307,9.926854754440962,10.748407643312103,8.712032022604191,11.709770114942529,32.6,0.0
4,Madison & Cortland Counties PUMA,2.5494566731680135,4.08997955010225,1.1451398135818909,5.92841539237103,6.800992315604767,4.838221953432114,31.27438231469441,22.719298245614038,55.778894472361806
5,Ontario & Yates Counties PUMA,1.221200435083556,0.48475708283959923,1.845928904322398,6.130942310945694,6.29514963880289,5.924170616113744,2.2101120193763246,2.2265625,2.1534320323014806
6,Monroe County (Central)--Greece & Gates Towns PUMA,1.432562563157582,1.1468195759434592,1.6623766623766623,2.8836740142997,3.1607629427792916,2.5525818844826462,4.926108374384237,7.640878701050621,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,2.426479486869176,2.26628895184136,2.5684931506849313,6.417756366139023,7.007485268354833,5.724976613657624,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",4.232347225221335,2.6148063409053766,5.505531258039619,6.077843604692331,7.361346074710805,4.70823575331772,10.499359795134442,11.79147703764998,6.082036775106082
9,NYC-Manhattan Community District 8--Upper East Side PUMA,3.0911046702722085,4.450921953296434,1.9504958654982005,1.4668689934243804,2.8135828135828134,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,4.351252462707571,2.8987221959299574,5.669494255341996,3.715732161620021,2.8583368157124944,4.859021508971359,10.127826941986234,0.0,29.941860465116278
11,Erie County (Northwest) PUMA,4.121693417594095,3.7877882662205757,4.415475189234651,2.5527815685959703,4.259350799143187,0.9314339386349405,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",8.361018826135105,14.020496064161591,3.4219053791315615,9.674277675576235,17.68770152003685,2.5719534598897735,30.929626411815814,0.0,41.540256709451576
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,3.4619490620710693,4.945633111189056,2.3205612520237455,8.610526315789475,6.650328617578255,10.366157836974958,10.425240054869684,0.0,13.246187363834421
14,Rockland County (North)--New City & Congers PUMA,5.220856858186649,5.611763118845272,4.841664485736718,6.593880189627926,3.8735403019082884,9.36231884057971,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",2.4438102033535496,4.5444755545983195,0.9590500837265946,6.233071622038605,5.956831062341734,6.59724982115889,12.369477911646587,2.2480058013052937,24.93249324932493
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2.608581378539983,2.5731510072048227,2.6372059871703493,6.244850881529082,4.3781896320171905,9.207161125319693,4.726500265533723,1.2400354295837024,9.946949602122016
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,6.6214599122457125,10.816044260027663,4.256978013410261,5.737704918032787,9.10919540229885,0.7996632996632996,30.229007633587784,37.334933973589436,17.81970649895178
18,Tompkins County PUMA,2.9467680608365017,5.094108019639934,0.6550218340611353,3.779199523880375,3.0865210967000496,4.353149231397089,16.778523489932887,18.34862385321101,0.0
19,Dutchess County (Southwest) PUMA,3.937687116253108,4.1264266900790165,3.7753657385559225,4.944115311793807,6.294189569932486,3.1216361679224973,8.835341365461847,0.0,15.613910574875797
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3.019788052142924,4.046725073007926,2.180950758221162,5.434177567492346,2.9632505175983437,8.308248043347382,19.849874895746456,22.884615384615383,0.0
21,Westchester County (Northwest) PUMA,1.795368353102558,1.938353987925008,1.6478111165764882,7.590325470289638,6.628151260504202,8.858131487889272,5.414273995077933,0.0,16.541353383458645
22,Albany County (Outside Albany City) PUMA,1.4059219135145005,2.1916834498282194,0.5757556793291194,5.280976563431324,6.171507064364207,4.438981399879401,19.526424159231297,17.134717134717135,32.38512035010941
23,Monroe County (South) PUMA,2.114137143157287,0.6257495958700527,3.624338624338624,3.395835133500389,3.4703683929524822,3.298455406078724,14.709762532981529,9.60820895522388,27.027027027027028
24,Jefferson & Lewis Counties PUMA,0.35335689045936397,0.29685335444290517,0.3989149513323759,4.219850352112676,1.987811955890888,7.163817300331718,29.759188846641315,28.43239485575252,33.33333333333333
25,"Chenango, Delaware & Broome (East) Counties PUMA",1.820838484882545,1.2380416432189083,2.208497099008048,4.362634973548809,4.825413846256954,3.8179379979490418,15.834675254965111,24.13178984861977,3.2432432432432434
26,Erie County (Central) PUMA,3.0034129692832763,1.8870486016834103,3.8084981398081066,5.831245909778169,6.751244004124265,4.8986640007270745,20.75134168157424,17.973462002412546,28.719723183391004
27,St. Lawrence County PUMA,0.8426415833823241,1.5925925925925926,0.0,5.748630305012674,4.531041388518024,6.918390251723586,25.034965034965033,23.355263157894736,29.12
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",4.551441533733353,4.004654319790555,5.1050461417632045,14.517863544031545,25.39130434782609,6.891644643220167,51.31313131313131,58.525345622119815,0.0
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3.3897425249169437,4.048790487904879,2.7135044173327723,4.589425085192921,3.5851095177291037,5.865468613503057,0.0,0.0,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,4.791901631227134,5.791727595571339,3.6791630340017436,10.042168674698795,13.411107787416492,4.90031958605996,4.106498194945848,5.565749235474006,0.0
