,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,2.1437780113019516,2.141604738750263,2.1459031779910718,8.632575103796611,7.117714864269191,10.687110748747276,24.307814646136052,21.36479833723991,30.582375107143434
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,2.580454679657514,2.3099094710347905,2.8350909368791073,13.626834381551362,6.506364922206506,29.601087941976427,74.53505007153076,0.0,100.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,3.1420688101807537,2.042312526183494,4.420898794300329,2.4858497781857123,3.25472856791943,1.2165450121654502,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1.6355323318092752,2.1479713603818613,1.1157307510131045,13.891965054755753,16.45012992204677,9.795134443021766,18.43079200592154,0.0,30.365853658536583
4,Madison & Cortland Counties PUMA,3.0525628468821417,5.716184778996344,0.4812319538017324,6.8065820097178555,5.968760385510136,8.141012068600466,5.839416058394161,8.304498269896193,0.0
5,Ontario & Yates Counties PUMA,1.3402459875351607,0.8008658008658008,1.9007985603419189,9.439912538894962,8.86418895449809,10.322786832853946,28.034771809996894,18.253968253968253,63.195435092724686
6,Monroe County (Central)--Greece & Gates Towns PUMA,1.2509399138697108,1.0509177027827117,1.4225835132732123,4.3329813445969725,4.087898856110777,4.677966101694915,19.751381215469614,10.909090909090908,38.864628820960704
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.6593406593406593,0.0,1.425724359957075,0.7405840033855269,1.2818165171214062,0.0,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",2.3293563834104374,0.537345513164965,3.8141881864054614,10.229054659498207,8.978864525070534,11.857631052937004,2.8455284552845526,3.467062902426944,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,2.2766116319588483,0.3004130679684566,4.145679969004261,4.359069080162541,7.867282367025825,0.24091547881951417,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.9057173407132524,1.7848289538919186,0.0,1.1916461916461916,1.944862155388471,0.0,44.27767354596623,44.27767354596623,#DIV/0!
11,Erie County (Northwest) PUMA,0.0,0.0,0.0,11.20390036686619,5.443732845379689,17.637441242591457,17.101449275362317,22.376738305941846,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3.1711798066938255,4.392845936617508,1.903986981285598,3.6478664692421594,7.475862068965518,0.0,19.68408262454435,12.585034013605442,23.629489603024574
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2.2798308512594225,5.70902394106814,0.0,19.25862523044509,5.23033309709426,31.427517521209886,48.00319488817891,52.282768777614145,46.41095890410959
14,Rockland County (North)--New City & Congers PUMA,0.7457727239164145,1.4693046261274367,0.0,2.997538677918425,0.0,6.300813008130081,8.350305498981669,0.0,13.727678571428573
