,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,5334117,2348135,1093042,1255093,2729776,1409139,1320637,256206,150985,105221
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,65457,58695,25758,32937,6498,3682,2816,264,178,86
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,35256,19186,9071,10115,14223,7370,6853,1847,1003,844
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,37729,32655,15741,16914,4640,3417,1223,434,302,132
4,Madison & Cortland Counties PUMA,55772,14921,7112,7809,37602,18709,18893,3249,1988,1261
5,Ontario & Yates Counties PUMA,62069,21919,9732,12187,35601,17878,17723,4549,2873,1676
6,Monroe County (Central)--Greece & Gates Towns PUMA,53522,16872,7529,9343,34508,17298,17210,2142,1338,804
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,31417,17168,7370,9798,13537,7168,6369,712,269,443
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",80546,15093,6472,8621,57633,30214,27419,7820,4951,2869
9,NYC-Manhattan Community District 8--Upper East Side PUMA,75161,64719,27917,36802,10442,6011,4431,0,0,0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,40770,16762,7511,9251,23271,12453,10818,737,293,444
11,Erie County (Northwest) PUMA,47827,18607,8418,10189,27785,13374,14411,1435,836,599
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",14841,9419,4299,5120,4952,1994,2958,470,336,134
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,914,302,302,0,521,166,355,91,91,0
14,Rockland County (North)--New City & Congers PUMA,28603,14640,6999,7641,12284,5346,6938,1679,924,755
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",51970,12330,5047,7283,36126,19030,17096,3514,1655,1859
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,16228,11895,5345,6550,3757,2203,1554,576,259,317
