,puma,BABS_FT_Work_Total,BABS_FT_Work_M,BABS_FT_Work_F,HS_FT_Work_Total,HS_FT_Work_M,HS_FT_Work_F,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
0,Total Geo,86.60775021756398,91.7132764639523,81.87034138666525,81.46615763196074,89.47708159471472,72.01426611233022,74.65806955842126,82.15007090979415,59.19973398359566
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,82.60244693396226,89.89613223942126,76.4909072437265,76.83722889029269,87.21914210679896,49.92435703479576,100.0,100.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,90.19724334600761,97.67660173668153,82.52707581227436,80.12745262451786,93.44602136820284,65.35809018567639,69.40509915014165,84.56189151599443,37.35294117647059
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,90.2001862197393,96.5220409580007,84.38756622199529,87.12903225806453,83.91129032258064,100.0,50.70921985815603,55.333333333333336,45.45454545454545
4,Madison & Cortland Counties PUMA,85.71943483275663,91.12878079201747,81.06731027085009,83.27120389107822,91.70542635658914,72.98021596910223,98.83624272651704,98.32735961768219,100.0
5,Ontario & Yates Counties PUMA,87.25804834018655,97.15220949263502,78.84383409111997,77.3802389932673,86.51713869353101,65.92245351978389,91.41866512568622,97.58320126782884,74.81323372465314
6,Monroe County (Central)--Greece & Gates Towns PUMA,86.20001247738473,90.69252077562327,82.5178794414803,80.29906932970825,86.77045423911578,73.36654393184607,86.06492478226446,93.68070953436806,67.03601108033241
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,84.47909754479097,97.29252501471454,73.95455644186609,79.99408983451536,88.28108563012835,72.69864789775883,100.0,100.0,#DIV/0!
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",85.96940590537176,89.27066450567261,83.3861762840837,80.4321500652974,87.80442633577184,72.67144319344933,67.26893676164003,71.90957190957191,55.19399249061326
9,NYC-Manhattan Community District 8--Upper East Side PUMA,88.4140847022943,94.25190194420964,83.61845843065463,78.06044792346162,86.35581884196446,67.11223203026482,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,88.33792470156106,94.36482537915681,82.96314679240601,77.27597777655537,80.94468732180194,72.23455661486223,40.689655172413794,100.0,0.0
11,Erie County (Northwest) PUMA,87.91845244990154,96.10034773969201,80.76839591925331,81.26148455194222,91.24621144589054,72.06763522941803,86.75429726996967,100.0,65.06666666666666
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",85.18569844789357,98.01980198019803,76.91431175934366,78.50413930916358,96.98529411764706,66.77554829678022,100.0,100.0,100.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,100.0,100.0,#DIV/0!,100.0,100.0,100.0,100.0,100.0,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,87.36122343945298,89.94593014759609,84.7440071026931,82.96841892846332,88.20098698968147,78.69062901155327,81.84417441029306,78.1055900621118,85.03311258278146
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",89.1046286923714,92.69178393100319,86.65841201052469,81.74741370480385,89.94213960359473,71.54028981062639,80.8011049723757,81.42414860681114,79.88636363636363
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,81.073471183458,82.51182965299685,79.91419037025265,79.29973066564064,83.4862385321101,70.76023391812866,56.2962962962963,28.62903225806452,100.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,79.85328323492574,74.84276729559748,83.1697888789771,85.1302050572399,87.81714285714285,81.84107442641299,65.89403973509934,64.92753623188405,67.18146718146718
18,Tompkins County PUMA,83.54347567503271,85.08206686930092,82.07008964955175,82.24491476570864,76.7251461988304,86.28261799515185,92.42199108469539,100.0,0.0
19,Dutchess County (Southwest) PUMA,84.91066282420749,92.8554070473876,77.74122807017544,81.62038473471921,91.17902181890972,68.35232008891359,74.42273534635879,100.0,50.0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,76.51026392961877,82.70588235294117,70.35087719298245,87.87966444894417,86.53576437587658,90.06069802731412,100.0,100.0,#DIV/0!
21,Westchester County (Northwest) PUMA,89.91209711176225,92.97453494672206,86.65963364342572,80.38551951104841,89.69500924214418,65.79773111272024,88.72870249017038,80.0,100.0
