,puma,BABS_Rent_Burden_Total,BABS_Rent_Burden_M,BABS_Rent_Burden_F,HS_Rent_Burden_Total,HS_Rent_Burden_M,HS_Rent_Burden_F,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
0,Total Geo,10.491378096586066,9.833630696507754,11.100863467117437,20.764216028933532,18.38606254187938,23.197513366271185,35.15853128171143,32.911297291204875,37.91878172588832
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,8.121768430837157,6.711943220753794,9.396084503926556,18.78859857482185,5.0727487219819105,39.7120575884823,0.0,0.0,#DIV/0!
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,6.896551724137931,17.484662576687114,0.0,11.36890951276102,0.0,20.8067940552017,#DIV/0!,#DIV/0!,#DIV/0!
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,10.634499175975096,8.013533107781537,12.992434124706495,23.080116230801163,28.135405105438398,8.072487644151565,66.50717703349282,48.9051094890511,100.0
4,Madison & Cortland Counties PUMA,4.99412455934195,9.229098805646037,0.0,19.939671312669024,14.442055892124293,26.195241271959084,48.07121661721068,50.625,0.0
5,Ontario & Yates Counties PUMA,2.462526766595289,0.0,4.299065420560748,24.837606837606838,19.321054532322137,29.795520934761445,6.418918918918918,4.878048780487805,7.321428571428572
6,Monroe County (Central)--Greece & Gates Towns PUMA,17.71986970684039,0.0,21.11801242236025,21.592007734450533,18.836387013821923,24.361873990306947,22.194513715710723,0.0,72.06477732793523
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,31.204644412191584,0.0,35.36184210526316,25.074037512339586,0.0,56.69642857142857,0.0,#DIV/0!,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",10.409491006505931,2.8873917228103942,15.374841168996186,19.63140484709377,23.15909414613303,16.45277207392197,64.7809442790302,52.54365983295368,80.36750483558994
9,NYC-Manhattan Community District 8--Upper East Side PUMA,8.966861598440545,10.493421052631579,7.969924812030076,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,0.0,0.0,28.205128205128204,18.70604781997187,34.67432950191571,#DIV/0!,#DIV/0!,#DIV/0!
11,Erie County (Northwest) PUMA,9.35074100211715,0.0,20.030234315948604,19.316909294512875,26.325328500226554,14.40812440495081,100.0,#DIV/0!,100.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",27.240234873627777,26.286966046002192,28.072692491630796,19.180018850141376,18.550474547023295,19.937694704049843,#DIV/0!,#DIV/0!,#DIV/0!
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,0.0,0.0,#DIV/0!,47.368421052631575,0.0,72.81553398058253,#DIV/0!,#DIV/0!,#DIV/0!
14,Rockland County (North)--New City & Congers PUMA,7.845084409136048,0.0,18.372093023255815,18.89763779527559,8.449197860962567,32.54189944134078,100.0,#DIV/0!,100.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",15.655471289274105,20.0,10.896708286038592,11.065515777557662,7.73919957593427,14.87553126897389,24.198250728862973,41.19106699751861,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,7.300025886616619,10.709914320685435,4.800358905338717,42.86447638603696,26.07361963190184,76.86335403726709,29.27927927927928,100.0,0.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,10.267314702308628,2.9281277728482697,14.087759815242496,13.180941071693633,13.347627981774323,12.974051896207584,40.45307443365696,38.197424892703864,41.81818181818181
18,Tompkins County PUMA,6.391039367484764,6.4393939393939394,6.328154604016673,40.81739586062353,65.31468531468532,26.141600335148723,61.170212765957444,83.94160583941606,0.0
