,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.05832913620964495,-0.03649251531764529,0.20690826518214467,0.0624774522780181,-0.0036456716826252897,-0.15964194105600948,-0.21249594197024724,-0.012080173765245656,0.07692281963790859,-0.08891235659969937,0.25938581228349217,-0.015130839787980415,0.0881696746039302,-0.20070154961885758,-0.006493963251258398,0.016177085323933603,C,C,C,C,C,C,C,C,C,C,B-,C,C,C,C,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.26125680610079005,0.16812028828893708,-1.13977915644872,0.528207476505601,0.6469412296066183,-0.14478323522064607,-0.21983341865647452,0.014304284310872245,#DIV/0!,2.004666069331888,0.48441790169246035,#DIV/0!,-0.19867884464412694,#DIV/0!,-0.853479577068393,#DIV/0!,B-,C,D,B-,B-,C,C,C,#DIV!0,A,B-,#DIV!0,D,C,#DIV!0,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,-0.6748359943528502,0.5136078921160939,#DIV/0!,#DIV/0!,-0.33317230385234836,-0.5277019290907896,#DIV/0!,0.4855375113622948,0.23555986259390685,0.7963215718517819,0.6346771310045175,#DIV/0!,-0.3403759987556051,-0.08512979558002251,#DIV/0!,#DIV!0,C-,B-,#DIV!0,#DIV!0,C-,C-,#DIV!0,B-,C,B,B-,C,#DIV!0,C-,#DIV!0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,-1.4006439879428358,-0.3302843296687462,#DIV/0!,#DIV/0!,0.6582591102615589,-0.5639565061179147,0.352421843029098,#DIV/0!,#DIV/0!,0.5125336527967277,0.1331166780921179,#DIV/0!,#DIV/0!,-0.8181421525048832,-0.6689101578687762,#DIV/0!,D-,C-,#DIV!0,#DIV!0,B-,C-,B-,#DIV!0,#DIV!0,B-,C,#DIV!0,C-,#DIV!0,D,#DIV!0
4,Madison & Cortland Counties PUMA,#DIV/0!,0.25045174002518966,#DIV/0!,#DIV/0!,#DIV/0!,-0.2161469858790421,0.2561202761356521,#DIV/0!,#DIV/0!,0.45285241714482155,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5111274949617592,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0
5,Ontario & Yates Counties PUMA,#DIV/0!,-2.154347077737126,#DIV/0!,#DIV/0!,#DIV/0!,-0.4780208694493186,0.3599660022607302,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,-3.370462069229095,#DIV/0!,#DIV/0!,#DIV/0!,-1.6302659571585347,-1.0715732671459153,#DIV/0!,#DIV/0!,0.45285241714482155,0.1955466023345917,-0.5396790066270969,#DIV/0!,-0.15087442629979902,-0.4929265234165873,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,D-,D,#DIV!0,#DIV!0,B-,C,C-,C-,#DIV!0,C,#DIV!0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,-0.7493272702556901,#DIV/0!,#DIV/0!,#DIV/0!,-0.16172351491406958,-0.2110249810866563,#DIV/0!,#DIV/0!,-0.32087797780127514,#DIV/0!,#DIV/0!,#DIV/0!,-0.4034663638972249,0.9507505648847225,#DIV/0!,#DIV!0,C-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,B,#DIV!0,C-,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,-2.104899961140219,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.11034717246242755,#DIV/0!,#DIV/0!,-1.7269889211298448,-0.6445819140667066,#DIV/0!,#DIV/0!,-0.31546438687786627,-1.0470401067355948,#DIV/0!,#DIV!0,E,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,D-,C-,#DIV!0,D,#DIV!0,C-,#DIV!0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.31995799256247154,-0.17263965093940453,-0.26479948401805176,#DIV/0!,-0.8746361815379793,0.09867221123444753,-0.6922735857471608,#DIV/0!,#DIV/0!,-0.613737803845823,#DIV/0!,#DIV/0!,#DIV/0!,-0.49841254690049813,0.21389043039145292,#DIV/0!,B-,C,C-,#DIV!0,D,C,C-,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,C,#DIV!0,C-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,0.5663050049460221,-0.44378361438070696,#DIV/0!,#DIV/0!,#DIV/0!,-0.015002621813170738,1.2398499284801896,#DIV/0!,0.5861824713690089,0.3776940834314702,0.8510878635125513,0.7337001154573204,#DIV/0!,-0.2391766620425444,-1.515778237636624,#DIV/0!,B-,C-,#DIV!0,#DIV!0,#DIV!0,C,B,#DIV!0,B-,B-,B,B-,D-,#DIV!0,C,#DIV!0
11,Erie County (Northwest) PUMA,0.5663050049460221,0.25045174002518966,0.8499572282756286,#DIV/0!,1.1686535498630757,-1.0865030179370538,-0.44511754558825867,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.13643036967963407,-1.6650324091243687,#DIV/0!,B-,B-,B,#DIV!0,B,D,C-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D-,#DIV!0,C,#DIV!0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",-0.9335503697432731,0.0038778188976559104,0.4220785338976341,0.3740982846407464,-0.105731499311121,-0.09188046237710597,0.16778139941509623,-0.02333232779719535,#DIV/0!,-0.08811669958098978,0.1911850949200104,0.37371622099903107,0.8565608527259995,-0.22003941163341723,-0.22710795291394814,#DIV/0!,D,C,B-,B-,C,C,C,C,#DIV!0,C,C,B-,C,B,C,#DIV!0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,0.3666529854797685,0.29886788248009005,0.17122526270471625,0.23919043173336807,-1.2647547699638209,0.16645622603139057,#DIV/0!,0.20849024499496707,0.35201643717939674,-0.01047729441507161,-0.6389484548309431,-1.788769333142537,-0.1373317902429512,-0.17827851671221898,-0.31332838673847974,#DIV!0,B-,B-,C,C,D-,C,#DIV!0,C,B-,C,C-,C,E,C,C-
14,Rockland County (North)--New City & Congers PUMA,#DIV/0!,0.9502990485460802,#DIV/0!,#DIV/0!,#DIV/0!,0.012407593330864563,-0.23890487826956291,#DIV/0!,0.48170672176529966,0.472016312634816,-0.9321371957419295,#DIV/0!,#DIV/0!,-0.35782725625026995,0.144234112625885,#DIV/0!,#DIV!0,B,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,B-,B-,D,#DIV!0,C,#DIV!0,C-,#DIV!0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,0.25045174002518966,0.278369325125261,-0.2115172581650097,#DIV/0!,-0.17582288221868245,-0.3945527579607917,#DIV/0!,#DIV/0!,0.45285241714482155,0.7976561397852675,-0.2767436603901348,#DIV/0!,5.583102497389214,0.9949366150065564,#DIV/0!,#DIV!0,B-,B-,C,#DIV!0,C,C-,#DIV!0,#DIV!0,B-,B,C-,B,#DIV!0,A,#DIV!0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,-0.33065288145257343,0.02464964451966251,0.4114677554292646,0.30371144309179826,-0.20938485640483287,-0.8814591433277198,-0.028617195381144454,-0.10146931907507788,0.037642921394635445,0.046491051730936525,0.04747989917142661,0.1372893874325932,-0.6206304825903523,-0.45613711125685324,0.45260281766759264,-0.05075164520714587,C-,C,B-,B-,C,D,C,C,C,C,C,C,B-,C-,C-,C
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,-0.7563140734703473,0.3320532130432759,0.19457212486448608,-0.47110615538540934,-0.22571320203990886,-0.3898042089664512,-0.21397039283878017,-0.21861181354187642,0.4159089877197243,-0.09330196928802743,0.24571049808056342,0.07962497276484166,-0.39344508967805614,-0.024256691398627274,0.1713267666400649,0.05736678212006907,D,B-,C,C-,C,C-,C,C,B-,C,C,C,C,C-,C,C
18,Tompkins County PUMA,#DIV/0!,-0.10820426279770878,-2.0605090540742332,0.528207476505601,1.1686535498630757,-0.45811393273452033,0.19202090654585607,#DIV/0!,#DIV/0!,-0.3467229895530906,#DIV/0!,#DIV/0!,#DIV/0!,-0.43385521048306175,-0.9997506577468951,#DIV/0!,#DIV!0,C,E,B-,B,C-,C,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,D,#DIV!0,C-,#DIV!0
19,Dutchess County (Southwest) PUMA,0.3670552143872747,0.1673822184335714,0.39575340452643903,-0.014224335720600535,-0.7506850686959422,1.0494830652427158,0.04278985022269013,0.17965062119944977,#DIV/0!,0.8481211175582353,0.5748627121431061,0.23168826581376517,0.3186835498945459,0.2733232152102557,-0.26209250381408766,#DIV/0!,B-,C,B-,C,D,B,C,C,#DIV!0,B,B-,C,C-,B-,B-,#DIV!0
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,-0.3098704342805854,-0.13727441316658973,-0.018473985961892,0.06196297432170865,-1.554779818042273,-0.35228206921053146,-0.30116256401421193,-0.37312575862205355,0.1723197418410001,0.01588329897882479,0.20938446236540362,-0.12368748475409977,-0.3549158485955573,-0.23383440409232692,0.2072610019709669,-0.015369890326541224,C-,C,C,C,D-,C-,C-,C-,C,C,C,C,C,C-,C,C
21,Westchester County (Northwest) PUMA,0.1865825400179908,0.33763577626309027,0.8539816591322468,0.528207476505601,1.1686535498630757,-0.4010133711940116,-0.12354426412838874,0.36435762377994346,#DIV/0!,-1.6693939784971334,0.11675822855482763,-0.24879477389102375,0.19121431116599735,-0.051204615415717906,-0.2681908393966705,#DIV/0!,C,B-,B,B-,B,C-,C,B-,#DIV!0,D-,C,C,C-,C,C,#DIV!0
22,Albany County (Outside Albany City) PUMA,#DIV/0!,0.22330272682357288,0.3112009863843996,#DIV/0!,#DIV/0!,-0.18880401337457103,-0.5034200134220664,#DIV/0!,#DIV/0!,-0.39768336107512986,0.23469883361856156,0.7337001154573204,1.271987586907427,-0.4240800464637662,0.36718718243079207,#DIV/0!,#DIV!0,C,B-,#DIV!0,#DIV!0,C,C-,#DIV!0,#DIV!0,C-,C,B-,B-,A-,C-,#DIV!0
23,Monroe County (South) PUMA,-0.23984491311122613,0.014248491279748154,0.7035986967168377,#DIV/0!,1.1686535498630757,0.14126159705017907,-0.03450359076134755,#DIV/0!,#DIV/0!,-1.0107606138961125,#DIV/0!,#DIV/0!,#DIV/0!,-0.39188196315971624,-0.9834461761035798,#DIV/0!,C,C,B-,#DIV!0,B,C,C,#DIV!0,#DIV!0,D,#DIV!0,#DIV!0,D,#DIV!0,C-,#DIV!0
24,Jefferson & Lewis Counties PUMA,0.5663050049460221,-1.0311954500130178,-3.3961024077462887,#DIV/0!,#DIV/0!,0.45773252665562764,-0.4000829059011758,#DIV/0!,0.5861824713690089,-2.55868182079595,#DIV/0!,#DIV/0!,0.18567026087213787,-0.561057040139351,-0.8368093329765112,#DIV/0!,B-,D,E,#DIV!0,#DIV!0,B-,C-,#DIV!0,B-,E,#DIV!0,#DIV!0,D,C,C-,#DIV!0
25,"Chenango, Delaware & Broome (East) Counties PUMA",0.5663050049460221,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.22347879638289633,#DIV/0!,#DIV/0!,#DIV/0!,-0.2621770197657332,-0.35096683105639626,#DIV/0!,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
26,Erie County (Central) PUMA,#DIV/0!,0.25045174002518966,#DIV/0!,#DIV/0!,#DIV/0!,0.4977071890519422,-0.4030646590198349,#DIV/0!,0.5861824713690089,0.2267772228457518,0.526667453161678,0.7337001154573204,#DIV/0!,0.12814516819257513,-0.11296665738070655,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,B-,C-,#DIV!0,B-,C,B-,B-,C,#DIV!0,C,#DIV!0
27,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,0.8539816591322468,#DIV/0!,#DIV/0!,1.7453728775086408,-1.0715732671459153,#DIV/0!,#DIV/0!,-1.7256029603004182,#DIV/0!,#DIV/0!,#DIV/0!,0.3223478025878869,0.11651890228854125,#DIV/0!,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,A-,D,#DIV!0,#DIV!0,D-,#DIV!0,#DIV!0,C,#DIV!0,B-,#DIV!0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",#DIV/0!,0.2639563389410607,-0.4527533535051833,-0.11475166641551088,0.09307151045709373,-0.11990272541538097,-0.3968171415110151,#DIV/0!,0.5861824713690089,-0.2784683116808612,-0.2615361610813199,-1.3934816266051593,-0.9761731975393613,2.0565379290271806,0.005657760375905973,-0.03732587659065802,#DIV!0,B-,C-,C,C,C,C-,#DIV!0,B-,C-,C-,D-,C,D,A,C
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,-1.0384374180613898,#DIV/0!,#DIV/0!,#DIV/0!,-0.4939643953252899,0.4672093591960082,#DIV/0!,-0.4830031772563199,-0.6084463564823462,#DIV/0!,#DIV/0!,#DIV/0!,-0.3030865501297867,-0.3994380885573364,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,C-,C-,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,-6.489146509516024,-0.6731439314504607,-3.7469462737798858,-6.660236057566275,0.34317576973480385,-0.7262332394866647,0.11024672921389593,-2.548897644692944,-4.1699995414693,-0.08700643630357222,0.30786804341589286,0.7337001154573204,-0.003572356782541622,-0.18538024783726997,1.154412603776085,-0.32142540282048376,E,C-,E,E,B-,C-,C,E,E,C,B-,B-,B,C,C,C-
31,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,0.25045174002518966,#DIV/0!,#DIV/0!,#DIV/0!,-0.6208305500072571,0.7079928279194301,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.6650324091243687,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,-0.9759868082706167,#DIV/0!,#DIV/0!,#DIV/0!,-0.053148849002589815,-0.3318112375597001,#DIV/0!,#DIV/0!,2.125287485738243,#DIV/0!,#DIV/0!,#DIV/0!,-0.4375167025966582,-0.6322434989219862,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,C,C-,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
33,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.21085311066130782,0.568229075205148,#DIV/0!,#DIV/0!,-0.595805191359666,1.1513606894415191,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,C,B-,#DIV!0,B,#DIV!0,C-,#DIV!0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.5663050049460221,-0.061740792396247295,#DIV/0!,#DIV/0!,#DIV/0!,-0.27720490828484334,-0.5505863070921713,#DIV/0!,#DIV/0!,-0.32275729696490646,#DIV/0!,#DIV/0!,#DIV/0!,-0.04351432682311027,-0.7807123005525785,#DIV/0!,B-,C,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,#DIV!0,C-,#DIV!0,#DIV!0,D,#DIV!0,C,#DIV!0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,-0.5885039705502034,-0.34673193866631596,-0.7463465782639471,0.12817852616799935,#DIV/0!,-0.3070798638824194,-0.04138531605510697,#DIV/0!,0.5861824713690089,0.6790716067116943,0.5521936365814584,0.7337001154573204,0.4308790959164231,0.009779512579130612,-0.11299644951648286,0.41125856987122184,C-,C-,C-,C,#DIV!0,C-,C,#DIV!0,B-,B-,B-,B-,C,B-,C,B-
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.41955787276953743,-1.0715732671459153,#DIV/0!,#DIV/0!,-0.5599430980058671,0.6125911585590946,0.13013360256830853,#DIV/0!,1.164896453832696,0.2330866266662907,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B-,D,#DIV!0,#DIV!0,C-,B-,C,C,#DIV!0,B,#DIV!0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,#DIV/0!,-1.026649358855526,#DIV/0!,#DIV/0!,#DIV/0!,0.358961257722301,0.2536595345300367,#DIV/0!,-0.6943131802069209,-1.1303630704737926,-1.4275128677404512,#DIV/0!,#DIV/0!,-0.26277657125801845,-0.20147692100242096,#DIV/0!,#DIV!0,D,#DIV!0,#DIV!0,#DIV!0,B-,B-,#DIV!0,C-,D,D-,#DIV!0,C,#DIV!0,C-,#DIV!0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",0.5663050049460221,0.25045174002518966,0.8539816591322468,0.528207476505601,1.1686535498630757,0.9294757840098433,1.2724773484651024,0.7956503661352973,#DIV/0!,-0.5400782607229078,-0.4161135505840708,-1.3338703914772585,-2.115048248212396,-1.008156928382588,-0.21819470043545933,#DIV/0!,B-,B-,B,B-,B,B,A-,B,#DIV!0,C-,C-,D-,C,E,D,#DIV!0
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,0.1890374656144501,0.06368295687250894,0.5558267283492345,0.3249073480565687,-0.5260382896645667,1.855780058088229,0.4434498201645169,0.4152351553544202,0.2805319715489835,-0.12357539439449867,0.06326657346878388,0.1662268370202213,0.09600466616966084,0.1869565324450316,0.21643027997363012,0.12654878089025895,C,C,B-,B-,C-,A,B-,B-,B-,C,C,C,C,C,C,C
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",#DIV/0!,-0.23019216253587052,#DIV/0!,#DIV/0!,#DIV/0!,-0.7398012198809789,-0.1812567064728851,#DIV/0!,#DIV/0!,0.45285241714482155,0.8510878635125513,0.7337001154573204,1.271987586907427,-1.008156928382588,2.1267181722888178,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C-,C,#DIV!0,#DIV!0,B-,B,B-,A,A-,D,#DIV!0
41,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,0.019480790465298912,#DIV/0!,#DIV/0!,0.26964993714145263,-0.5617321475936763,-0.013933316369741374,#DIV/0!,#DIV/0!,-0.32098167304116365,0.2825437774000213,0.7337001154573204,-0.12740537090052695,-0.5523768641632039,1.1096857233016977,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,B-,C-,C,#DIV!0,#DIV!0,C-,B-,B-,B,C,C-,#DIV!0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",#DIV/0!,0.04385094775971469,0.8539816591322468,0.528207476505601,1.1232007722762012,-0.9066051360099842,0.04969372111619461,#DIV/0!,#DIV/0!,-0.34499746979252355,0.5077546813344368,0.0924412452033188,0.5659089568644508,2.4622378062408448,0.05884328915844268,#DIV/0!,#DIV!0,C,B,B-,B,D,C,#DIV!0,#DIV!0,C-,B-,C,C,B-,A,#DIV!0
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",0.2135211469206716,0.022409773784964043,0.3649237590958236,-0.06526265996858754,-0.09204064962383239,0.026749580615807036,-0.0032770035375037634,0.06671770675533464,0.13245370763293415,0.052694108022989905,0.3083404902091543,0.22931502459333514,0.25687711851969486,-0.2425523505416121,0.45755540380898474,0.17066907174935445,C,C,B-,C,C,C,C,C,C,C,B-,C,B-,B-,C,C
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,0.5663050049460221,-0.2889198727606079,-0.17403710930046645,-1.4913937057495301,-0.4392628816196016,-0.3278252791891251,-0.0022419957488659585,-0.3081965484888821,#DIV/0!,-0.16592530177713652,0.37785464972593985,0.03763039963659103,-0.1209081844235388,-0.012238239268426354,0.3170197667622945,#DIV/0!,B-,C-,C,D-,C-,C-,C,C-,#DIV!0,C,B-,C,B-,C,C,#DIV!0
45,Saratoga County (Outer) PUMA,#DIV/0!,0.25045174002518966,#DIV/0!,#DIV/0!,#DIV/0!,-0.08620091824795366,-0.2237164899910329,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV!0,B-,#DIV!0,#DIV!0,#DIV!0,C,C,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",#DIV/0!,-0.4363193662318961,0.637348828493207,0.528207476505601,0.27610248273116395,-0.6094492394438451,-0.0028839205807613434,#DIV/0!,#DIV/0!,0.8349224394955143,-0.028097858763838517,-2.426243190391645,0.6247131519676932,-0.2906005568588471,-0.5902993689548877,#DIV/0!,#DIV!0,C-,B-,B-,B-,C-,C,#DIV!0,#DIV!0,B,C,E,C-,B-,C-,#DIV!0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",-0.8277717881504825,0.4081648307739578,0.27956894367437085,0.10286127905845648,-1.0622573294697881,-0.23979916444603058,-0.1093100270168237,-0.20693475079661997,-0.13805425625497733,0.259901164176616,0.1327463995608136,-0.13680244197241576,-0.3630595463781563,0.01041166203030589,-0.6795168127078323,-0.13062483307794945,D,B-,B-,C,D,C,C,C,C,B-,C,C,C-,C-,C,C
48,Wayne & Seneca Counties PUMA,#DIV/0!,-1.391590568822684,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9.982813144380694,#DIV/0!,#DIV/0!,0.45285241714482155,#DIV/0!,#DIV/0!,#DIV/0!,-0.44037938405983174,-0.38335886710018474,#DIV/0!,#DIV!0,D-,#DIV!0,#DIV!0,#DIV!0,#DIV!0,A,#DIV!0,#DIV!0,B-,#DIV!0,#DIV!0,C-,#DIV!0,C-,#DIV!0
49,Schenectady County--Schenectady City PUMA,#DIV/0!,-1.080525866586817,-0.5648844800755445,0.528207476505601,#DIV/0!,-0.3808937918698175,-0.38957939010103765,#DIV/0!,#DIV/0!,0.45285241714482155,-0.11531586855440645,0.7337001154573204,#DIV/0!,-0.05337871729811907,-1.069874424792261,#DIV/0!,#DIV!0,D,C-,B-,#DIV!0,C-,C-,#DIV!0,#DIV!0,B-,C,B-,D,#DIV!0,C,#DIV!0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.10401799522629503,-0.06383186927630417,-0.21938977217289396,-0.06865935651117946,-1.02279236183539,-0.08076098364292295,-0.3247917960399832,-0.23945830632176834,0.38551069933423737,0.04554696352910376,0.3856071317123931,-0.05815034118587194,0.07895375411998413,-0.010309091753462415,-0.12302321250669443,0.10059084332138422,C,C,C,C,D,C,C-,C,B-,C,B-,C,C,C,C,C
