,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.14091844631361025,-0.03425539927401346,0.024062370181878172,0.14827070218433358,0.13409798252771882,-0.1820093246450955,-0.23505754821090213,-0.0005675387032100401,0.09833329508806012,-0.005989495911087868,0.0488413218548154,0.08212031851250826,0.1398576129884999,-0.520390265374194,0.01713991180313993,-0.020012471576894036,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0.14445925849002686,1.033298791433302,0.40276612191323735,0.2707500786073974,0.05534911093192817,-0.03856960898673738,-0.5850331202262806,0.18328866173755345,0.5081892489929754,-1.4953810876129798,0.03100501528527554,0.5857163512693313,0.10279237920803913,-1.2893726787022066,-1.0548739141421748,-0.37313209795739144,C,B,B-,B-,C,C,C-,C,B-,D-,C,B-,D,C,D-,C-
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.3674096609210597,-0.4563797454102431,-0.12639627174962986,0.29688596222745217,0.5941038833862357,0.03611696213302902,-0.8244815084817573,-0.016105865281979104,-0.9564583654090613,0.363339764368732,0.06987769964795268,-0.4569908838861047,0.576567944937696,-0.01866264231824373,-0.8716611026506498,-0.18485536932995414,B-,C-,C,B-,B-,C,D,C,D,B-,C,C-,D,B-,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.1678185369187394,-0.1988881258151821,0.23865722442907306,0.21366139376059698,0.252766052865568,-0.022445226264529095,0.037497175589601396,0.09843814735483825,0.5081892489929754,-0.10341583449863148,0.4130558831411022,0.26188644804104233,0.5059973464076948,0.002078168650715032,-0.48612794918727326,0.15738047307823214,C,C,C,C,B-,C,C,C,B-,C,B-,B-,C-,B-,C,C
4,Madison & Cortland Counties PUMA,0.6390939790249471,1.2986629440620496,0.955345847670838,0.29908954602346755,#DIV/0!,0.20194072287363793,0.37032183740150154,#DIV/0!,0.5081892489929754,1.1045631334779449,1.005099345407961,0.5857163512693313,#DIV/0!,-0.6886311836917871,-0.32456806791795767,#DIV/0!,B-,A-,B,B-,#DIV!0,C,B-,#DIV!0,B-,B,B,B-,C-,#DIV!0,C-,#DIV!0
5,Ontario & Yates Counties PUMA,0.6390939790249471,-2.1522818530734837,0.955345847670838,0.29908954602346755,0.5941038833862357,0.13389052280450095,-0.8289149833776315,-0.05138186536301798,-1.9400637037222739,-5.460126636055433,-0.4757323319722167,#DIV/0!,0.881789740699873,-0.06721100582328413,#DIV/0!,#DIV/0!,B-,E,B,B-,B-,C,D,C,E,E,C-,#DIV!0,#DIV!0,B,C,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.6390939790249471,-0.8306957720909109,-0.12412029651642398,0.29908954602346755,0.5941038833862357,-0.7520844674743481,-0.6132018395345725,-0.11254499531165787,0.5081892489929754,1.2020652374725902,-0.37139451751998814,-0.8421975284231986,-0.08419123926219223,0.1743738221443005,0.16843786030262967,0.10789755481530237,B-,D,C,B-,B-,D,C-,C,B-,B,C-,D,C,C,C,C
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.6390939790249471,-0.852147046677465,0.6216738767038508,0.29908954602346755,0.5941038833862357,0.04144984194836671,-0.5798080261630796,0.10906515060661759,0.20345350228068698,0.25372761904618063,1.005099345407961,0.5857163512693313,-1.0527208636678063,-0.027812015865195005,-0.30179798167356764,0.09509513668537015,B-,D,B-,B-,B-,C,C-,C,C,B-,B,B-,C-,D,C,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.6390939790249471,-2.989526744475708,0.955345847670838,0.29908954602346755,0.5941038833862357,0.07824381605825724,-0.27664238197229063,-0.10004172204060757,0.22414215057354447,-2.438293359388604,-0.08765814450733958,0.5857163512693313,-0.5378721138779915,0.6367734176647101,-0.003550992599667756,-0.2315346701237167,B-,E,B,B-,B-,C,C-,C,C,E,C,B-,C,C-,B-,C
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.2295115880204149,-0.05122116093394425,0.3646445806084103,0.27466005109539526,0.22266916111748372,-0.3161236998736525,-0.0538863019120673,0.0957506025888629,-7.231832885974975,-0.1470193667422551,-0.059933625939160184,0.5857163512693313,#DIV/0!,0.2503142428371045,-0.20661324215268886,#DIV/0!,C,C,B-,B-,C,C-,C,C,E,C,C,B-,C,#DIV!0,B-,#DIV!0
