,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.09570572551071858,0.010708261646317224,0.08243709656779577,0.09124181095379158,0.1954392366668351,-0.2921475045385538,-0.10830802413360922,0.010725228953327887,0.10710861323434237,-0.050412413154618384,0.05934885972317336,-0.0700120633906765,0.14144557511322148,-0.3378517620334097,0.17415767004739688,0.003397782791347067,C,C,C,C,C,C-,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,-0.21655341230348985,0.8678756848303794,0.17149406507048448,0.25925000550103905,0.327733324917462,-0.21477009977051026,-0.3764348157713415,0.11694210749628905,#DIV/0!,-0.5996408157219922,0.25390880498782165,0.5134200745840555,0.29762897011175465,-0.7315995394687499,0.08531650890779412,#DIV/0!,C,B,C,B-,B-,C,C-,C,#DIV!0,C-,B-,B-,C,B-,C-,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.036055482117372015,-0.5294621774468993,0.10372264325209227,0.2557239171551441,#DIV/0!,0.054349592424816656,-0.7437046345522835,#DIV/0!,0.038933328909029785,0.6848057224754205,0.5673184354939882,-0.2553610629163426,0.42141982018684604,-0.18672997898101518,-0.08216906213959925,0.16974531471833249,C,C-,C,B-,#DIV!0,C,C-,#DIV!0,C,B-,B-,C-,C,B-,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.10485677773888485,-0.2996295499545754,-0.4172936954894128,-0.054349816855825774,0.4357702913004452,-0.27164725908514686,0.4527616447684345,-0.007075943939599459,0.3027213772117548,0.19794482125008467,0.195555354853612,-0.7515866839257392,0.1513813139686385,-0.4990374991557579,-0.48833284726771214,-0.12733630900930276,C,C-,C-,C,B-,C-,B-,C,B-,C,C,D,C-,C,C-,C
4,Madison & Cortland Counties PUMA,0.25485535004142784,1.1725221859140091,0.7883145197389452,0.25925000550103905,#DIV/0!,0.4265530066661626,0.5441459343659942,#DIV/0!,0.3027213772117548,1.1460655116825047,0.6710759889138269,0.5134200745840555,#DIV/0!,-0.2540235805536924,0.36868097854025367,#DIV/0!,B-,B,B,B-,#DIV!0,B-,B-,#DIV!0,B-,B,B-,B-,B-,#DIV!0,C-,#DIV!0
5,Ontario & Yates Counties PUMA,0.25485535004142784,-2.7481625262802836,0.7883145197389452,0.25925000550103905,0.626178095739527,0.138850241977071,0.08974056773290415,-0.08442482079276703,-0.6093576112542429,-3.102237895495524,-0.2437388052640391,#DIV/0!,0.9088518536502581,-0.12961786609586892,-1.9641966935259403,#DIV/0!,B-,E,B,B-,B-,C,C,C,C-,E,C,#DIV!0,E,B,C,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.25485535004142784,-4.701813455064086,-0.6739817009954667,#DIV/0!,0.626178095739527,-2.053548778288657,-1.3861604238520693,#DIV/0!,0.3027213772117548,1.119213448285438,-0.2752633093626909,-2.036408295322757,-1.7055639160730753,0.008208219755205857,-0.34331313046046114,-0.4186293722809409,B-,E,C-,#DIV!0,B-,E,D-,#DIV!0,B-,B,C-,E,C-,D-,C,C-
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.25485535004142784,-0.5516701566809107,0.4749914241587883,0.25925000550103905,0.626178095739527,0.20913051573543992,-0.1984653849000357,0.15346712137075366,0.0944417753148087,0.13864531767879087,0.6710759889138269,#DIV/0!,-0.1994853215654484,-0.19587975177048178,0.6307672751257576,#DIV/0!,B-,C-,B-,B-,B-,C,C,C,C,C,B-,#DIV!0,B-,C,C,#DIV!0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.25485535004142784,-2.756595095814509,0.7883145197389452,0.25925000550103905,#DIV/0!,0.8085420018350548,-0.16868748105363104,#DIV/0!,0.025468282055128345,-2.3445225541011854,-0.45690212995470353,0.5134200745840555,-1.057036021670584,0.16024775443653977,-1.1634069722555542,-0.6175330809866147,B-,E,B,B-,#DIV!0,B,C,#DIV!0,C,E,C-,B-,D,D,C,C-
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.12175894907670805,-0.03655713014930469,0.3486947381865135,0.2317954483989055,0.13101971308851307,-0.3465318726206648,-0.5243370637797825,-0.010593888257015975,#DIV/0!,-0.24827266167876594,-0.15745296288051508,0.5134200745840555,#DIV/0!,-0.29625607781200786,-0.33928643978209355,#DIV/0!,C,C,B-,C,C,C-,C-,C,#DIV!0,C,C,B-,C-,#DIV!0,C-,#DIV!0
