,puma,Unemployment_BABS_score,FT_Work_BABS_score,Poverty_BABS_score,Working_Poor_BABS_score,Rent_Burden_BABS_score,Home_Ownership_BABS_score,Income_level_BABS_score,Overall_BABS_score,Unemployment_HS_score,FT_Work_HS_score,Poverty_HS_score,Working_Poor_HS_score,Rent_Burden_HS_score,Home_Ownership_HS_score,Income_level_HS_score,Overall_HS_score,Unemployment_BABS_grade,FT_Work_BABS_grade,Poverty_BABS_grade,Working_Poor_BABS_grade,Rent_Burden_BABS_grade,Home_Ownership_BABS_grade,Income_level_BABS_grade,Overall_BABS_grade,Unemployment_HS_grade,FT_Work_HS_grade,Poverty_HS_grade,Working_Poor_HS_grade,Income_level_HS_grade,Rent_Burden_HS_grade,Home_Ownership_HS_grade,Overall_HS_grade
0,Total Geo,0.023564607358145466,-0.05807519283028528,-0.11182115634388705,0.12444090060078708,0.12546657111918832,-0.24883434008413208,-0.2340775415664764,-0.054190878820951416,0.07213170922064736,-0.11042810272486994,0.050544458440283845,0.18181051188377367,0.20361993323327207,-0.5403417747686914,-0.017521085899214212,-0.022883478659256943,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C-,C
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,-0.19448281630189238,0.37393239725322236,0.30833462849357457,0.1804094722754971,-0.20925888346533242,0.30062125430137676,-0.3111086588891573,0.06406391338104124,#DIV/0!,-1.6916105120497082,0.17611425695187422,0.44676866678557037,0.1945034437288635,-0.9140050563874186,0.08033029447827829,#DIV/0!,C,B-,B-,C,C,B-,C-,C,#DIV!0,D-,C,B-,C,C,D,#DIV!0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.10892588224181264,-0.28408657012361943,-0.12259955336892253,0.1797297358291256,0.605941720837668,0.19758015329936002,-0.4084255014839707,0.03958083817592194,-0.6224486469442219,0.1231138192024671,0.06946643494818447,-1.1674136213595745,0.1277992896261992,0.24242666036562205,-0.18885428942655744,-0.20227290765541156,C,C-,C,C,B-,C,C-,C,C-,C,C,D,C,C,C,C
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.20387449246494205,0.07970239921364014,0.02452326007534335,0.10813162508678265,0.3117217276440961,-0.057563847849879085,-0.17158650462873115,0.071257593143742,0.4565239338956142,0.08999188558116655,0.4215312968479128,0.2743664258259328,0.6141445175062015,0.026233727796572497,-0.9753996143058276,0.12962745330679612,C,C,C,C,B-,C,C,C,B-,C,B-,B-,D,B-,C,C
4,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.8228942285104867,#DIV/0!,#DIV/0!,1.0492080111046072,#DIV/0!,#DIV/0!,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,#DIV!0,B,#DIV!0
5,Ontario & Yates Counties PUMA,0.4300063147237717,-2.2545325817273416,0.8223323509338074,0.1804094722754971,#DIV/0!,0.7082934713137086,-0.484388837081504,#DIV/0!,0.4565239338956142,-3.1786500480377673,-1.7058097708331112,#DIV/0!,#DIV/0!,0.7266603336918123,#DIV/0!,#DIV/0!,B-,E,B,C,#DIV!0,B-,C-,#DIV!0,B-,E,D-,#DIV!0,#DIV!0,#DIV!0,B-,#DIV!0
6,Monroe County (Central)--Greece & Gates Towns PUMA,0.4300063147237717,-1.0176334739033832,-1.6098274704025803,0.1804094722754971,0.605941720837668,-1.70653770446694,-0.3094452935804914,-0.489583776359494,0.4565239338956142,0.625610953763645,-1.1285738669309777,-0.5538917738788152,0.13353374865937956,-0.06528749465233805,-0.5239938232234159,-0.15086833176670117,B-,D,D-,C,B-,D-,C-,C-,B-,B-,D,C-,C-,C,C,C
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.4300063147237717,0.01099008858582935,0.5043294040025122,0.1804094722754971,0.605941720837668,0.2326983287273415,-0.28111561513840494,0.24046567343060213,0.15941349473877536,0.21068001093820532,0.8228942285104867,0.44676866678557037,-0.16243190481810063,0.06661271786129466,0.14263817903931716,0.24093934186507843,B-,C,B-,C,B-,C,C-,C,C,C,B,B-,C,C,C,C
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",#DIV/0!,#DIV/0!,0.8223323509338074,#DIV/0!,#DIV/0!,0.7586999914199897,#DIV/0!,#DIV/0!,0.1891765440355564,-1.3032273446001787,0.19084982572680148,0.44676866678557037,-0.15544071202733115,0.5864940332254658,-0.27567553712178156,-0.04586493199655678,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,B,#DIV!0,#DIV!0,C,D-,C,B-,C-,C,B-,C
9,NYC-Manhattan Community District 8--Upper East Side PUMA,0.1370051119751155,-0.0621972154494908,0.17343271141734315,0.16725976403996365,0.22297405606157172,-1.123241523227532,-0.3027740868769881,-0.11250588315143098,-2.139620970369172,-0.5997044634084815,0.37131444556581517,0.44676866678557037,#DIV/0!,-0.3781540545980143,-0.4217074769086767,#DIV/0!,C,C,C,C,C,D,C-,C,E,C-,B-,B-,C-,#DIV!0,C-,#DIV!0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,-0.6108544097865726,-0.14202498942512587,#DIV/0!,#DIV/0!,#DIV/0!,-0.6562974534914827,-0.44510153970970573,#DIV/0!,-0.30399809764301516,0.7744363666725439,0.6429009029647811,0.047535481674176934,#DIV/0!,0.5398737834501875,-0.22307736989656193,#DIV/0!,C-,C,#DIV!0,#DIV!0,#DIV!0,C-,C-,#DIV!0,C-,B,B-,C,C,#DIV!0,B-,#DIV!0
11,Erie County (Northwest) PUMA,0.4300063147237717,0.4770412385891898,0.7752724229775146,#DIV/0!,0.605941720837668,-0.5897329938999977,-0.02860445291831489,#DIV/0!,0.4565239338956142,0.5805554306253188,0.8228942285104867,0.44676866678557037,0.720014824806482,0.46553542074920545,0.5182834060808336,0.5729394159219302,B-,B-,B,#DIV!0,B-,C-,C,#DIV!0,B-,B-,B,B-,B-,B-,B-,B-
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.34288286777801724,0.12509820000074764,0.4298553749747794,0.11562730598766002,0.5020798901292972,-0.24558861510424154,-0.06669995367333964,0.17189358144184577,0.11916788790964158,0.24426294251979802,0.2461545848231721,#DIV/0!,0.42064254194184647,0.17270430640272505,0.0822929776288426,#DIV/0!,B-,C,B-,C,B-,C,C,C,C,C,C,#DIV!0,C,B-,C,#DIV!0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,#DIV/0!,-0.21353821034845286,#DIV/0!,#DIV/0!,#DIV/0!,-0.5161307942873243,0.6713392519427477,#DIV/0!,#DIV/0!,-0.45761524742202925,0.5950731657970659,0.3634256720066365,0.5643662707278515,6.210669624105482,0.5911461382272241,#DIV/0!,#DIV!0,C,#DIV!0,#DIV!0,#DIV!0,C-,B-,#DIV!0,#DIV!0,C-,B-,B-,B-,B-,A,#DIV!0
