,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1628384,679342,312878,366464,744052,394829,349223,204990,118672,86318
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,8149,3058,1348,1710,4353,2271,2082,738,366,372
2,"Chenango, Delaware & Broome (East) Counties PUMA",1343,329,248,81,1014,535,479,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,196,166,0,166,0,0,0,30,0,30
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16723,2437,824,1613,10656,5644,5012,3630,2351,1279
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",19248,5548,2234,3314,10055,5249,4806,3645,1800,1845
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",34934,11108,3753,7355,19874,10304,9570,3952,2154,1798
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",715,511,98,413,204,30,174,0,0,0
8,Erie County (Northwest) PUMA,1590,959,878,81,509,150,359,122,122,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,20124,15398,6929,8469,4129,1867,2262,597,434,163
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",14458,10219,3601,6618,3283,1896,1387,956,716,240
11,Saratoga County (South & Central) PUMA,2707,2249,1082,1167,458,102,356,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,5792,3224,1327,1897,2149,605,1544,419,289,130
13,Columbia & Greene Counties PUMA,2513,1350,641,709,995,215,780,168,143,25
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,20941,9413,4705,4708,10144,5499,4645,1384,564,820
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,14062,7494,2871,4623,4172,2234,1938,2396,1716,680
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,21008,8517,4453,4064,10536,5096,5440,1955,1357,598
17,Putnam County PUMA,5613,1584,718,866,2990,1718,1272,1039,396,643
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,14189,6494,3257,3237,6511,3202,3309,1184,576,608
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,34997,6389,2951,3438,24204,15234,8970,4404,2998,1406
20,Rockland County (North)--New City & Congers PUMA,9831,3856,2237,1619,5010,2186,2824,965,694,271
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",21560,4776,2896,1880,11356,5626,5730,5428,2794,2634
22,Orange County (Northwest) PUMA,5977,2248,1166,1082,3304,1758,1546,425,425,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,9565,7569,2928,4641,1933,1271,662,63,0,63
24,Dutchess County (Southwest) PUMA,8876,4720,1549,3171,3004,2223,781,1152,503,649
