,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,41.71878377581701,37.86132029008481,45.69348071396064,45.69266217305009,47.77819862314991,43.54374349287099,12.588554051132903,14.360481086765272,10.762775793168371
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,37.526076819241624,33.82685069008783,41.066282420749275,53.41759725119647,56.988707653701375,50.0,9.05632592956191,9.18444165621079,8.93371757925072
2,"Chenango, Delaware & Broome (East) Counties PUMA",24.497393894266565,31.673052362707537,14.464285714285715,75.50260610573343,68.32694763729246,85.53571428571428,0.0,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,84.6938775510204,#DIV/0!,84.6938775510204,0.0,#DIV/0!,0.0,15.306122448979592,#DIV/0!,15.306122448979592
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,14.57274412485798,9.343462977661867,20.40738866396761,63.720624289900144,63.99818573534415,63.41093117408907,21.70663158524188,26.65835128699399,16.18168016194332
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",28.823773898586868,24.065496068081437,33.25639739086804,52.23919368246052,56.54422061833459,48.228800802809836,18.93703241895262,19.39028331358397,18.51480180632213
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",31.7971031087193,23.150946887915612,39.283234524381776,56.89013568443351,63.56177903892418,51.1136035891684,11.312761206847197,13.2872740731602,9.60316188644982
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",71.46853146853147,76.5625,70.35775127768314,28.53146853146853,23.4375,29.642248722316864,0.0,0.0,0.0
8,Erie County (Northwest) PUMA,60.31446540880503,76.34782608695653,18.409090909090907,32.0125786163522,13.043478260869565,81.5909090909091,7.672955974842767,10.608695652173914,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,76.51560325978932,75.07042253521126,77.74004038920506,20.517789703836215,20.227518959913326,20.763723150357997,2.9666070363744783,4.702058504875406,1.4962364604369378
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",70.6805920597593,57.95911797843232,80.26682838083687,22.70715174989625,30.51665861902463,16.822316555488175,6.6122561903444455,11.524223402543054,2.9108550636749544
11,Saratoga County (South & Central) PUMA,83.08090136682674,91.38513513513513,76.62508207485227,16.919098633173256,8.614864864864865,23.374917925147734,0.0,0.0,0.0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,55.66298342541437,59.747861323728046,53.122374684962196,37.10290055248619,27.239981990094552,43.237188462615514,7.234116022099448,13.012156686177399,3.6404368524222908
13,Columbia & Greene Counties PUMA,53.72065260644647,64.16416416416416,46.829590488771466,39.594110624751295,21.52152152152152,51.51915455746368,6.685236768802229,14.314314314314313,1.6512549537648615
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,44.95009789408338,43.694279346211,46.279366951734985,48.44085764767681,51.067979197622584,45.66008060552443,6.609044458239817,5.237741456166419,8.060552442740587
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,53.29256151329825,42.09060255094561,63.8447728214335,29.66861043948229,32.75179592435127,26.764259080237533,17.038828047219457,25.15760152470312,9.39096809832896
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,40.54169840060929,40.830735375022925,40.22965749356563,50.152322924600156,46.72657252888318,53.850722629182336,9.305978674790556,12.442692096093893,5.919619877252029
17,Putnam County PUMA,28.220203099946552,25.353107344632768,31.13987774181949,53.269196508106184,60.663841807909606,45.73894282632146,18.510600391947264,13.983050847457626,23.121179431859044
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,45.76784833321587,46.29708599857854,45.24741403410679,45.887659454507016,45.515280739161334,46.253844003354764,8.344492212277116,8.187633262260128,8.49874196253844
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,18.255850501471553,13.930982391540386,24.887794990589256,69.16021373260564,71.91615918425153,64.9341248009266,12.583935765922794,14.152858424208093,10.178080208484147
20,Rockland County (North)--New City & Congers PUMA,39.22286644288475,43.71702169239789,34.344505727619854,50.961245041196214,42.720343951534105,59.90666100975817,9.815888515919031,13.56263435606801,5.748833262621977
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",22.15213358070501,25.5920820077766,18.352206169465052,52.67161410018553,49.71721456344998,55.93518156969933,25.17625231910946,24.690703428773418,25.71261226083561
22,Orange County (Northwest) PUMA,37.61084155931069,34.81636309346074,41.17199391171994,55.27856784339969,52.49328157659002,58.82800608828006,7.110590597289611,12.690355329949238,0.0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,79.13225300575013,69.7308883067397,86.4890048453224,20.209095661265028,30.2691116932603,12.33693626537458,0.6586513329848406,0.0,1.174058889303019
24,Dutchess County (Southwest) PUMA,53.17710680486706,36.23391812865497,68.91980004346881,33.84407390716539,52.0,16.974570745490112,12.978819287967552,11.76608187134503,14.105629211041078
25,Westchester County (Northwest) PUMA,48.21587507079861,37.70568876351669,59.43459350953496,33.39266930981471,40.40119103588779,25.911676145868185,18.391455619386683,21.89312020059552,14.653730344596855
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,34.83184045969241,36.21424223980523,33.105283162295706,59.01639344262295,61.47291539866099,55.948308627898136,6.151766097684638,2.3128423615337796,10.946408209806158
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,42.85086273216837,36.83210137275607,49.38130155820348,38.80646224859875,39.31362196409715,38.256186984417965,18.342675019232882,23.854276663146777,12.36251145737855
28,Saratoga County (Outer) PUMA,71.64017341040463,62.099871959026885,83.99668325041459,18.316473988439306,20.102432778489117,16.003316749585405,10.04335260115607,17.797695262483995,0.0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,35.93061146252636,34.86803860016277,37.226950354609926,48.210976934381186,45.54121613765842,51.46808510638298,15.858411603092454,19.590745262178817,11.304964539007093
30,Erie County (South) PUMA,54.96840896036761,56.0303893637227,53.34302325581395,43.71051120045951,43.9696106362773,43.31395348837209,1.321079839172889,0.0,3.343023255813953
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",35.761713270363785,34.03842763969681,37.70916334661354,50.79958851585149,55.499735589635115,45.48804780876494,13.43869821378472,10.461836770668077,16.802788844621514
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,42.68572698318643,47.452874279482785,38.364868681163514,47.36686171394712,44.61754167315781,49.858796950014124,9.947411302866454,7.929584047359402,11.776334368822367
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,25.276831345826235,21.49621212121212,30.131322957198442,40.31090289608177,37.00757575757576,44.55252918287938,34.41226575809199,41.496212121212125,25.31614785992218
34,St. Lawrence County PUMA,31.55140186915888,24.22517394054396,42.13893967093236,51.73831775700934,59.01328273244781,41.22486288848263,16.710280373831775,16.761543327008223,16.63619744058501
35,Genesee & Orleans Counties PUMA,45.72490706319702,40.770101925254814,68.39378238341969,37.36059479553903,38.618346545866366,31.606217616580313,16.91449814126394,20.61155152887882,0.0
36,Monroe County (Central)--Rochester City (West) PUMA,36.94813544792113,27.911453320500478,44.20401854714065,52.72181740248607,63.42637151106834,44.12673879443586,10.330047149592799,8.662175168431183,11.669242658423492
37,Wayne & Seneca Counties PUMA,57.20720720720721,38.33634719710669,67.63236763236763,37.83783783783784,61.66365280289331,24.675324675324674,4.954954954954955,0.0,7.6923076923076925
38,Warren & Washington Counties PUMA,81.95488721804512,94.5107398568019,60.56910569105691,18.045112781954884,5.4892601431980905,39.43089430894309,0.0,0.0,0.0
39,Erie County (North Central) PUMA,81.62372386971317,89.17157927396835,73.37177747625509,15.71868416788203,8.62550418864412,23.473541383989144,2.657591962404797,2.202916537387527,3.154681139755767
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",38.92215568862276,19.40818102697998,71.51162790697676,41.099618943930324,48.65100087032202,28.488372093023255,19.978225367446925,31.940818102698,0.0
41,Dutchess County (North & East) PUMA,43.39514978601997,28.012733060482038,69.29555895865236,31.12696148359487,39.06321055025012,17.76416539050536,25.47788873038516,32.92405638926785,12.940275650842267
42,Tompkins County PUMA,87.99443450606242,96.89831173930114,78.8647342995169,9.083681176704433,3.1016882606988614,15.217391304347828,2.921884317233155,0.0,5.917874396135265
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",89.054441260745,93.31569146329511,84.21930604982207,9.367022662151602,3.7145937469371755,15.780693950177934,1.5785360771034123,2.9697147897677154,0.0
44,Onondaga County (Central)--Syracuse City PUMA,35.17425519955031,34.41488211118322,36.58243080625752,43.90106801573918,40.449924291585546,50.30084235860409,20.92467678471051,25.135193597231236,13.116726835138387
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,27.598439162823695,23.107998922704013,36.259740259740255,56.58034764100744,55.69620253164557,58.285714285714285,15.821213196168854,21.19579854565042,5.454545454545454
46,Suffolk County (Northwest)--Smithtown Town PUMA,58.556101109292605,45.93989769820972,75.20033741037537,37.84324422622295,52.23785166240409,18.852804723745255,3.600654664484452,1.8222506393861895,5.946857865879376
