,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Owner_mf_t,Total_Owner_m,Total_Owner_f,Total_NotOwner_mf_t,Total_NotOwner_m,Total_NotOwner_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Owner_mf_t,BABS_Owner_m,BABS_Owner_f,BABS_NotOwner_mf_t,BABS_NotOwner_m,BABS_NotOwner_f,Total_HS,Total_HS_m,Total_HS_f,HS_Owner_mf_t,HS_Owner_m,HS_Owner_f,HS_NotOwner_mf_t,HS_NotOwner_m,HS_NotOwner_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Owner_mf_t,HSINC_Owner_m,HSINC_Owner_f,HSINC_NotOwner_mf_t,HSINC_NotOwner_m,HSINC_NotOwner_f
0,Total Geo,1227438.0,624232.0,603206.0,493017.0,238553.0,254464.0,734421.0,385679.0,348742.0,476301.0,219526.0,256775.0,241568.0,106725.0,134843.0,234733.0,112801.0,121932.0,579853.0,305733.0,274120.0,203106.0,103522.0,99584.0,376747.0,202211.0,174536.0,171284.0,98973.0,72311.0,48343.0,28306.0,20037.0,122941.0,70667.0,52274.0
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,6673.0,3358.0,3315.0,5008.0,2578.0,2430.0,1665.0,780.0,885.0,2646.0,1180.0,1466.0,2371.0,1052.0,1319.0,275.0,128.0,147.0,3356.0,1879.0,1477.0,2344.0,1327.0,1017.0,1012.0,552.0,460.0,671.0,299.0,372.0,293.0,199.0,94.0,378.0,100.0,278.0
2,"Chenango, Delaware & Broome (East) Counties PUMA",255.0,220.0,35.0,35.0,0.0,35.0,220.0,220.0,0.0,120.0,85.0,35.0,35.0,0.0,35.0,85.0,85.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,135.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Cayuga & Onondaga (South) Counties PUMA,30.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,16295.0,8726.0,7569.0,5255.0,2668.0,2587.0,11040.0,6058.0,4982.0,2330.0,824.0,1506.0,1206.0,581.0,625.0,1124.0,243.0,881.0,10335.0,5551.0,4784.0,3091.0,1536.0,1555.0,7244.0,4015.0,3229.0,3630.0,2351.0,1279.0,958.0,551.0,407.0,2672.0,1800.0,872.0
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",15207.0,7414.0,7793.0,6186.0,2843.0,3343.0,9021.0,4571.0,4450.0,4001.0,1725.0,2276.0,2046.0,812.0,1234.0,1955.0,913.0,1042.0,7832.0,3979.0,3853.0,3376.0,1644.0,1732.0,4456.0,2335.0,2121.0,3374.0,1710.0,1664.0,764.0,387.0,377.0,2610.0,1323.0,1287.0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",17298.0,7896.0,9402.0,6527.0,3190.0,3337.0,10771.0,4706.0,6065.0,5279.0,1504.0,3775.0,1936.0,455.0,1481.0,3343.0,1049.0,2294.0,9190.0,4835.0,4355.0,4000.0,2318.0,1682.0,5190.0,2517.0,2673.0,2829.0,1557.0,1272.0,591.0,417.0,174.0,2238.0,1140.0,1098.0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",464.0,98.0,366.0,168.0,0.0,168.0,296.0,98.0,198.0,393.0,98.0,295.0,129.0,0.0,129.0,264.0,98.0,166.0,71.0,0.0,71.0,39.0,0.0,39.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Erie County (Northwest) PUMA,1234.0,893.0,341.0,272.0,272.0,0.0,962.0,621.0,341.0,702.0,621.0,81.0,0.0,0.0,0.0,702.0,621.0,81.0,410.0,150.0,260.0,150.0,150.0,0.0,260.0,0.0,260.0,122.0,122.0,0.0,122.0,122.0,0.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,12692.0,5431.0,7261.0,3254.0,908.0,2346.0,9438.0,4523.0,4915.0,9001.0,4034.0,4967.0,2980.0,908.0,2072.0,6021.0,3126.0,2895.0,3127.0,996.0,2131.0,274.0,0.0,274.0,2853.0,996.0,1857.0,564.0,401.0,163.0,0.0,0.0,0.0,564.0,401.0,163.0
