,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,269346,153923,115423,197925,131991,65934,71421,21932,49489
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,726,441,285,301,301,0,425,140,285
2,"Chenango, Delaware & Broome (East) Counties PUMA",51,15,36,51,15,36,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,117,0,117,0,0,0,117,0,117
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2839,1831,1008,2204,1622,582,635,209,426
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1855,660,1195,1751,660,1091,104,0,104
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3107,1704,1403,2841,1660,1181,266,44,222
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",51,0,51,51,0,51,0,0,0
8,Erie County (Northwest) PUMA,161,12,149,161,12,149,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,0,0,0,0,0,0,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",183,86,97,183,86,97,0,0,0
11,Saratoga County (South & Central) PUMA,369,189,180,369,189,180,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,676,597,79,110,110,0,566,487,79
13,Columbia & Greene Counties PUMA,148,61,87,148,61,87,0,0,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,400,400,0,306,306,0,94,94,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,26,26,0,0,0,0,26,26,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,427,241,186,348,200,148,79,41,38
17,Putnam County PUMA,1552,1014,538,903,740,163,649,274,375
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,893,822,71,822,822,0,71,0,71
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,11943,7861,4082,9047,7359,1688,2896,502,2394
20,Rockland County (North)--New City & Congers PUMA,3589,2275,1314,1959,1160,799,1630,1115,515
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",5257,2384,2873,3769,1879,1890,1488,505,983
22,Orange County (Northwest) PUMA,875,68,807,244,68,176,631,0,631
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,1314,1039,275,350,350,0,964,689,275
24,Dutchess County (Southwest) PUMA,327,210,117,92,92,0,235,118,117
25,Westchester County (Northwest) PUMA,3719,1912,1807,3052,1912,1140,667,0,667
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,305,305,0,305,305,0,0,0,0
