,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,151533,101685,49848,144363,98923,45440,7170,2762,4408
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,266,266,0,266,266,0,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,30,30,0,30,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2624,1907,717,2557,1907,650,67,0,67
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2265,1632,633,2265,1632,633,0,0,0
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3113,1941,1172,3113,1941,1172,0,0,0
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,221,221,0,221,221,0,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",956,716,240,956,716,240,0,0,0
11,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,419,289,130,419,289,130,0,0,0
13,Columbia & Greene Counties PUMA,45,45,0,45,45,0,0,0,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1010,564,446,1010,564,446,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1925,1710,215,1925,1710,215,0,0,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1281,969,312,1119,807,312,162,162,0
17,Putnam County PUMA,678,396,282,678,396,282,0,0,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,751,576,175,751,576,175,0,0,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3465,2494,971,3353,2494,859,112,0,112
20,Rockland County (North)--New City & Congers PUMA,902,631,271,902,631,271,0,0,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",3426,1679,1747,3291,1679,1612,135,0,135
22,Orange County (Northwest) PUMA,425,425,0,425,425,0,0,0,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63,0,63,63,0,63,0,0,0
24,Dutchess County (Southwest) PUMA,922,503,419,922,503,419,0,0,0
25,Westchester County (Northwest) PUMA,2184,1308,876,2184,1308,876,0,0,0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,289,76,213,289,76,213,0,0,0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2340,1776,564,1742,1444,298,598,332,266
28,Saratoga County (Outer) PUMA,256,256,0,256,256,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3516,2623,893,3284,2442,842,232,181,51
30,Erie County (South) PUMA,0,0,0,0,0,0,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2292,1187,1105,1853,1087,766,439,100,339
