,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,122487,90940,31547,87458,62788,24670,35029,28152,6877
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,266,266,0,266,266,0,0,0,0
2,"Chenango, Delaware & Broome (East) Counties PUMA",0,0,0,0,0,0,0,0,0
3,Cayuga & Onondaga (South) Counties PUMA,30,0,30,30,0,30,0,0,0
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,2368,1708,660,2037,1583,454,331,125,206
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1930,1340,590,669,459,210,1261,881,380
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2653,1758,895,2021,1301,720,632,457,175
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,0,0,0,0,0,0
8,Erie County (Northwest) PUMA,0,0,0,0,0,0,0,0,0
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,188,188,0,188,188,0,0,0,0
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",956,716,240,456,216,240,500,500,0
11,Saratoga County (South & Central) PUMA,0,0,0,0,0,0,0,0,0
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,242,180,62,62,0,62,180,180,0
13,Columbia & Greene Counties PUMA,45,45,0,0,0,0,45,45,0
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,401,401,0,401,401,0,0,0,0
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1713,1692,21,1401,1380,21,312,312,0
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1347,1209,138,840,746,94,507,463,44
17,Putnam County PUMA,396,396,0,73,73,0,323,323,0
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,576,576,0,409,409,0,167,167,0
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,3223,2492,731,2306,1641,665,917,851,66
20,Rockland County (North)--New City & Congers PUMA,711,631,80,711,631,80,0,0,0
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",2866,1576,1290,1454,704,750,1412,872,540
22,Orange County (Northwest) PUMA,425,425,0,425,425,0,0,0,0
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,63,0,63,63,0,63,0,0,0
24,Dutchess County (Southwest) PUMA,451,278,173,288,115,173,163,163,0
25,Westchester County (Northwest) PUMA,1593,1308,285,988,703,285,605,605,0
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,225,76,149,225,76,149,0,0,0
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,2126,1683,443,1500,1335,165,626,348,278
28,Saratoga County (Outer) PUMA,256,256,0,256,256,0,0,0,0
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2614,2234,380,2274,1894,380,340,340,0
30,Erie County (South) PUMA,0,0,0,0,0,0,0,0,0
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",1414,869,545,1107,791,316,307,78,229
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,319,165,154,147,65,82,172,100,72
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,2537,2191,346,1861,1515,346,676,676,0
34,St. Lawrence County PUMA,309,151,158,0,0,0,309,151,158
35,Genesee & Orleans Counties PUMA,160,160,0,160,160,0,0,0,0
36,Monroe County (Central)--Rochester City (West) PUMA,0,0,0,0,0,0,0,0,0
37,Wayne & Seneca Counties PUMA,41,0,41,41,0,41,0,0,0
38,Warren & Washington Counties PUMA,0,0,0,0,0,0,0,0,0
39,Erie County (North Central) PUMA,164,71,93,0,0,0,164,71,93
40,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0,0,0,0,0,0,0,0,0
41,Dutchess County (North & East) PUMA,724,724,0,417,417,0,307,307,0
42,Tompkins County PUMA,147,0,147,0,0,0,147,0,147
43,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",277,277,0,112,112,0,165,165,0
44,Onondaga County (Central)--Syracuse City PUMA,880,880,0,431,431,0,449,449,0
45,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0,0,0,0,0,0,0,0,0
46,Suffolk County (Northwest)--Smithtown Town PUMA,57,57,0,57,57,0,0,0,0
47,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,0,0,0,0,0,0
48,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,1927,1537,390,1774,1384,390,153,153,0
49,Onondaga County (Central)--Syracuse City (Outer) PUMA,493,244,249,428,179,249,65,65,0
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,333,294,39,0,0,0,333,294,39
51,Erie County (West Central)--Buffalo City (West) PUMA,623,623,0,286,286,0,337,337,0
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",42,0,42,42,0,42,0,0,0
53,Monroe County (North & West) PUMA,388,348,40,211,171,40,177,177,0
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,685,518,167,261,94,167,424,424,0
55,Cattaraugus & Allegany Counties PUMA,41,41,0,41,41,0,0,0,0
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",823,593,230,823,593,230,0,0,0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,0,0,0,0,0,0
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,470,51,419,470,51,419,0,0,0
59,Jefferson & Lewis Counties PUMA,0,0,0,0,0,0,0,0,0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1029,949,80,689,689,0,340,260,80
61,Schenectady County--Schenectady City PUMA,261,261,0,197,197,0,64,64,0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,2380,2145,235,2004,1908,96,376,237,139
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,0,0,0,0,0,0
64,Fulton & Montgomery Counties PUMA,114,114,0,0,0,0,114,114,0
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,752,595,157,481,324,157,271,271,0
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",86,86,0,86,86,0,0,0,0
67,Oswego County PUMA,48,48,0,48,48,0,0,0,0
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",1126,1126,0,352,352,0,774,774,0
69,Monroe County (Central)--Rochester City (East) PUMA,168,168,0,168,168,0,0,0,0
70,Westchester County (Northeast) PUMA,2329,1856,473,1747,1274,473,582,582,0
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2162,1683,479,1534,1055,479,628,628,0
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",2815,1577,1238,2044,1068,976,771,509,262
73,Onondaga County (North) PUMA,0,0,0,0,0,0,0,0,0
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,680,511,169,680,511,169,0,0,0
75,Monroe County (South) PUMA,350,350,0,122,122,0,228,228,0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",1745,1081,664,1383,968,415,362,113,249
77,Rensselaer County--Troy City PUMA,172,172,0,172,172,0,0,0,0
78,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,0,0,0,0,0,0
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,948,890,58,948,890,58,0,0,0
80,Ontario & Yates Counties PUMA,0,0,0,0,0,0,0,0,0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1755,1191,564,1367,847,520,388,344,44
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,710,101,609,438,0,438,272,101,171
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1278,1278,0,618,618,0,660,660,0
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1882,1587,295,1430,1135,295,452,452,0
85,Chautauqua County PUMA,0,0,0,0,0,0,0,0,0
86,Orange County (Southeast) PUMA,449,171,278,317,39,278,132,132,0
87,Monroe County (East) PUMA,228,47,181,228,47,181,0,0,0
88,Broome (Outer West) & Tioga Counties PUMA,70,70,0,70,70,0,0,0,0
89,Suffolk County (East) PUMA,990,591,399,473,74,399,517,517,0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",998,669,329,998,669,329,0,0,0
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,3278,1273,2005,1813,416,1397,1465,857,608
92,Albany County (Outside Albany City) PUMA,872,421,451,872,421,451,0,0,0
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1580,922,658,1113,645,468,467,277,190
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",573,573,0,573,573,0,0,0,0
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,178,178,0,118,118,0,60,60,0
96,Erie County (West Central)--Buffalo City (East) PUMA,173,106,67,159,106,53,14,0,14
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,878,837,41,787,746,41,91,91,0
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",1521,795,726,1124,502,622,397,293,104
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1986,1715,271,1518,1321,197,468,394,74
100,Madison & Cortland Counties PUMA,0,0,0,0,0,0,0,0,0
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,158,96,62,62,0,62,96,96,0
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,557,470,87,557,470,87,0,0,0
103,Westchester County (Central)--White Plains City PUMA,1140,956,184,960,776,184,180,180,0
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",368,368,0,368,368,0,0,0,0
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,0,0,0,0,0,0,0,0,0
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,896,672,224,142,0,142,754,672,82
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,667,514,153,315,162,153,352,352,0
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,2909,2225,684,2031,1646,385,878,579,299
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,1691,1193,498,1691,1193,498,0,0,0
110,Suffolk County (Southwest)--Islip Town (South) PUMA,232,192,40,232,192,40,0,0,0
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1128,978,150,773,623,150,355,355,0
112,Ulster County (East) PUMA,149,149,0,149,149,0,0,0,0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,407,407,0,407,407,0,0,0,0
114,NYC-Brooklyn Community District 4--Bushwick PUMA,1817,1431,386,1425,1187,238,392,244,148
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",86,0,86,86,0,86,0,0,0
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,912,505,407,654,319,335,258,186,72
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",1782,1239,543,771,462,309,1011,777,234
118,Erie County (Central) PUMA,182,119,63,182,119,63,0,0,0
119,Livingston & Wyoming Counties PUMA,78,78,0,78,78,0,0,0,0
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,405,405,0,405,405,0,0,0,0
121,Niagara County (North & East) PUMA,0,0,0,0,0,0,0,0,0
122,Westchester County (Southwest)--Yonkers City PUMA,2643,2047,596,2324,1728,596,319,319,0
123,Sullivan & Ulster (West) Counties PUMA,0,0,0,0,0,0,0,0,0
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",995,995,0,819,819,0,176,176,0
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2340,1971,369,1610,1241,369,730,730,0
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2648,1501,1147,1441,591,850,1207,910,297
127,NYC-Manhattan Community District 11--East Harlem PUMA,629,325,304,181,0,181,448,325,123
128,Westchester County (Southeast) PUMA,3065,2521,544,2781,2237,544,284,284,0
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,128,128,0,87,87,0,41,41,0
130,Erie County (Northeast) PUMA,94,0,94,94,0,94,0,0,0
131,Monroe County (Central)--Greece & Gates Towns PUMA,213,0,213,213,0,213,0,0,0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,997,709,288,637,349,288,360,360,0
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",391,120,271,271,0,271,120,120,0
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",136,136,0,136,136,0,0,0,0
135,Albany County (East Central)--Albany City PUMA,685,148,537,685,148,537,0,0,0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",525,230,295,525,230,295,0,0,0
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,3021,2402,619,1662,1426,236,1359,976,383
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2808,1995,813,2128,1674,454,680,321,359
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",341,85,256,256,0,256,85,85,0
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1740,1327,413,650,548,102,1090,779,311
141,NYC-Manhattan Community District 8--Upper East Side PUMA,0,0,0,0,0,0,0,0,0
142,Orange County (Northeast)--Greater Newburgh City PUMA,876,795,81,795,795,0,81,0,81
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",361,361,0,0,0,0,361,361,0
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1389,1022,367,1193,952,241,196,70,126
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,3816,2760,1056,2999,1943,1056,817,817,0
146,Capital Region,2291,1303,988,2182,1194,988,109,109,0
147,Central NY,1451,1172,279,937,658,279,514,514,0
148,Finger Lakes,1626,1151,475,1221,746,475,405,405,0
149,Long Island,21014,15662,5352,16849,12071,4778,4165,3591,574
150,Mid-Hudson,19045,15613,3432,14991,11918,3073,4054,3695,359
151,Mohawk Valley,1026,619,407,654,319,335,372,300,72
152,New York City,73728,53817,19911,49663,35173,14490,24065,18644,5421
153,North Country,309,151,158,0,0,0,309,151,158
154,Southern Tier,592,364,228,112,70,42,480,294,186
155,Western NY,1405,1088,317,849,639,210,556,449,107
