,puma,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,40.27546860731131,37.05351688962189,43.41095783533153,52.107465304162695,54.181473991465744,50.089113551044974,7.617066088525997,8.765009118912362,6.499928613623493
1,Nassau County (Central)--Hempstead Town (Northeast) PUMA,38.281359953354645,33.311053555017125,42.893135392844684,58.75505157126485,62.70782855710586,55.08740648862359,2.9635884753805013,3.9811178878770157,2.019458118531726
2,"Chenango, Delaware & Broome (East) Counties PUMA",21.790054365206267,21.32613599742185,22.24690574420819,65.78989446754078,63.73670641314857,67.81180577594415,12.420051167252959,14.937157589429583,9.941288479847668
3,Cayuga & Onondaga (South) Counties PUMA,28.507540301612067,24.05798074019394,33.262810628608314,61.74726989079563,62.58094822668859,60.85631297737297,9.745189807592304,13.361071033117472,5.880876394018719
4,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,15.96779604159678,8.87288869640537,20.96178028426628,68.48932125684894,76.3750541359896,62.938688412148004,15.542882701554289,14.752057167605024,16.099531303585717
5,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",32.82382628542038,27.538067048656178,38.27543424317618,56.11006638057122,61.80315932761404,50.2383439989552,11.06610733400839,10.658773623729779,11.486221757868616
6,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",36.092113699508445,37.25237449118046,34.809509524523776,56.883593360404646,55.715739484396195,58.17459127043648,7.024292940086912,7.031886024423338,7.015899205039748
7,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",24.45630605603619,20.82138304652645,28.064210026885974,67.61449321374712,69.76577437858509,65.47920291001107,7.929200730216684,9.412842574888463,6.456587063102957
8,Erie County (Northwest) PUMA,38.33363005162898,35.203964925657644,41.07548430193721,59.476588926473205,63.14525352649638,56.2625250501002,2.18978102189781,1.6507815478459777,2.661990647962592
9,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,79.4493134501091,76.34776955391078,82.33664656998533,17.76108787115285,18.93128625725145,16.671710235340672,2.78959867873805,4.720944188837768,0.9916431946739915
10,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",86.60518498934697,81.42630949688177,91.41032559812916,12.436820578218068,17.277926778039877,7.945074054086467,0.9579944324349544,1.2957637250783598,0.6446003477843737
11,Saratoga County (South & Central) PUMA,51.609053814766334,45.625325496614835,58.02424822525325,45.648240819154665,50.85559110185254,40.06540639706469,2.7427053660789897,3.519083401532624,1.9103453776820611
12,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,52.93499131388864,53.0235550277118,52.8589634664401,45.13806345432934,43.72030878859858,46.35514018691589,1.9269452317820241,3.2561361836896277,0.7858963466440102
13,Columbia & Greene Counties PUMA,23.52265988177453,19.662668665667166,27.54659477200797,62.67097736881373,64.17541229385307,61.10264525456179,13.806362749411743,16.16191904047976,11.350759973430234
14,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,36.60846791793976,33.99154372076286,39.074953366118365,60.549978175469235,61.34850665707089,59.797354587078175,2.8415539065910083,4.659949622166247,1.1276920468034592
15,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,67.97296651860343,62.52143684820394,73.76718064929307,30.333858719014184,35.87485515643106,24.444553918912263,1.6931747623823854,1.6037079953650057,1.7882654317946698
16,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,40.60932116302968,36.206896551724135,44.716650438169424,53.58359023957766,57.551974618017866,49.88120740019475,5.807088597392653,6.241128830257995,5.402142161635832
17,Putnam County PUMA,48.80470059181639,44.40337449991303,52.99623141591088,48.74530683240354,51.500260914941734,46.121671429163044,2.4499925757800733,4.096364585145243,0.8820971549260778
18,Nassau County (Northwest)--North Hempstead Town (North) PUMA,72.70762398223538,67.08763192221036,78.31332426518422,23.641746854182088,29.099964425471363,18.197409663492813,3.6506291635825314,3.8124036523182734,3.489266071322964
19,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,47.315690735640445,49.01684403411093,45.093888070692195,40.071049375324314,36.859539079568684,44.26546391752577,12.613259889035245,14.12361688632039,10.640648011782032
20,Rockland County (North)--New City & Congers PUMA,50.430092264017034,42.89725517162341,57.82603803308203,43.900638750887154,49.68769698011575,38.21874648362777,5.669268985095813,7.415047848260844,3.955215483290199
21,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",12.906671620648815,7.799699452227447,17.602745832218954,64.5101363119151,68.02074749139561,61.28198270482304,22.58319206743608,24.179553056376946,21.11527146295801
22,Orange County (Northwest) PUMA,24.910341583867364,19.762537103577564,30.094796050820122,66.96062868677367,71.48101859084518,62.408055697596666,8.129029729358967,8.756444305577253,7.497148251583212
23,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,68.60046933362955,68.17226588363992,68.99946351931331,25.2870849938209,27.175634050148258,23.52736051502146,6.112445672549536,4.65210006621182,7.473175965665237
24,Dutchess County (Southwest) PUMA,33.95988477825123,31.625247989975986,36.375422012153955,59.26486400382303,60.76537537851101,57.712356515867654,6.775251217925743,7.609376631513,5.912221471978393
25,Westchester County (Northwest) PUMA,54.971804345136036,49.524434240734664,60.103680307607796,40.53633615584508,42.72803469261324,38.471573743477066,4.491859499018897,7.74753106665209,1.4247459489151333
26,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,49.82656885415836,48.480006555227796,51.102655691877615,48.83980543816283,49.79514913143232,47.93446187296164,1.3336257076788136,1.7248443133398885,0.9628824351607392
27,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,51.86016317502043,47.252061819945936,55.82629962122342,42.04722137624826,45.55755769630605,39.025917862149186,6.092615448731306,7.190380483748007,5.147782516627397
28,Saratoga County (Outer) PUMA,32.11158270089462,27.982660249258917,36.158845216521904,60.07194812161757,60.98874828674338,59.17328000999813,7.816469177487812,11.028591463997707,4.667874773479973
29,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,33.30347607400007,27.7183175403913,39.00961136648558,51.13170496434354,56.86822550957802,45.27092909876027,15.564818961656387,15.413456950030676,15.719459534754144
30,Erie County (South) PUMA,35.84212520233736,30.923964682162637,40.67021567021567,62.105226904841174,65.949804176033,58.33105833105833,2.0526478928214726,3.1262311418043613,0.9987259987259988
31,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",24.449247795261975,17.96914608531904,30.371326449563146,67.10185025073491,70.88071268197291,63.64839819962933,8.448901954003112,11.150141232708046,5.98027535080752
32,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,56.4918635310411,55.81444609192968,57.177302684455874,33.63650890883426,33.181529337004875,34.09687617210523,9.871627560124644,11.004024571065452,8.72582114343889
33,Suffolk County (Central)--Brookhaven Town (Central) PUMA,29.728369377380332,25.244530466940862,33.958265405934135,67.53015787795917,71.64483461791035,63.64851646560157,2.741472744660504,3.110634915148792,2.393218128464297
34,St. Lawrence County PUMA,24.529330451881705,18.34397296282388,31.189099583552338,65.54913069719449,68.64438603079233,62.21647192010674,9.921538850923817,13.011641006383778,6.594428496340921
