,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,1240386,477442,227445,249997,582538,295562,286976,180406,105886,74520
1,Monroe County (Central)--Rochester City (East) PUMA,1908,765,549,216,980,737,243,163,76,87
2,NYC-Brooklyn Community District 4--Bushwick PUMA,11756,2670,1080,1590,5981,3739,2242,3105,1689,1416
3,NYC-Manhattan Community District 10--Central Harlem PUMA,16957,6334,4044,2290,7923,3177,4746,2700,1549,1151
4,Ontario & Yates Counties PUMA,766,280,233,47,405,110,295,81,0,81
5,Albany County (Outside Albany City) PUMA,6633,5224,3012,2212,1151,473,678,258,258,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",778,323,144,179,288,239,49,167,40,127
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,27348,11465,6530,4935,11471,6051,5420,4412,2510,1902
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",8928,3644,1273,2371,2413,1661,752,2871,1890,981
9,Warren & Washington Counties PUMA,288,204,132,72,84,0,84,0,0,0
10,Erie County (North Central) PUMA,5726,4912,2946,1966,459,331,128,355,251,104
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",16313,12677,6792,5885,3550,2135,1415,86,0,86
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1207,525,291,234,414,172,242,268,108,160
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,10015,5657,2458,3199,2207,1596,611,2151,1368,783
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,5153,979,334,645,3102,1404,1698,1072,407,665
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7380,5067,2734,2333,1119,240,879,1194,426,768
16,Onondaga County (Central)--Syracuse City PUMA,4233,2011,1164,847,1451,732,719,771,282,489
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,9584,4243,2052,2191,4251,2495,1756,1090,395,695
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,9388,3451,1231,2220,5257,2381,2876,680,323,357
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",15474,7288,3471,3817,6387,2213,4174,1799,1225,574
20,Monroe County (Central)--Rochester City (West) PUMA,2718,800,596,204,1504,800,704,414,158,256
21,"Chenango, Delaware & Broome (East) Counties PUMA",695,440,128,312,218,102,116,37,0,37
22,Dutchess County (North & East) PUMA,2792,1455,737,718,540,103,437,797,345,452
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,11967,5903,2768,3135,4832,3088,1744,1232,482,750
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,5239,2453,1051,1402,1869,1001,868,917,381,536
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,15622,7046,3432,3614,7732,2963,4769,844,440,404
26,Westchester County (Southeast) PUMA,13883,4749,2276,2473,6115,2972,3143,3019,2947,72
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,13806,3203,1798,1405,7086,4230,2856,3517,1943,1574
28,Westchester County (Northwest) PUMA,13846,3492,1237,2255,7023,4096,2927,3331,1699,1632
29,Monroe County (South) PUMA,6525,4648,2635,2013,1877,1076,801,0,0,0
30,Rockland County (North)--New City & Congers PUMA,6508,2353,843,1510,3545,1440,2105,610,352,258
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",16968,2016,893,1123,9357,5180,4177,5595,2520,3075
32,Orange County (Southeast) PUMA,3476,994,224,770,1261,461,800,1221,111,1110
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",24624,9134,4395,4739,12623,7766,4857,2867,1703,1164
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,8451,4351,1940,2411,3002,991,2011,1098,1041,57
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",7288,1854,735,1119,4128,2255,1873,1306,754,552
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,28549,13349,6657,6692,13589,8733,4856,1611,918,693
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,5689,3302,1624,1678,2104,788,1316,283,198,85
38,Westchester County (Southwest)--Yonkers City PUMA,19539,5660,2389,3271,10869,4803,6066,3010,1790,1220
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",6364,4562,1983,2579,493,282,211,1309,652,657
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,15480,4395,2646,1749,9042,4419,4623,2043,840,1203
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,25945,8972,4753,4219,13599,7435,6164,3374,2271,1103
42,Erie County (West Central)--Buffalo City (West) PUMA,3444,1308,564,744,1238,765,473,898,295,603
43,Fulton & Montgomery Counties PUMA,884,304,114,190,580,466,114,0,0,0
44,Westchester County (Central)--White Plains City PUMA,14415,6590,2696,3894,5386,2705,2681,2439,1751,688
45,St. Lawrence County PUMA,537,481,169,312,56,18,38,0,0,0
46,Saratoga County (South & Central) PUMA,4321,2685,1364,1321,654,212,442,982,882,100
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,4751,1918,837,1081,2025,937,1088,808,401,407
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3431,2620,1388,1232,428,147,281,383,0,383
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,98,0,0,0,98,98,0,0,0,0
50,Suffolk County (Central)--Islip Town (East) PUMA,2041,1414,814,600,402,88,314,225,225,0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",6607,1331,976,355,4713,1644,3069,563,349,214
52,Westchester County (Northeast) PUMA,6234,3358,1153,2205,2364,1364,1000,512,248,264
53,Chautauqua County PUMA,517,25,0,25,333,173,160,159,21,138
54,Erie County (West Central)--Buffalo City (East) PUMA,2741,691,397,294,1709,1293,416,341,341,0
55,Cayuga & Onondaga (South) Counties PUMA,880,513,282,231,231,109,122,136,46,90
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4358,443,150,293,2470,928,1542,1445,767,678
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,4203,1619,938,681,1891,1099,792,693,439,254
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",9385,7940,3626,4314,1309,338,971,136,136,0
59,NYC-Manhattan Community District 11--East Harlem PUMA,10534,3538,1483,2055,4613,1570,3043,2383,1846,537
60,Schenectady County--Schenectady City PUMA,1861,1200,663,537,352,244,108,309,0,309
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",596,234,180,54,289,95,194,73,0,73
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,1704,1146,672,474,378,163,215,180,53,127
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",16228,6671,2496,4175,8170,3501,4669,1387,733,654
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",3179,1323,549,774,1185,596,589,671,491,180
65,Onondaga County (North) PUMA,1343,400,201,199,777,193,584,166,105,61
66,Ulster County (East) PUMA,3398,1204,491,713,1668,624,1044,526,206,320
67,Oswego County PUMA,453,310,144,166,78,0,78,65,65,0
68,Niagara County (North & East) PUMA,449,264,150,114,185,37,148,0,0,0
69,Broome (Outer West) & Tioga Counties PUMA,291,169,82,87,35,35,0,87,0,87
