,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,1022460,567981,454479,983068,550013,433055,39392,17968,21424,410483,209237,201246,396162,202576,193586,14321,6661,7660,478736,266823,211913,460388,259492,200896,18348,7331,11017,133241,91921,41320,126518,87945,38573,6723,3976,2747
1,Monroe County (Central)--Rochester City (East) PUMA,1609,1209,400,1570,1170,400,39,39,0,616,507,109,577,468,109,39,39,0,906,702,204,906,702,204,0,0,0,87,0,87,87,0,87,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,10199,6343,3856,9845,6091,3754,354,252,102,2370,1080,1290,2370,1080,1290,0,0,0,5447,3574,1873,5345,3574,1771,102,0,102,2382,1689,693,2130,1437,693,252,252,0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,13544,8447,5097,12910,8282,4628,634,165,469,5498,3880,1618,5218,3880,1338,280,0,280,6055,3018,3037,5866,3018,2848,189,0,189,1991,1549,442,1826,1384,442,165,165,0
4,Ontario & Yates Counties PUMA,729,343,386,729,343,386,0,0,0,280,233,47,280,233,47,0,0,0,368,110,258,368,110,258,0,0,0,81,0,81,81,0,81,0,0,0
5,Albany County (Outside Albany City) PUMA,5000,3250,1750,4782,3150,1632,218,100,118,3824,2628,1196,3824,2628,1196,0,0,0,918,364,554,800,364,436,118,0,118,258,258,0,158,158,0,100,100,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",465,250,215,465,250,215,0,0,0,283,117,166,283,117,166,0,0,0,182,133,49,182,133,49,0,0,0,0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,22060,13668,8392,21048,12859,8189,1012,809,203,10699,6396,4303,9909,5664,4245,790,732,58,8298,5209,3089,8076,5132,2944,222,77,145,3063,2063,1000,3063,2063,1000,0,0,0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",7856,4643,3213,7558,4431,3127,298,212,86,3414,1148,2266,3328,1148,2180,86,0,86,1893,1661,232,1893,1661,232,0,0,0,2549,1834,715,2337,1622,715,212,212,0
9,Warren & Washington Counties PUMA,258,123,135,258,123,135,0,0,0,195,123,72,195,123,72,0,0,0,63,0,63,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,4970,3252,1718,4970,3252,1718,0,0,0,4260,2670,1590,4260,2670,1590,0,0,0,459,331,128,459,331,128,0,0,0,251,251,0,251,251,0,0,0,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",14841,8503,6338,13812,8317,5495,1029,186,843,12366,6724,5642,11362,6563,4799,1004,161,843,2389,1779,610,2364,1754,610,25,25,0,86,0,86,86,0,86,0,0,0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,1014,509,505,909,509,400,105,0,105,449,291,158,449,291,158,0,0,0,352,110,242,352,110,242,0,0,0,213,108,105,108,108,0,105,0,105
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,8388,4520,3868,8317,4520,3797,71,0,71,5103,2168,2935,5032,2168,2864,71,0,71,1335,1076,259,1335,1076,259,0,0,0,1950,1276,674,1950,1276,674,0,0,0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,3490,1658,1832,3397,1565,1832,93,93,0,782,334,448,782,334,448,0,0,0,2450,1324,1126,2357,1231,1126,93,93,0,258,0,258,258,0,258,0,0,0
