,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,862774,511759,351015,751888,442118,309770,110886,69641,41245,355964,188207,167757,335971,176980,158991,19993,11227,8766,393497,239850,153647,334055,204114,129941,59442,35736,23706,113313,83702,29611,81862,61024,20838,31451,22678,8773
1,Monroe County (Central)--Rochester City (East) PUMA,1269,981,288,1269,981,288,0,0,0,616,507,109,616,507,109,0,0,0,566,474,92,566,474,92,0,0,0,87,0,87,87,0,87,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,7921,5119,2802,6627,4463,2164,1294,656,638,1876,761,1115,1794,761,1033,82,0,82,4311,3065,1246,3556,2657,899,755,408,347,1734,1293,441,1277,1045,232,457,248,209
3,NYC-Manhattan Community District 10--Central Harlem PUMA,11090,7499,3591,8701,5966,2735,2389,1533,856,4278,3192,1086,4041,2955,1086,237,237,0,4880,2873,2007,3058,1742,1316,1822,1131,691,1932,1434,498,1602,1269,333,330,165,165
4,Ontario & Yates Counties PUMA,464,343,121,415,343,72,49,0,49,280,233,47,280,233,47,0,0,0,135,110,25,135,110,25,0,0,0,49,0,49,0,0,0,49,0,49
5,Albany County (Outside Albany City) PUMA,4389,3014,1375,4199,2948,1251,190,66,124,3491,2552,939,3425,2486,939,66,66,0,740,304,436,616,304,312,124,0,124,158,158,0,158,158,0,0,0,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",309,226,83,309,226,83,0,0,0,200,117,83,200,117,83,0,0,0,109,109,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,18569,11395,7174,15830,9281,6549,2739,2114,625,8642,4983,3659,7676,4279,3397,966,704,262,7455,4421,3034,6620,3700,2920,835,721,114,2472,1991,481,1534,1302,232,938,689,249
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",6575,3558,3017,5069,2636,2433,1506,922,584,3152,1009,2143,2568,1009,1559,584,0,584,1134,975,159,653,494,159,481,481,0,2289,1574,715,1848,1133,715,441,441,0
9,Warren & Washington Counties PUMA,195,132,63,186,123,63,9,9,0,132,132,0,123,123,0,9,9,0,63,0,63,63,0,63,0,0,0,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,3554,2367,1187,3232,2045,1187,322,322,0,2844,1785,1059,2622,1563,1059,222,222,0,459,331,128,459,331,128,0,0,0,251,251,0,151,151,0,100,100,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",13105,8503,4602,12833,8368,4465,272,135,137,10630,6724,3906,10383,6614,3769,247,110,137,2389,1779,610,2364,1754,610,25,25,0,86,0,86,86,0,86,0,0,0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,751,509,242,643,401,242,108,108,0,291,291,0,291,291,0,0,0,0,352,110,242,352,110,242,0,0,0,108,108,0,0,0,0,108,108,0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,8100,4460,3640,7256,3916,3340,844,544,300,5044,2090,2954,4956,2002,2954,88,88,0,1273,1187,86,1273,1187,86,0,0,0,1783,1183,600,1027,727,300,756,456,300
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,2845,1565,1280,2123,1251,872,722,314,408,458,334,124,389,334,55,69,0,69,2129,1231,898,1734,917,817,395,314,81,258,0,258,0,0,0,258,0,258
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,5477,2655,2822,4847,2195,2652,630,460,170,3736,2052,1684,3458,1774,1684,278,278,0,837,177,660,681,105,576,156,72,84,904,426,478,708,316,392,196,110,86
16,Onondaga County (Central)--Syracuse City PUMA,2025,1110,915,1238,611,627,787,499,288,701,395,306,570,264,306,131,131,0,872,505,367,637,316,321,235,189,46,452,210,242,31,31,0,421,179,242
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6762,3229,3533,6710,3229,3481,52,0,52,3227,1281,1946,3227,1281,1946,0,0,0,3183,1862,1321,3131,1862,1269,52,0,52,352,86,266,352,86,266,0,0,0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,6363,3375,2988,6119,3208,2911,244,167,77,2216,912,1304,2216,912,1304,0,0,0,3676,2349,1327,3432,2182,1250,244,167,77,471,114,357,471,114,357,0,0,0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",8408,4903,3505,7063,4250,2813,1345,653,692,4045,2457,1588,3739,2151,1588,306,306,0,3138,1221,1917,2446,1221,1225,692,0,692,1225,1225,0,878,878,0,347,347,0
20,Monroe County (Central)--Rochester City (West) PUMA,2173,1183,990,2173,1183,990,0,0,0,509,305,204,509,305,204,0,0,0,1250,720,530,1250,720,530,0,0,0,414,158,256,414,158,256,0,0,0
21,"Chenango, Delaware & Broome (East) Counties PUMA",383,230,153,378,225,153,5,5,0,128,128,0,128,128,0,0,0,0,218,102,116,213,97,116,5,5,0,37,0,37,37,0,37,0,0,0
22,Dutchess County (North & East) PUMA,1480,1001,479,1207,728,479,273,273,0,859,656,203,820,617,203,39,39,0,207,0,207,207,0,207,0,0,0,414,345,69,180,111,69,234,234,0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,8654,5241,3413,8131,5131,3000,523,110,413,4031,2234,1797,3961,2164,1797,70,70,0,3875,2525,1350,3597,2485,1112,278,40,238,748,482,266,573,482,91,175,0,175
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,3774,1854,1920,3231,1362,1869,543,492,51,1909,733,1176,1909,733,1176,0,0,0,1175,740,435,735,351,384,440,389,51,690,381,309,587,278,309,103,103,0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,12035,5582,6453,10978,5242,5736,1057,340,717,5410,2849,2561,5320,2849,2471,90,0,90,5932,2293,3639,5204,2192,3012,728,101,627,693,440,253,454,201,253,239,239,0
26,Westchester County (Southeast) PUMA,10950,7448,3502,10351,6849,3502,599,599,0,3738,1981,1757,3738,1981,1757,0,0,0,4265,2520,1745,4209,2464,1745,56,56,0,2947,2947,0,2404,2404,0,543,543,0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,10478,7045,3433,9253,6204,3049,1225,841,384,2553,1422,1131,2553,1422,1131,0,0,0,5509,3828,1681,4968,3461,1507,541,367,174,2416,1795,621,1732,1321,411,684,474,210
28,Westchester County (Northwest) PUMA,10876,6567,4309,7770,5159,2611,3106,1408,1698,2862,1237,1625,2526,1125,1401,336,112,224,5633,3631,2002,4409,3199,1210,1224,432,792,2381,1699,682,835,835,0,1546,864,682
29,Monroe County (South) PUMA,4078,2540,1538,3854,2369,1485,224,171,53,2836,1890,946,2836,1890,946,0,0,0,1242,650,592,1018,479,539,224,171,53,0,0,0,0,0,0,0,0,0
30,Rockland County (North)--New City & Congers PUMA,4561,2372,2189,3619,1894,1725,942,478,464,1731,793,938,1588,735,853,143,58,85,2478,1227,1251,1969,1097,872,509,130,379,352,352,0,62,62,0,290,290,0
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",9744,5594,4150,7054,4186,2868,2690,1408,1282,1526,514,1012,1143,439,704,383,75,308,6532,4040,2492,4637,3072,1565,1895,968,927,1686,1040,646,1274,675,599,412,365,47
