,puma,BABS_Working_Poor_Total,BABS_Working_Poor_M,BABS_Working_Poor_F,HS_Working_Poor_Total,HS_Working_Poor_M,HS_Working_Poor_F,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
0,Total Geo,5.616579204638671,5.965240400197655,5.2254153328922195,15.106087212863123,14.899312070043777,15.428872675678665,27.755862081138087,27.09373730615756,29.627503292695284
1,Monroe County (Central)--Rochester City (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,0.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,4.371002132196162,0.0,7.354260089686099,17.51333797262816,13.3115823817292,27.84911717495987,26.35524798154556,19.180201082753285,47.3922902494331
3,NYC-Manhattan Community District 10--Central Harlem PUMA,5.539971949509116,7.424812030075188,0.0,37.3360655737705,39.366515837104075,34.42949676133533,17.080745341614907,11.506276150627615,33.13253012048193
4,Ontario & Yates Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,100.0,#DIV/0!,100.0
5,Albany County (Outside Albany City) PUMA,1.890575766256087,2.586206896551724,0.0,16.756756756756758,0.0,28.440366972477065,0.0,0.0,#DIV/0!
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,11.177968062948391,14.1280353200883,7.160426345996173,11.200536552649229,16.30852748247003,3.7574159525379036,37.944983818770226,34.60572576594676,51.767151767151766
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",18.527918781725887,0.0,27.251516565562294,42.41622574955908,49.333333333333336,0.0,19.26605504587156,28.017789072426936,0.0
9,Warren & Washington Counties PUMA,6.8181818181818175,6.8181818181818175,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
10,Erie County (North Central) PUMA,7.805907172995781,12.436974789915967,0.0,0.0,0.0,0.0,39.8406374501992,39.8406374501992,#DIV/0!
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",2.323612417685795,1.635930993456276,3.5074244751664105,1.0464629552113855,1.405283867341203,0.0,0.0,#DIV/0!,0.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0.0,0.0,#DIV/0!,0.0,0.0,0.0,100.0,100.0,#DIV/0!
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,1.7446471054718478,4.2105263157894735,0.0,0.0,0.0,0.0,42.400448681996636,38.54606931530009,50.0
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,15.065502183406112,0.0,55.64516129032258,18.5533114138093,25.507717303005688,9.020044543429844,100.0,#DIV/0!,100.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7.441113490364026,13.54775828460039,0.0,18.63799283154122,40.67796610169492,12.727272727272727,21.68141592920354,25.821596244131456,17.99163179916318
16,Onondaga County (Central)--Syracuse City PUMA,18.687589158345222,33.164556962025316,0.0,26.949541284403672,37.42574257425743,12.534059945504087,93.14159292035397,85.23809523809524,100.0
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.0,0.0,0.0,1.6336789192585612,0.0,3.936411809235428,0.0,0.0,0.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,0.0,0.0,6.637649619151251,7.109408258833547,5.802562170308968,0.0,0.0,0.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",7.564894932014833,12.454212454212454,0.0,22.052262587635436,0.0,36.098069900886806,28.3265306122449,28.3265306122449,#DIV/0!
20,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,"Chenango, Delaware & Broome (East) Counties PUMA",0.0,0.0,#DIV/0!,2.293577981651376,4.901960784313726,0.0,0.0,#DIV/0!,0.0
22,Dutchess County (North & East) PUMA,4.540162980209546,5.945121951219512,0.0,0.0,#DIV/0!,0.0,56.52173913043478,67.82608695652173,0.0
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1.736541801041925,3.133393017009848,0.0,7.174193548387096,1.5841584158415842,17.62962962962963,23.39572192513369,0.0,65.78947368421053
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,0.0,0.0,37.4468085106383,52.567567567567565,11.724137931034482,14.927536231884059,27.034120734908136,0.0
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1.6635859519408502,0.0,3.5142522452167126,12.27242076871207,4.404709986916703,17.230008244023086,34.48773448773449,54.31818181818182,0.0
26,Westchester County (Southeast) PUMA,0.0,0.0,0.0,1.3130128956623681,2.2222222222222223,0.0,18.425517475398713,18.425517475398713,#DIV/0!
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0,9.820294064258487,9.587251828631139,10.350981558596075,28.311258278145697,26.4066852367688,33.81642512077295
28,Westchester County (Northwest) PUMA,11.740041928721174,9.054163298302344,13.784615384615384,21.729096396236464,11.897548884604792,39.56043956043956,64.93070138597228,50.853443201883465,100.0
29,Monroe County (South) PUMA,0.0,0.0,0.0,18.035426731078903,26.30769230769231,8.952702702702704,#DIV/0!,#DIV/0!,#DIV/0!
30,Rockland County (North)--New City & Congers PUMA,8.261120739456961,7.3139974779319035,9.061833688699359,20.540758676351896,10.594947025264874,30.29576338928857,82.38636363636364,82.38636363636364,#DIV/0!
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",25.09829619921363,14.591439688715955,30.434782608695656,29.011022657685242,23.96039603960396,37.19903691813804,24.436536180308423,35.09615384615385,7.275541795665634
32,Orange County (Southeast) PUMA,0.0,0.0,0.0,3.5161744022503516,5.42299349240781,0.0,6.50994575045208,32.432432432432435,0.0
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",7.893071812717495,13.49378042184965,0.0,4.5178393902573735,4.028103044496487,5.702416918429003,4.555198285101822,5.931612002791347,0.0
