,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,305528,165525,140003,256473,148299,108174,49055,17226,31829,176742,89023,87719,153492,81547,71945,23250,7476,15774,114435,67217,47218,92264,58917,33347,22171,8300,13871,14351,9285,5066,10717,7835,2882,3634,1450,2184
1,Monroe County (Central)--Rochester City (East) PUMA,455,138,317,167,70,97,288,68,220,0,0,0,0,0,0,0,0,0,358,138,220,70,70,0,288,68,220,97,0,97,97,0,97,0,0,0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,1806,971,835,1349,776,573,457,195,262,999,542,457,717,347,370,282,195,87,616,238,378,441,238,203,175,0,175,191,191,0,191,191,0,0,0,0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,1368,674,694,961,575,386,407,99,308,1273,579,694,866,480,386,407,99,308,95,95,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ontario & Yates Counties PUMA,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Albany County (Outside Albany City) PUMA,1128,766,362,1128,766,362,0,0,0,559,459,100,559,459,100,0,0,0,501,239,262,501,239,262,0,0,0,68,68,0,68,68,0,0,0,0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",542,382,160,482,382,100,60,0,60,125,125,0,125,125,0,0,0,0,417,257,160,357,257,100,60,0,60,0,0,0,0,0,0,0,0,0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,12571,7924,4647,10022,6599,3423,2549,1325,1224,6853,3770,3083,5936,3340,2596,917,430,487,4970,3564,1406,3665,2912,753,1305,652,653,748,590,158,421,347,74,327,243,84
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1600,1023,577,1532,1023,509,68,0,68,903,573,330,903,573,330,0,0,0,697,450,247,629,450,179,68,0,68,0,0,0,0,0,0,0,0,0
9,Warren & Washington Counties PUMA,124,87,37,87,87,0,37,0,37,0,0,0,0,0,0,0,0,0,124,87,37,87,87,0,37,0,37,0,0,0,0,0,0,0,0,0
10,Erie County (North Central) PUMA,1875,957,918,1663,957,706,212,0,212,1114,573,541,974,573,401,140,0,140,611,234,377,539,234,305,72,0,72,150,150,0,150,150,0,0,0,0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",5239,1768,3471,4951,1683,3268,288,85,203,4843,1575,3268,4843,1575,3268,0,0,0,193,193,0,108,108,0,85,85,0,203,0,203,0,0,0,203,0,203
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,669,144,525,233,144,89,436,0,436,232,69,163,69,69,0,163,0,163,437,75,362,164,75,89,273,0,273,0,0,0,0,0,0,0,0,0
