,puma,HSINC_UnEmp_Total,HSINC_FT_Work_Total,HSINC_Poverty_Total,HSINC_Working_Poor_Total,HSINC_Rent_Burden_Total,HSINC_Home_Ownership_Total,HSINC_Avg_PINCP_mf_t
0,Total Geo,4.973896535358329,82.2983157350514,37.17369090048102,26.690316858824474,33.23299067971121,36.65364681516335,36367.73946730455
1,Monroe County (Central)--Rochester City (East) PUMA,0.0,100.0,0.0,0.0,100.0,62.69230769230769,30705.434782608696
2,NYC-Brooklyn Community District 4--Bushwick PUMA,9.79401476875243,82.93838862559242,34.314320388349515,23.740259740259738,17.564102564102562,2.6217228464419478,24833.14285714286
3,NYC-Manhattan Community District 10--Central Harlem PUMA,8.287292817679557,90.4071127749181,26.606538895152198,17.080745341614907,7.551487414187644,4.321683577602405,63647.5569358178
4,Ontario & Yates Counties PUMA,0.0,60.49382716049383,60.49382716049383,100.0,#DIV/0!,39.50617283950617,23000.0
5,Albany County (Outside Albany City) PUMA,30.67484662576687,69.32515337423312,44.87804878048781,0.0,#DIV/0!,100.0,67983.18584070797
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",#DIV/0!,#DIV/0!,36.434108527131784,#DIV/0!,#DIV/0!,100.0,#DIV/0!
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,0.9191176470588236,70.785417176413,47.3464952001449,35.94884203249222,49.182430266110934,43.29090909090909,40045.07431731766
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",8.316987053746567,97.94608472400513,32.646536412078156,19.26605504587156,24.965453707968678,15.346358792184725,25354.914809960683
9,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
10,Erie County (North Central) PUMA,0.0,100.0,19.801980198019802,24.93765586034913,28.169014084507044,29.7029702970297,35711.97007481297
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,29.757785467128027,70.24221453287197,0.0,0.0,0.0,44000.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,49.29577464788733,100.0,40.298507462686565,100.0,#DIV/0!,100.0,28900.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,91.845703125,38.47936949466852,40.19138755980861,#DIV/0!,100.0,34479.638490164805
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,0.0,66.32390745501286,81.34328358208955,100.0,24.670433145009415,0.0,27737.20930232558
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,100.0,33.835845896147404,21.68141592920354,15.080789946140035,6.700167504187604,26642.256637168142
16,Onondaga County (Central)--Syracuse City PUMA,0.0,79.2982456140351,86.83886838868389,93.14159292035397,10.992366412213741,15.006150061500614,23104.646017699117
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,6.701940035273369,74.81044650379107,10.29641185647426,0.0,9.158415841584159,78.99115964638585,43606.53153153153
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.0,69.26470588235294,30.73529411764706,0.0,0.0,87.5,42987.261146496814
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",6.599713055954089,100.0,29.797441364605543,26.65130568356375,23.40085287846482,0.0,33716.589861751156
20,Monroe County (Central)--Rochester City (West) PUMA,0.0,100.0,0.0,0.0,#DIV/0!,100.0,46869.08212560386
21,"Chenango, Delaware & Broome (East) Counties PUMA",#DIV/0!,100.0,61.05263157894737,0.0,#DIV/0!,100.0,4300.0
22,Dutchess County (North & East) PUMA,0.0,75.82417582417582,62.5,56.52173913043478,0.0,31.038798498122656,28324.87922705314
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,0.0,73.39261285909713,26.462237365133447,16.309412861136998,30.36565977742448,28.563316297558206,37414.72506989748
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,0.0,73.29246935201401,45.20021941854087,17.084826762246117,15.435139573070607,33.18705430608887,33484.68339307049
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.0,88.84615384615384,38.382687927107064,34.48773448773449,46.73913043478261,47.60820045558087,51997.113997114
26,Westchester County (Southeast) PUMA,6.556847545219638,97.71718452758402,17.216233354470514,17.61842959117456,0.0,19.340519974635384,32067.878001297857
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,3.4438226431338785,76.40733712839975,45.5217514927495,28.311258278145697,33.82488479262673,38.29968723343759,28180.960264900663
