,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,271850.0,119200.0,152650.0,189663.0,87241.0,102422.0,82187.0,31959.0,50228.0
1,Monroe County (Central)--Rochester City (East) PUMA,588.0,75.0,513.0,481.0,75.0,406.0,107.0,0.0,107.0
2,NYC-Brooklyn Community District 4--Bushwick PUMA,6260.0,2660.0,3600.0,4033.0,1679.0,2354.0,2227.0,981.0,1246.0
3,NYC-Manhattan Community District 10--Central Harlem PUMA,1101.0,597.0,504.0,821.0,317.0,504.0,280.0,280.0,0.0
4,Ontario & Yates Counties PUMA,57.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,57.0
5,Albany County (Outside Albany City) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,8785.0,4338.0,4447.0,7004.0,3609.0,3395.0,1781.0,729.0,1052.0
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",1119.0,451.0,668.0,1119.0,451.0,668.0,0.0,0.0,0.0
9,Warren & Washington Counties PUMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Erie County (North Central) PUMA,242.0,242.0,0.0,72.0,72.0,0.0,170.0,170.0,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",724.0,0.0,724.0,571.0,0.0,571.0,153.0,0.0,153.0
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,71.0,0.0,71.0,71.0,0.0,71.0,0.0,0.0,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,566.0,284.0,282.0,566.0,284.0,282.0,0.0,0.0,0.0
