,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
0,Total Geo,196714,119998,76716,28626.55540530923,30477.522458707645,25731.30090202826
1,Monroe County (Central)--Rochester City (East) PUMA,498,0,498,36650.60240963855,0.0,36650.60240963855
2,NYC-Brooklyn Community District 4--Bushwick PUMA,4280,2669,1611,24211.79906542056,26118.35893593106,21053.134698944756
3,NYC-Manhattan Community District 10--Central Harlem PUMA,305,0,305,14100.0,0.0,14100.0
4,Ontario & Yates Counties PUMA,168,168,0,32000.0,32000.0,0.0
5,Albany County (Outside Albany City) PUMA,85,0,85,23800.0,0.0,23800.0
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,6162,4266,1896,29300.535540408957,31000.328176277544,25476.00210970464
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",599,451,148,45342.237061769614,46110.86474501109,43000.0
9,Warren & Washington Counties PUMA,88,88,0,45000.0,45000.0,0.0
10,Erie County (North Central) PUMA,93,93,0,20000.0,20000.0,0.0
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",478,0,478,15770.92050209205,0.0,15770.92050209205
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,657,0,657,24148.40182648402,0.0,24148.40182648402
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,82,82,0,32000.0,32000.0,0.0
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,153,0,153,19813.725490196077,0.0,19813.725490196077
16,Onondaga County (Central)--Syracuse City PUMA,850,754,96,32128.352941176472,33292.307692307695,22986.458333333332
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,758,667,91,21090.131926121372,23148.905547226386,6000.0
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,569,481,88,39606.32688927944,44656.96465696466,12000.0
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",1374,957,417,23518.195050946142,28537.095088819227,12000.0
20,Monroe County (Central)--Rochester City (West) PUMA,535,169,366,19806.542056074766,10606.508875739644,24054.64480874317
21,"Chenango, Delaware & Broome (East) Counties PUMA",79,41,38,15341.772151898735,24000.0,6000.0
22,Dutchess County (North & East) PUMA,429,341,88,23629.83682983683,22580.645161290322,27695.454545454544
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,4124,3065,1059,25844.966052376334,28416.42414355628,18402.54957507082
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,832,224,608,19760.576923076922,21800.0,19009.21052631579
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,931,0,931,32963.480128893665,0.0,32963.480128893665
26,Westchester County (Southeast) PUMA,1429,1041,388,19279.63610916725,19756.580211335255,18000.0
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,5689,3565,2124,30755.405167867815,36907.994389901825,20428.67231638418
28,Westchester County (Northwest) PUMA,1542,889,653,24444.876783398184,23498.312710911137,25733.53751914242
29,Monroe County (South) PUMA,468,159,309,24641.452991452992,14762.264150943396,29724.91909385113
30,Rockland County (North)--New City & Congers PUMA,636,33,603,30472.64150943396,10000.0,31593.034825870647
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",4137,2321,1816,19821.254532269762,19249.763033175357,20551.668502202643
32,Orange County (Southeast) PUMA,588,588,0,33276.87074829932,33276.87074829932,0.0
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2523,1905,618,32785.81054300436,33113.700787401576,31775.08090614887
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,195,135,60,55123.07692307692,75000.0,10400.0
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",1198,785,413,17946.160267111853,20222.038216560508,13620.338983050848
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,1561,1031,530,30800.896860986548,34844.03491755577,22935.849056603773
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,319,235,84,26784.952978056426,34000.0,6600.0
38,Westchester County (Southwest)--Yonkers City PUMA,3672,2779,893,27368.65468409586,29236.092119467434,21557.222844344906
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",393,0,393,10000.0,0.0,10000.0
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,817,471,346,25964.871481028153,26213.163481953292,25626.878612716762
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,3070,2252,818,38768.5342019544,37407.37122557726,42515.8924205379
42,Erie County (West Central)--Buffalo City (West) PUMA,1179,924,255,20988.80407124682,23784.415584415583,10858.823529411764
43,Fulton & Montgomery Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
44,Westchester County (Central)--White Plains City PUMA,2509,1954,555,29102.43124750897,28051.68884339816,32801.801801801805
45,St. Lawrence County PUMA,17,17,0,69000.0,69000.0,0.0
46,Saratoga County (South & Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
47,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,159,159,0,40125.78616352201,40125.78616352201,0.0
48,Suffolk County (North Central)--Brookhaven Town (North) PUMA,557,557,0,28000.0,28000.0,0.0
49,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,384,0,384,6554.6875,0.0,6554.6875
50,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
51,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",119,119,0,22000.0,22000.0,0.0
52,Westchester County (Northeast) PUMA,224,16,208,23600.0,60000.0,20800.0
53,Chautauqua County PUMA,0,0,0,#DIV/0!,0.0,0.0
54,Erie County (West Central)--Buffalo City (East) PUMA,195,45,150,15158.97435897436,20000.0,13706.666666666666
55,Cayuga & Onondaga (South) Counties PUMA,126,126,0,32000.0,32000.0,0.0
56,Oneida County (Central)--Greater Utica & Rome Cities PUMA,574,335,239,26826.829268292684,24398.20895522388,30230.962343096235
57,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,108,0,108,12000.0,0.0,12000.0
58,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,#DIV/0!,0.0,0.0
59,NYC-Manhattan Community District 11--East Harlem PUMA,4673,3009,1664,32605.563877594694,38625.39049518112,21719.951923076922
60,Schenectady County--Schenectady City PUMA,28,28,0,35500.0,35500.0,0.0
61,"Clinton, Franklin, Essex & Hamilton Counties PUMA",5,5,0,60000.0,60000.0,0.0
62,Onondaga County (Central)--Syracuse City (Outer) PUMA,328,245,83,29995.121951219513,32568.163265306124,22400.0
63,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1776,832,944,30956.813063063062,31118.028846153848,30814.724576271186
64,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",323,258,65,20715.170278637772,24170.542635658916,7000.0
65,Onondaga County (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
66,Ulster County (East) PUMA,41,0,41,66000.0,0.0,66000.0
67,Oswego County PUMA,0,0,0,#DIV/0!,0.0,0.0
68,Niagara County (North & East) PUMA,0,0,0,#DIV/0!,0.0,0.0
69,Broome (Outer West) & Tioga Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
70,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",3760,2189,1571,26609.122340425532,31148.05847418913,20284.659452577976
71,Suffolk County (Southwest)--Islip Town (South) PUMA,259,259,0,47500.0,47500.0,0.0
72,Erie County (Central) PUMA,501,142,359,23202.395209580838,25000.0,22491.364902506964
73,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1387,750,637,24746.359048305694,26068.533333333333,23189.638932496076
74,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0
75,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,414,208,206,56371.9806763285,30000.0,83000.0
76,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",895,401,494,37343.84357541899,36605.336658354114,37943.31983805668
77,Cattaraugus & Allegany Counties PUMA,66,38,28,31515.151515151516,40000.0,20000.0
78,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12164,7040,5124,30115.56231502795,31053.28125,28827.205308352848
79,Jefferson & Lewis Counties PUMA,42,10,32,26209.52380952381,19200.0,28400.0
80,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",54,0,54,28800.0,0.0,28800.0
81,NYC-Queens Community District 1--Astoria & Long Island City PUMA,1145,553,592,32176.4192139738,38655.15370705244,26124.493243243243
82,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0
83,Dutchess County (Southwest) PUMA,0,0,0,#DIV/0!,0.0,0.0
84,Erie County (Northwest) PUMA,0,0,0,#DIV/0!,0.0,0.0
85,Genesee & Orleans Counties PUMA,156,74,82,7897.4358974358975,10000.0,6000.0
86,Erie County (Northeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
87,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2655,1697,958,34430.80979284369,36003.94814378315,31644.154488517746
88,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,400,93,307,16937.25,2600.0,21280.456026058633
89,Nassau County (West Central)--Hempstead Town (West Central) PUMA,267,65,202,35934.831460674155,55000.0,29800.0
90,Suffolk County (South Central)--Brookhaven Town (South) PUMA,1952,1432,520,39542.00819672131,42219.27374301676,32169.23076923077
91,Orange County (Northeast)--Greater Newburgh City PUMA,1349,919,430,28248.03558191253,31335.799782372145,21648.837209302324
92,Sullivan & Ulster (West) Counties PUMA,28,0,28,30000.0,0.0,30000.0
93,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",2248,1590,658,42712.010676156584,44627.67295597484,38082.97872340425
94,Wayne & Seneca Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
95,Albany County (East Central)--Albany City PUMA,472,80,392,21531.35593220339,23400.0,21150.0
96,Nassau County (Northwest)--North Hempstead Town (North) PUMA,544,179,365,56139.705882352944,22659.217877094972,72558.90410958904
97,Rensselaer County--Troy City PUMA,301,301,0,30073.08970099668,30073.08970099668,0.0
98,Tompkins County PUMA,0,0,0,#DIV/0!,0.0,0.0
99,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1133,460,673,25956.222418358342,38029.13043478261,17704.309063893015
100,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,10270,7183,3087,28241.90847127556,32034.456355283306,19417.20116618076
101,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,9916,5805,4111,31255.375151270673,25979.19035314384,38705.69204573097
102,Columbia & Greene Counties PUMA,249,249,0,18708.433734939757,18708.433734939757,0.0
103,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,637,0,637,48787.284144427,0.0,48787.284144427
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,1138,826,312,42316.60808435852,50042.73607748184,21862.17948717949
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",5000,2869,2131,22194.76,23855.071453468106,19959.455654622245
