,puma,Total_Population,BABS_mf_t,BABS_m,BABS_f,HS_mf_t,HS_m,HS_f,HSINC_mf_t,HSINC_m,HSINC_f
0,Total Geo,7475284,3049267,1370305,1678962,3855771,1992903,1862868,570246,325162,245084
1,Monroe County (Central)--Rochester City (East) PUMA,54591,19911,9415,10496,27537,14223,13314,7143,3579,3564
2,NYC-Brooklyn Community District 4--Bushwick PUMA,50169,22142,11377,10765,22157,12191,9966,5870,1789,4081
3,NYC-Manhattan Community District 10--Central Harlem PUMA,60897,28975,14396,14579,24250,11185,13065,7672,3381,4291
4,Ontario & Yates Counties PUMA,65411,24341,10818,13523,36496,18330,18166,4574,3013,1561
5,Albany County (Outside Albany City) PUMA,91705,39902,18296,21606,47586,24006,23580,4217,2643,1574
6,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",51993,14469,6395,8074,33115,16722,16393,4409,2889,1520
7,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,31833,12171,5925,6246,17591,8802,8789,2071,1321,750
8,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",37791,22036,10946,11090,14486,8071,6415,1269,857,412
9,Warren & Washington Counties PUMA,65578,16859,6980,9879,43285,23110,20175,5434,3401,2033
10,Erie County (North Central) PUMA,49451,30973,14040,16933,17494,9031,8463,984,343,641
11,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",68101,54080,31232,22848,11901,7112,4789,2120,1687,433
12,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,53576,26970,12171,14799,24775,13842,10933,1831,1411,420
13,Nassau County (Central)--Hempstead Town (Northeast) PUMA,45214,18376,8206,10170,25351,13071,12280,1487,1371,116
14,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,46702,6481,2897,3584,33813,14739,19074,6408,3288,3120
15,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,65795,45755,21179,24576,14563,6982,7581,5477,3082,2395
16,Onondaga County (Central)--Syracuse City PUMA,55436,14916,6806,8110,33943,14772,19171,6577,3617,2960
17,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,39846,16446,7649,8797,21422,11190,10232,1978,791,1187
18,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,37288,20937,10090,10847,15479,8733,6746,872,798,74
19,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",51404,27258,14793,12465,17696,9406,8290,6450,3520,2930
20,Monroe County (Central)--Rochester City (West) PUMA,47061,7517,3145,4372,30333,14625,15708,9211,4549,4662
21,"Chenango, Delaware & Broome (East) Counties PUMA",52261,11437,4351,7086,36021,19084,16937,4803,2998,1805
22,Dutchess County (North & East) PUMA,56515,20381,8616,11765,33503,18168,15335,2631,1941,690
23,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,35801,19384,9203,10181,14750,8336,6414,1667,749,918
24,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,69204,44119,21087,23032,20036,10086,9950,5049,3024,2025
25,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,55350,19548,7190,12358,32511,15148,17363,3291,1658,1633
26,Westchester County (Southeast) PUMA,34179,26237,12470,13767,7054,4235,2819,888,595,293
27,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,34623,11778,3870,7908,19260,9349,9911,3585,2540,1045
28,Westchester County (Northwest) PUMA,53006,27881,11632,16249,21222,12068,9154,3903,2974,929
29,Monroe County (South) PUMA,73310,42648,20126,22522,28894,15030,13864,1768,1201,567
30,Rockland County (North)--New City & Congers PUMA,39096,21184,8186,12998,17001,9763,7238,911,631,280
31,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",49735,5088,1859,3229,27052,12756,14296,17595,10661,6934
32,Orange County (Southeast) PUMA,52870,22147,9932,12215,28044,15259,12785,2679,1472,1207
33,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",62148,14537,4804,9733,40943,21161,19782,6668,3238,3430
34,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,41258,26284,12265,14019,14316,6885,7431,658,448,210
35,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",29867,7309,3317,3992,18472,9419,9053,4086,2437,1649
36,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,34725,23120,11555,11565,10386,6942,3444,1219,1087,132
37,Suffolk County (Northwest)--Huntington Town (South) PUMA,44450,22404,11301,11103,21444,10655,10789,602,467,135
38,Westchester County (Southwest)--Yonkers City PUMA,62352,24216,10045,14171,29748,15262,14486,8388,5051,3337
39,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",67233,59227,28944,30283,6404,3708,2696,1602,1057,545
40,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,38303,19509,8748,10761,16962,10315,6647,1832,995,837
41,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,29581,11358,6373,4985,16280,8526,7754,1943,1000,943
