,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_Ownership_BABS,Home_Ownership_HS
0,Total Geo,1.2032174871726196,0.8085091922384203,0.9979265576450057,0.9921142749958013,1.1251532197499345,1.353112931623103,1.1016053842155837,1.8381948234541776,0.7909395604512912,0.7373313673508913,1.0184505247578965,0.894661864867978,1.0342875450342948,0.6948276370568719
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2.2335354875390885,#DIV/0!,0.832547901828549,0.8447927799548747,1.7944070834608912,3.1088432873700826,0.6578608609773027,2.480532498836282,0.9643054935326647,1.1194197359507094,0.6046822398684244,inf,0.419901505212323,0.2848222532747747
2,Ulster County (East) PUMA,inf,0.3810382584052557,0.8657033574160647,1.0601524715140587,inf,3.068688118811881,inf,inf,0.1683526568422787,0.34787437271897814,inf,inf,0.9149404393425965,7.680693069306931
3,Albany County (East Central)--Albany City PUMA,#DIV/0!,#DIV/0!,1.3169825343738386,1.2933058948486458,0.58797599563557,inf,inf,#DIV/0!,0.7363640565645283,0.6017869086796758,0.9236109099686216,inf,0.7081963414104254,0.41497460307998857
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,1.0,inf,#DIV/0!,1.0,#DIV/0!,#DIV/0!,0.7339448817121851,#DIV/0!,#DIV/0!,#DIV/0!,0.6116071428571429,inf
5,Ontario & Yates Counties PUMA,#DIV/0!,#DIV/0!,0.32786885245901637,#DIV/0!,inf,#DIV/0!,#DIV/0!,#DIV/0!,0.6617677328130873,#DIV/0!,#DIV/0!,#DIV/0!,0.4570132396260246,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,1.0104535438662448,0.5410036719706243,inf,inf,inf,inf,0.6680124497593675,0.8099903459007849,#DIV/0!,inf,0.6633328170291859,0.9931690453597115
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,inf,inf,1.5219971697983357,0.7949767695373042,inf,5.761701623922115,inf,inf,0.9526055250557753,0.7567085777502497,0.2765763161064932,inf,0.8410430041846773,0.4668475482075245
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",inf,inf,1.0,1.3019390581717452,#DIV/0!,4.443661971830986,#DIV/0!,5.013888888888888,1.3648742643012564,0.4453384906801649,#DIV/0!,#DIV/0!,0.6810477657935285,1.2088122605363985
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,inf,1.03815366289458,0.8554491625782439,0.0,2.470519801304621,0.0,4.958599961217762,1.1894638884836326,1.0073525560193224,#DIV/0!,0.0,1.4371214648992425,0.7014717361847531
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",inf,inf,0.6940816893581551,0.8604960677555958,inf,0.7389195210470209,inf,0.5431568485446169,0.8830621149011652,1.4875728513029947,inf,0.42199040764808987,inf,inf
11,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,1.0,1.0,inf,inf,inf,#DIV/0!,0.6834114814345458,1.012035010940919,#DIV/0!,#DIV/0!,0.4645799011532125,1.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,inf,#DIV/0!,1.0141740807441633,1.3704177323103155,0.9362593984732188,1.9464398655171267,#DIV/0!,inf,0.2956905140544621,1.3241524105754277,inf,0.4768170704601022,0.38355474309204246,0.6911529816497184
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,inf,#DIV/0!,1.0601444174024983,1.0565340130985372,0.09151163322210541,0.10167837902803897,#DIV/0!,0.0,0.9655717120259067,1.1184041133463818,#DIV/0!,0.14954684972249688,1.1352295409181636,0.4543336899531842
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,#DIV/0!,0.6460439287232347,0.46842709529276694,inf,0.3419964806253701,inf,#DIV/0!,2.3807612436625942,0.7784564395084297,1.2423579507651363,#DIV/0!,0.9694252931619398,0.5315729047072331
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,#DIV/0!,inf,1.3254261500410303,1.1938893269594073,0.830385551740548,inf,inf,inf,1.0527198460345826,0.5443114798275822,inf,inf,1.0403659931755553,0.841014465875371
16,Monroe County (Central)--Rochester City (East) PUMA,inf,#DIV/0!,inf,0.639344262295082,inf,inf,#DIV/0!,#DIV/0!,#DIV/0!,0.6029914529914531,#DIV/0!,#DIV/0!,1.2810706781785757,0.3558951965065502
17,Westchester County (Northwest) PUMA,0.0,0.0,0.820754716981132,0.7746742793070759,inf,4.052276275636931,#DIV/0!,inf,0.7832768260510508,0.6472220736116575,inf,#DIV/0!,0.8968939348189304,0.33904619970193733
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,#DIV/0!,#DIV/0!,1.3269329147773514,#DIV/0!,inf,#DIV/0!,#DIV/0!,#DIV/0!,0.9830547795768523,#DIV/0!,inf,#DIV/0!,0.7577444554188741,#DIV/0!
19,Onondaga County (Central)--Syracuse City PUMA,inf,inf,1.0131951165041317,inf,3.9376459628121854,1.0321144700024745,inf,#DIV/0!,0.4958357545036925,#DIV/0!,inf,#DIV/0!,1.8213675588067813,0.26160648489314664
20,Westchester County (Northeast) PUMA,0.24905901116427437,inf,0.8524681087077094,0.6720554272517321,inf,inf,#DIV/0!,inf,0.5652489258690091,1.3042017893910882,#DIV/0!,#DIV/0!,1.8574181117533721,0.6263392857142858
21,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,1.755,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,2.85665117879883,#DIV/0!,#DIV/0!,#DIV/0!,0.46875,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,#DIV/0!,inf,1.2598995129651376,0.7637130801687764,inf,2.6021928043531233,inf,inf,0.3841138613861386,0.6486891994366808,#DIV/0!,#DIV/0!,0.36394557823129253,0.19329164297896534
