,puma,Unemployment_BABS,Unemployment_HS,FT_Work_BABS,FT_Work_HS,Poverty_BABS,Poverty_HS,Working_Poor_BABS,Working_Poor_HS,Income_level_BABS,Income_level_HS,Rent_Burden_BABS,Rent_Burden_HS,Home_Ownership_BABS,Home_Ownership_HS
0,Total Geo,1.104880721084975,1.2922866322563402,1.0033166360991697,0.9802703521828375,2.087969999115104,1.3531425107551895,1.6065265341084425,2.2911044698015006,0.9151154451520852,0.8629751371681177,1.798324207250976,1.1185505204579502,0.7486961762667442,0.5489063114719374
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",0.5087698241039169,#DIV/0!,1.058118118118118,0.8733539094650207,1.564330061246749,4.015538465576524,0.0,inf,0.8032932693120665,0.8929530970814861,1.3635876766223782,inf,0.7370401250104875,0.5242771766337826
2,Ulster County (East) PUMA,0.0,0.0,0.4585944382897535,1.3476988944029278,6.417906126732531,0.0,6.774575757575756,0.0,0.5456724810313793,0.5656202250401341,24.91304347826087,0.0,1.1059182588846197,0.593284282455425
3,Albany County (East Central)--Albany City PUMA,0.0,#DIV/0!,1.034994389013335,2.539404553415061,3.2447840937939945,0.23850885268649347,0.0,#DIV/0!,0.8775600669400626,1.071592820141314,3.880304314405661,0.3337476823077618,0.33023395597587724,0.13725803504434
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,1.1535087719298247,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.3133616289793018,0.0,#DIV/0!,#DIV/0!,0.9733036102653329,#DIV/0!
5,Ontario & Yates Counties PUMA,#DIV/0!,26.957073026218342,0.11674856153980176,0.9591772492788664,17.50952511510499,0.0,0.0,0.0,0.37950156443864463,0.5849908039325192,0.0,0.0,0.7998908641799019,1.0277841310031275
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0.0,0.0,0.7325716007216772,0.6631157964329248,0.0,6.925430296476525,#DIV/0!,inf,1.1689293733254982,1.3216697466199456,0.0,2.0139860139860137,0.7121271782854862,0.9304430975829943
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1.639272214747902,0.6147665293855743,1.1362133166819857,0.7785112332467913,1.905763928385964,3.3046676495616403,0.0,4.3958234267187635,0.9930995778070609,0.8815457634393845,0.6666749933386624,1.0351465292994528,0.6018794883244187,0.4489104005183839
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,33.43956043956044,1.256906989543203,1.4241280942302381,0.0,4.482779456193353,0.0,14.461847389558233,1.324054659626164,0.4096719037312069,#DIV/0!,#DIV/0!,1.1316960313222992,1.372025465109092
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,#DIV/0!,0.0,1.0467436029297466,0.0,0.0,1.90259418130784,0.0,#DIV/0!,1.4054340292684935,0.0,#DIV/0!,0.0,1.2673620642327752,0.4475818729645944
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",#DIV/0!,inf,0.740620957309185,0.753693096171239,inf,inf,inf,inf,1.89190460194827,0.47530986666666664,0.047918303220738416,inf,inf,inf
11,Livingston & Wyoming Counties PUMA,0.0,0.0,1.2191719171917192,1.27241531990259,0.0,1.9097086298932386,#DIV/0!,0.0,1.5115653338791846,0.9549594478355209,#DIV/0!,#DIV/0!,0.0,1.2106242729740209
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,0.0,0.0,0.7515105592003051,1.385612259022735,0.8157079732884718,1.3114341957004858,0.0,inf,0.5227016576350567,0.4434177157242376,1.022830154360537,1.091421118311642,0.45112667155648806,0.5118653463134171
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,2.2906998970286288,#DIV/0!,0.7140628908926765,1.1576151695198884,1.2882763601348097,0.7596868042432974,#DIV/0!,#DIV/0!,0.61243134151114,1.0617766723604571,0.0,inf,0.9787932350459969,0.36978259312142614
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.09121618250844345,0.6562952836637046,10.840792271502,0.6283380585932227,#DIV/0!,0.0,1.7738813158010631,1.2506839779935717,2.7388510032870528,0.0,0.33623655008827275,0.6853306185766919
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0.0,inf,1.0603005643364953,0.8944811622718654,4.9486290699485895,0.0,#DIV/0!,0.0,1.035242914666406,0.2571251674384768,4.238720357252849,inf,1.1474379982852747,0.9305081796566703
16,Monroe County (Central)--Rochester City (East) PUMA,0.0,#DIV/0!,1.1571972834189168,0.7492480078239357,17.158138401559455,1.4397346830394397,#DIV/0!,0.0,0.9926850270419969,1.2543413499917717,#DIV/0!,2.325657894736842,1.7177212234415131,1.1176270562855024
17,Westchester County (Northwest) PUMA,0.0,0.0,0.8623262343539883,0.7833663479247563,1.8406745588563773,2.9208148952546606,0.0,7.888685127452778,0.7654557396819168,0.4138404113242988,4.415754923413567,0.6081810923777767,1.073549580769739,0.49660712496279585
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,#DIV/0!,#DIV/0!,#DIV/0!,0.9241573033707866,#DIV/0!,1.4044943820224722,#DIV/0!,inf,inf,0.8573983638518224,#DIV/0!,inf,#DIV/0!,inf
19,Onondaga County (Central)--Syracuse City PUMA,5.153098341232227,10.559809682601005,1.2202845341899955,0.4422407794015309,3.351219663343481,0.0,2.169255298463932,0.0,0.5686106926279412,0.5989720317272073,5.939383658467628,3.4478672985781986,0.5604601115837031,0.7512687873082847
20,Westchester County (Northeast) PUMA,10.050057234432234,0.0,1.221382168091871,0.4583721159812715,5.532873577049286,2.470800653103746,#DIV/0!,inf,0.7231456474003425,0.32462912701585706,0.0,inf,1.0056665533880966,0.8834669431445329
21,Madison & Cortland Counties PUMA,0.0,#DIV/0!,0.7184206023715333,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,0.4572637976856446,0.0,0.0,#DIV/0!,0.7445216947735586,#DIV/0!
22,Erie County (West Central)--Buffalo City (West) PUMA,0.0,6.839574898785425,1.2069784892446223,0.716446474873441,7.195873901647447,2.166538864944428,12.318041770410542,3.767549407114624,0.7805414042844275,0.6060252863699971,0.0,0.7377397611492185,0.5830883743565837,0.5024306206511333
23,Monroe County (Central)--Rochester City (West) PUMA,#DIV/0!,2.403634478044641,#DIV/0!,0.1713659766808855,5.183486238532109,2.630364003792226,#DIV/0!,inf,0.0,0.17558807301182686,6.179856115107913,0.9031976744186045,0.0,0.43273249507589073
24,Suffolk County (Central)--Islip Town (East) PUMA,0.0,#DIV/0!,0.9888873210548222,1.3465761629067678,0.0,0.0,0.0,#DIV/0!,0.41592125314264333,0.7896132037647864,0.92543112960686,#DIV/0!,0.5106845559212773,1.3142772948283483
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,#DIV/0!,0.918513600515049,1.0025092972271579,0.0,2.227628188038745,#DIV/0!,inf,0.8018901448367597,0.3319131232721696,0.0,2.9621212121212124,0.8199068185588675,0.8449045306102723
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",#DIV/0!,inf,#DIV/0!,0.7177855552020362,#DIV/0!,0.49017405951712517,#DIV/0!,inf,inf,0.33162641182690245,#DIV/0!,0.2707456031706713,#DIV/0!,0.0
27,St. Lawrence County PUMA,#DIV/0!,16.155178722528415,0.0,1.3401585986507278,9.528337595907928,2.5389836108908272,#DIV/0!,6.841295546558705,0.0,0.047317549605878854,0.0,0.0,0.5564326335927877,0.4710317251090173
28,Columbia & Greene Counties PUMA,0.0,0.0,0.609148150075454,0.0,4.617420399352402,5.675922088686282,0.0,#DIV/0!,-0.08150750096855833,0.0,#DIV/0!,1.224845338832397,1.2197183098591549,0.1666595683838427
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,0.0,#DIV/0!,0.9637704031667309,1.6260267297786444,2.309302812478191,0.0,3.580092011710582,#DIV/0!,1.1081205421424996,0.6130234925099565,3.7600474477476404,0.0,1.5220690140396338,0.9124585281747172
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",0.44746135394456293,inf,1.1432281576027437,0.8980965095814113,2.5595912923603765,5.0367935799746,inf,inf,1.198444350586495,0.6195743226936785,0.29117944761850517,9.990354904654982,0.8015089976168511,0.6972533428878769
31,Monroe County (North & West) PUMA,#DIV/0!,0.0,#DIV/0!,1.34680488124918,#DIV/0!,0.0,#DIV/0!,0.0,0.0,0.9735260380330594,#DIV/0!,#DIV/0!,#DIV/0!,1.2038740920096853
32,Schenectady County--Schenectady City PUMA,0.0,0.0,1.2074240261064653,1.3184735675107948,0.9004002114324547,0.3428543558924709,5.006312076487514,0.0,1.0876355385058918,0.46376308668561317,0.0,#DIV/0!,0.8534570196515833,1.2173848792213535
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,1.6255030568220705,2.4456950354249383,0.0,0.49152288365304425,0.0,0.5644083843989165,0.6608023439206268,0.943047765719897,0.0,0.31701495935267837,0.8981117817087453,0.7775101053004986
34,Niagara County (North & East) PUMA,0.0,0.0,1.1844769403824522,1.3636468021586863,0.0,3.138921150374297,0.0,0.0,0.7121903434039238,0.8889868011825938,0.0,#DIV/0!,0.0,1.3555913113435238
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,0.0,0.2168421230504064,0.6182093702644859,0.0,0.0,#DIV/0!,0.0,0.8935025363782548,0.6732146628679443,0.0,#DIV/0!,0.9052709741617329,1.4593646102696711
36,Suffolk County (East) PUMA,#DIV/0!,inf,0.9502168615511903,0.9624236449168327,0.0,3.194075226244344,0.0,13.831506010870793,0.4467396904155837,0.4399355126364597,#DIV/0!,0.33386287625418065,1.1156474660513003,0.2435893730975224
37,Warren & Washington Counties PUMA,0.0,0.0,1.2253480694703605,1.3556183874498358,37.01183127572016,0.0,#DIV/0!,0.0,0.14640477438850885,1.2566952937182836,#DIV/0!,#DIV/0!,1.1193579531740285,1.507827865628196
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,0.0,#DIV/0!,1.029073002450697,1.6973601247760008,0.3633275530322826,0.0909879578561883,0.0,#DIV/0!,0.9094688582327695,0.9867062988017565,0.1367940478981476,0.0,1.011777707951849,2.160734330232741
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",0.0,0.0,1.073289499563537,1.5836679491814283,11.284841773213866,0.0,#DIV/0!,#DIV/0!,0.7640240458999973,1.2863979786930582,1.909441325373434,0.20409127783611014,0.3193760307462058,2.5703715532843607
40,Westchester County (Central)--White Plains City PUMA,2.0302757118172936,0.0,1.083157312139194,1.1497221145238814,0.6047296966338207,0.5321684849191995,0.0,0.0,0.7120510059263672,0.951198333151239,0.0,2.0314703005363106,0.9985693188702613,0.8062956088522995
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",#DIV/0!,inf,0.8427102238354507,0.9168121432927938,5.368421052631579,2.698237052169637,#DIV/0!,inf,0.7808550835921566,0.9665295596765686,2.221753713464303,inf,inf,0.8456988653617868
42,Erie County (North Central) PUMA,inf,#DIV/0!,1.1183406496927129,0.5051343161622007,3.670293119189698,5.218252982107356,6.018120752948529,#DIV/0!,2.2654749732741077,2.019309681775559,inf,2.7950633867853245,0.44999936169001786,0.39814643297485114
43,Chautauqua County PUMA,#DIV/0!,#DIV/0!,1.2313407049067036,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,2.666337552324444,0.0,#DIV/0!,#DIV/0!,1.2131147540983607,#DIV/0!
44,Dutchess County (Southwest) PUMA,0.0,5.990213941459974,0.7914922731761959,1.145092643690326,0.0,7.67022303378114,#DIV/0!,6.19706498951782,0.7990372358253078,0.662411376107786,#DIV/0!,2.3190924376836994,0.9150669915894463,0.5150342758927328
45,Westchester County (Southeast) PUMA,0.0,0.44544623924698734,0.8124158629904729,0.6927252219745443,1.8828367027116115,2.6057645517499535,inf,0.0,0.8953475462017747,0.5005047783845146,0.0,inf,0.7541714353605882,0.1467309276771978
46,Rockland County (North)--New City & Congers PUMA,0.8407168747482884,1.4882801477941903,1.2838802462423486,1.1321290806159696,0.0,0.6104168462179322,#DIV/0!,0.0,0.7963913525912574,0.794414420684122,#DIV/0!,1.9358974358974361,1.0494514398818076,0.9008400232183731
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,0.5687249620113275,0.0,0.6365814355697856,0.8368293061173433,1.6570932040610995,3.1063639606652713,#DIV/0!,3.632772966547801,1.0009957676134866,0.8351689148605101,#DIV/0!,7.229815834567203,1.1596775708616116,1.2101689675784142
48,Suffolk County (Southwest)--Islip Town (South) PUMA,0.0,#DIV/0!,0.9258892141721028,#DIV/0!,0.0,21.797169811320753,#DIV/0!,#DIV/0!,0.9645291818221854,0.0,inf,#DIV/0!,0.800995004300933,1.1098835114687162
49,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,0.7211461241347661,1.0819451796187507,13.546602608098835,1.3255375501998048,#DIV/0!,0.0,1.2815264269973754,1.1177823327486194,0.0,0.0,0.8550948814593633,1.628863746549222
50,Wayne & Seneca Counties PUMA,0.0,0.0,0.0,1.3561915556814963,0.0,0.0,#DIV/0!,0.0,0.0,0.9575293372241735,#DIV/0!,#DIV/0!,1.031735834511114,1.2430410460335648
51,Monroe County (South) PUMA,0.0,#DIV/0!,1.34150868354766,0.35446244323291576,1.0615203089334424,0.5916741986404257,9.430750790018523,0.0,1.3019838826714398,1.4376338458607767,2.8502021612879513,0.0,0.9538028507522937,0.6419481452132139
52,Tompkins County PUMA,0.0,0.0,0.7420310077926029,1.1001263350186274,2.4322478351018417,0.0,3.105668703559866,0.0,0.5797750949974929,0.644425018537518,1.720517981156279,#DIV/0!,0.4642514942096738,1.4433902593295382
