,puma,Total_geo,Total_geo_m,Total_geo_f,Total_FT_mf_t,Total_FT_m,Total_FT_f,Total_PT_mf_t,Total_PT_m,Total_PT_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_FT_mf_t,BABS_FT_m,BABS_FT_f,BABS_PT_mf_t,BABS_PT_m,BABS_PT_f,Total_HS,Total_HS_m,Total_HS_f,HS_FT_mf_t,HS_FT_m,HS_FT_f,HS_PT_mf_t,HS_PT_m,HS_PT_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_FT_mf_t,HSINC_FT_m,HSINC_FT_f,HSINC_PT_mf_t,HSINC_PT_m,HSINC_PT_f
0,Total Geo,1356284,734389,621895,1128699,654976,473723,227585,79413,148172,614114,304102,310012,532440,276216,256224,81674,27886,53788,587332,332589,254743,474419,294140,180279,112913,38449,74464,154838,97698,57140,121840,84620,37220,32998,13078,19920
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,19465,11353,8112,17127,10060,7067,2338,1293,1045,16415,8960,7455,15005,8280,6725,1410,680,730,2409,1863,546,1592,1250,342,817,613,204,641,530,111,530,530,0,111,0,111
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,13411,7210,6201,11514,6736,4778,1897,474,1423,6575,2781,3794,5796,2443,3353,779,338,441,4883,3122,1761,4294,3122,1172,589,0,589,1953,1307,646,1424,1171,253,529,136,393
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,7613,3687,3926,6481,3279,3202,1132,408,724,5818,2653,3165,5139,2393,2746,679,260,419,1459,810,649,1266,810,456,193,0,193,336,224,112,76,76,0,260,148,112
4,Madison & Cortland Counties PUMA,330,70,260,247,42,205,83,28,55,208,70,138,137,42,95,71,28,43,42,0,42,30,0,30,12,0,12,80,0,80,80,0,80,0,0,0
5,Ontario & Yates Counties PUMA,1453,841,612,1074,779,295,379,62,317,1281,841,440,953,779,174,328,62,266,172,0,172,121,0,121,51,0,51,0,0,0,0,0,0,0,0,0
6,Monroe County (Central)--Greece & Gates Towns PUMA,1625,955,670,1490,882,608,135,73,62,1034,586,448,1034,586,448,0,0,0,551,329,222,416,256,160,135,73,62,40,40,0,40,40,0,0,0,0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,11945,6809,5136,10928,6667,4261,1017,142,875,7327,3287,4040,6677,3205,3472,650,82,568,3683,2794,889,3388,2734,654,295,60,235,935,728,207,863,728,135,72,0,72
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1443,503,940,1334,444,890,109,59,50,857,232,625,857,232,625,0,0,0,485,271,214,376,212,164,109,59,50,101,0,101,101,0,101,0,0,0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,21406,9715,11691,19398,9238,10160,2008,477,1531,19623,8901,10722,17664,8473,9191,1959,428,1531,1741,772,969,1692,723,969,49,49,0,42,42,0,42,42,0,0,0,0
