,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NRB_mf_t,Total_NRB_m,Total_NRB_f,Total_RB_mf_t,Total_RB_m,Total_RB_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NRB_mf_t,BABS_NRB_m,BABS_NRB_f,BABS_RB_mf_t,BABS_RB_m,BABS_RB_f,Total_HS,Total_HS_m,Total_HS_f,HS_NRB_mf_t,HS_NRB_m,HS_NRB_f,HS_RB_mf_t,HS_RB_m,HS_RB_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NRB_mf_t,HSINC_NRB_m,HSINC_NRB_f,HSINC_RB_mf_t,HSINC_RB_m,HSINC_RB_f
0,Total Geo,858582.0,439396.0,419186.0,676202.0,354379.0,321823.0,182380.0,85017.0,97363.0,332073.0,159687.0,172386.0,282486.0,139159.0,143327.0,49587.0,20528.0,29059.0,403293.0,211992.0,191301.0,309921.0,166923.0,142998.0,93372.0,45069.0,48303.0,123216.0,67717.0,55499.0,83795.0,48297.0,35498.0,39421.0,19420.0,20001.0
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,13947.0,7295.0,6652.0,12032.0,6579.0,5453.0,1915.0,716.0,1199.0,11876.0,5898.0,5978.0,10597.0,5367.0,5230.0,1279.0,531.0,748.0,1846.0,1283.0,563.0,1210.0,1098.0,112.0,636.0,185.0,451.0,225.0,114.0,111.0,225.0,114.0,111.0,0.0,0.0,0.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,2427.0,1392.0,1035.0,2427.0,1392.0,1035.0,0.0,0.0,0.0,941.0,461.0,480.0,941.0,461.0,480.0,0.0,0.0,0.0,1026.0,471.0,555.0,1026.0,471.0,555.0,0.0,0.0,0.0,460.0,460.0,0.0,460.0,460.0,0.0,0.0,0.0,0.0
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,4468.0,2082.0,2386.0,3807.0,1865.0,1942.0,661.0,217.0,444.0,3496.0,1562.0,1934.0,2958.0,1431.0,1527.0,538.0,131.0,407.0,647.0,307.0,340.0,524.0,221.0,303.0,123.0,86.0,37.0,325.0,213.0,112.0,325.0,213.0,112.0,0.0,0.0,0.0
4,Madison & Cortland Counties PUMA,97.0,42.0,55.0,97.0,42.0,55.0,0.0,0.0,0.0,85.0,42.0,43.0,85.0,42.0,43.0,0.0,0.0,0.0,12.0,0.0,12.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Ontario & Yates Counties PUMA,437.0,195.0,242.0,437.0,195.0,242.0,0.0,0.0,0.0,386.0,195.0,191.0,386.0,195.0,191.0,0.0,0.0,0.0,51.0,0.0,51.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Monroe County (Central)--Greece & Gates Towns PUMA,492.0,338.0,154.0,438.0,284.0,154.0,54.0,54.0,0.0,343.0,189.0,154.0,343.0,189.0,154.0,0.0,0.0,0.0,149.0,149.0,0.0,95.0,95.0,0.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,1996.0,1430.0,566.0,1394.0,1114.0,280.0,602.0,316.0,286.0,601.0,343.0,258.0,348.0,203.0,145.0,253.0,140.0,113.0,502.0,502.0,0.0,502.0,502.0,0.0,0.0,0.0,0.0,893.0,585.0,308.0,544.0,409.0,135.0,349.0,176.0,173.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",246.0,119.0,127.0,215.0,119.0,96.0,31.0,0.0,31.0,80.0,60.0,20.0,80.0,60.0,20.0,0.0,0.0,0.0,109.0,59.0,50.0,78.0,59.0,19.0,31.0,0.0,31.0,57.0,0.0,57.0,57.0,0.0,57.0,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,18360.0,7990.0,10370.0,17405.0,7953.0,9452.0,955.0,37.0,918.0,16577.0,7176.0,9401.0,15622.0,7139.0,8483.0,955.0,37.0,918.0,1741.0,772.0,969.0,1741.0,772.0,969.0,0.0,0.0,0.0,42.0,42.0,0.0,42.0,42.0,0.0,0.0,0.0,0.0
10,Suffolk County (Southwest)--Islip Town (South) PUMA,773.0,641.0,132.0,641.0,641.0,0.0,132.0,0.0,132.0,341.0,209.0,132.0,209.0,209.0,0.0,132.0,0.0,132.0,432.0,432.0,0.0,432.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Erie County (Northwest) PUMA,471.0,283.0,188.0,356.0,230.0,126.0,115.0,53.0,62.0,300.0,112.0,188.0,185.0,59.0,126.0,115.0,53.0,62.0,82.0,82.0,0.0,82.0,82.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,89.0,89.0,0.0,0.0,0.0,0.0
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",14556.0,7191.0,7365.0,10037.0,5002.0,5035.0,4519.0,2189.0,2330.0,6386.0,2718.0,3668.0,5671.0,2377.0,3294.0,715.0,341.0,374.0,7029.0,4069.0,2960.0,3817.0,2369.0,1448.0,3212.0,1700.0,1512.0,1141.0,404.0,737.0,549.0,256.0,293.0,592.0,148.0,444.0
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,13753.0,5746.0,8007.0,10716.0,4449.0,6267.0,3037.0,1297.0,1740.0,1117.0,268.0,849.0,821.0,202.0,619.0,296.0,66.0,230.0,10860.0,4515.0,6345.0,8826.0,3664.0,5162.0,2034.0,851.0,1183.0,1776.0,963.0,813.0,1069.0,583.0,486.0,707.0,380.0,327.0
14,Rockland County (North)--New City & Congers PUMA,829.0,339.0,490.0,192.0,89.0,103.0,637.0,250.0,387.0,442.0,339.0,103.0,192.0,89.0,103.0,250.0,250.0,0.0,387.0,0.0,387.0,0.0,0.0,0.0,387.0,0.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",359.0,119.0,240.0,268.0,97.0,171.0,91.0,22.0,69.0,315.0,97.0,218.0,246.0,97.0,149.0,69.0,0.0,69.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,22.0,0.0,22.0,22.0,0.0,22.0,0.0,0.0,0.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,10414.0,4859.0,5555.0,8175.0,3915.0,4260.0,2239.0,944.0,1295.0,3284.0,1252.0,2032.0,2428.0,845.0,1583.0,856.0,407.0,449.0,4072.0,2180.0,1892.0,3114.0,1707.0,1407.0,958.0,473.0,485.0,3058.0,1427.0,1631.0,2633.0,1363.0,1270.0,425.0,64.0,361.0
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,19449.0,10358.0,9091.0,13914.0,7058.0,6856.0,5535.0,3300.0,2235.0,8416.0,3616.0,4800.0,7077.0,2788.0,4289.0,1339.0,828.0,511.0,8236.0,4553.0,3683.0,5249.0,3071.0,2178.0,2987.0,1482.0,1505.0,2797.0,2189.0,608.0,1588.0,1199.0,389.0,1209.0,990.0,219.0
18,Tompkins County PUMA,1485.0,752.0,733.0,1308.0,752.0,556.0,177.0,0.0,177.0,1185.0,452.0,733.0,1008.0,452.0,556.0,177.0,0.0,177.0,252.0,252.0,0.0,252.0,252.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0
