,puma,Total_geo,Total_geo_m,Total_geo_f,Total_Emp_mf_t,Total_emp_m,Total_emp_f,Total_UnEmp_mf_t,Total_UnEmp_m,Total_UnEmp_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_Emp_mf_t,BABS_emp_m,BABS_emp_f,BABS_UnEmp_mf_t,BABS_UnEmp_m,BABS_UnEmp_f,Total_HS,Total_HS_m,Total_HS_f,HS_Emp_mf_t,HS_emp_m,HS_emp_f,HS_UnEmp_mf_t,HS_UnEmp_m,HS_UnEmp_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Emp_mf_t,HSINC_emp_m,HSINC_emp_f,HSINC_UnEmp_mf_t,HSINC_UnEmp_m,HSINC_UnEmp_f
0,Total Geo,1342366,729902,612464,1299132,708812,590320,43234,21090,22144,607267,302934,304333,589073,292626,296447,18194,10308,7886,580870,328992,251878,560410,320572,239838,20460,8420,12040,154229,97976,56253,149649,95614,54035,4580,2362,2218
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",20077,10981,9096,19603,10731,8872,474,250,224,9663,4250,5413,9189,4000,5189,474,250,224,9260,5879,3381,9260,5879,3381,0,0,0,1154,852,302,1154,852,302,0,0,0
2,Ulster County (East) PUMA,2631,781,1850,2331,565,1766,300,216,84,868,391,477,788,311,477,80,80,0,1370,307,1063,1150,171,979,220,136,84,393,83,310,393,83,310,0,0,0
3,Albany County (East Central)--Albany City PUMA,4722,2550,2172,4722,2550,2172,0,0,0,2046,967,1079,2046,967,1079,0,0,0,2420,1327,1093,2420,1327,1093,0,0,0,256,256,0,256,256,0,0,0,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1265,371,894,1265,371,894,0,0,0,799,371,428,799,371,428,0,0,0,67,0,67,67,0,67,0,0,0,399,0,399,399,0,399,0,0,0
5,Ontario & Yates Counties PUMA,1505,841,664,1363,841,522,142,0,142,1191,841,350,1191,841,350,0,0,0,314,0,314,172,0,172,142,0,142,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,4143,2586,1557,4143,2586,1557,0,0,0,2698,2200,498,2698,2200,498,0,0,0,1412,386,1026,1412,386,1026,0,0,0,33,0,33,33,0,33,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,17659,9259,8400,17087,8882,8205,572,377,195,6606,3594,3012,6302,3352,2950,304,242,62,8903,3935,4968,8770,3935,4835,133,0,133,2150,1730,420,2015,1595,420,135,135,0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1456,431,1025,1321,381,940,135,50,85,857,232,625,807,182,625,50,50,0,498,199,299,413,199,214,85,0,85,101,0,101,101,0,101,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,5010,2841,2169,4850,2681,2169,160,160,0,1337,714,623,1263,640,623,74,74,0,3002,1628,1374,2916,1542,1374,86,86,0,671,499,172,671,499,172,0,0,0
