,puma,Total_geo,Total_geo_m,Total_geo_f,Total_NP_mf_t,Total_NP_m,Total_NP_f,Total_P_mf_t,Total_P_m,Total_P_f,Total_BABS,Total_BABS_m,Total_BABS_f,BABS_NP_mf_t,BABS_NP_m,BABS_NP_f,BABS_P_mf_t,BABS_P_m,BABS_P_f,Total_HS,Total_HS_m,Total_HS_f,HS_NP_mf_t,HS_NP_m,HS_NP_f,HS_P_mf_t,HS_P_m,HS_P_f,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_NP_mf_t,HSINC_NP_m,HSINC_NP_f,HSINC_P_mf_t,HSINC_P_m,HSINC_P_f
0,Total Geo,1127776,654643,473133,1008533,575435,433098,119243,79208,40035,531527,275893,255634,506235,258783,247452,25292,17110,8182,474409,294130,180279,409526,253023,156503,64883,41107,23776,121840,84620,37220,92772,63629,29143,29068,20991,8077
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",16985,10135,6850,14668,8415,6253,2317,1720,597,8180,3787,4393,7595,3425,4170,585,362,223,7953,5496,2457,6609,4526,2083,1344,970,374,852,852,0,464,464,0,388,388,0
2,Ulster County (East) PUMA,2145,781,1364,1791,514,1277,354,267,87,801,391,410,618,295,323,183,96,87,1261,307,954,1090,136,954,171,171,0,83,83,0,83,83,0,0,0,0
3,Albany County (East Central)--Albany City PUMA,4267,2315,1952,4001,2049,1952,266,266,0,1797,801,996,1607,611,996,190,190,0,2214,1258,956,2214,1258,956,0,0,0,256,256,0,180,180,0,76,76,0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,1362,535,827,1198,371,827,164,164,0,799,371,428,799,371,428,0,0,0,164,164,0,0,0,0,164,164,0,399,0,399,399,0,399,0,0,0
5,Ontario & Yates Counties PUMA,1074,779,295,1074,779,295,0,0,0,953,779,174,953,779,174,0,0,0,121,0,121,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,3502,2391,1111,3264,2286,978,238,105,133,2193,1960,233,2133,1900,233,60,60,0,1276,431,845,1098,386,712,178,45,133,33,0,33,33,0,33,0,0,0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,14280,8685,5595,12067,7303,4764,2213,1382,831,5541,3352,2189,5250,3061,2189,291,291,0,6724,3738,2986,5151,2899,2252,1573,839,734,2015,1595,420,1666,1343,323,349,252,97
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",1334,444,890,1247,372,875,87,72,15,857,232,625,857,232,625,0,0,0,376,212,164,289,140,149,87,72,15,101,0,101,101,0,101,0,0,0
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4043,2514,1529,3190,1732,1458,853,782,71,1201,662,539,1128,589,539,73,73,0,2488,1498,990,1708,789,919,780,709,71,354,354,0,354,354,0,0,0,0
