,puma,BABS_Home_Ownership_Total,BABS_Home_Ownership_M,BABS_Home_Ownership_F,HS_Home_Ownership_Total,HS_Home_Ownership_M,HS_Home_Ownership_F,HSINC_Home_Ownership_Total,HSINC_Home_Ownership_M,HSINC_Home_Ownership_F
0,Total Geo,51.1144629503739,49.21140555631837,52.76295444633866,41.718263556121286,39.739132330261626,43.79205888315018,36.447344320077626,36.63443250917468,36.214558705892806
1,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",24.009116131589376,25.107930015905477,23.159374450887366,22.397476340694006,11.403215003348961,38.13518696069031,0.0,0.0,0.0
2,Ulster County (East) PUMA,69.96309963099631,24.55242966751918,88.38174273858921,29.87101154107264,25.121951219512194,31.702728127939793,0.0,0.0,0.0
3,Albany County (East Central)--Albany City PUMA,23.375624759707804,34.908389585342334,15.728900255754475,17.479153303399613,19.9438202247191,15.407319952774499,17.46987951807229,26.047904191616766,0.0
4,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,76.88219663418955,52.2911051212938,88.91820580474933,70.995670995671,100.0,0.0,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,76.06943583384998,80.76923076923077,68.11352253756262,83.7579617834395,#DIV/0!,83.7579617834395,#DIV/0!,#DIV/0!,#DIV/0!
6,Suffolk County (North Central)--Brookhaven Town (North) PUMA,81.39603667553979,81.55935173017959,81.05646630236795,84.94749124854143,70.99767981438515,89.63367108339828,100.0,#DIV/0!,100.0
7,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,61.58508158508158,69.97759522031367,54.1968003506465,30.49482163406214,30.600260983036105,30.41166380789022,40.56568663937477,43.349231584525704,34.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",90.66511085180863,74.13793103448276,96.8,85.0889192886457,79.2982456140351,88.78923766816143,68.68131868131869,100.0,62.251655629139066
9,Oneida County (Central)--Greater Utica & Rome Cities PUMA,79.57055214723925,53.36134453781513,100.0,52.24870466321243,52.016129032258064,52.494669509594885,66.08108108108108,74.72527472527473,59.549228944246735
10,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",14.480934538241128,11.896869244935543,18.331503841931944,10.064626496863713,12.32508073196986,7.5181891673403385,5.261921540991309,0.0,10.55110692416392
11,Livingston & Wyoming Counties PUMA,49.13928012519562,57.90554414784395,21.052631578947366,100.0,100.0,100.0,0.0,0.0,0.0
12,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,13.43587842846553,15.858453473132371,10.281569965870307,10.168940870695256,8.26388888888889,11.843711843711842,0.0,0.0,0.0
13,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,86.31372549019608,100.0,79.48265726043505,33.17964480874317,27.204998798365775,47.84660766961652,75.75484452456061,96.06936416184972,62.77695716395865
14,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,27.187297472456258,27.342465753424655,26.96272799365583,77.09152161706906,100.0,57.85123966942148,13.486005089058525,0.0,22.17573221757322
15,Nassau County (Northwest)--North Hempstead Town (North) PUMA,90.43312101910827,91.80687637161668,88.93038143504934,89.36844672031212,85.84070796460178,92.15002180549499,20.768526989935957,21.487603305785125,20.410958904109588
16,Monroe County (Central)--Rochester City (East) PUMA,60.42713567839196,49.88662131519274,73.52112676056338,43.050193050193045,34.285714285714285,47.521865889212826,84.11910669975185,#DIV/0!,84.11910669975185
17,Westchester County (Northwest) PUMA,78.72161480235492,68.61891571032845,90.1749663526245,50.32203864463736,40.50240880935995,57.05854579792257,67.78242677824268,67.72228989037758,67.84037558685446
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,19.67370441458733,23.83222116301239,15.458937198067632,9.251471825063078,7.010710808179163,12.293456708526108,5.336721728081321,0.0,10.909090909090908
19,Onondaga County (Central)--Syracuse City PUMA,25.818373812038015,30.961070559610704,21.875,47.26315789473684,34.55056179775281,63.581730769230774,24.721603563474385,37.640449438202246,16.236162361623617
20,Westchester County (Northeast) PUMA,63.98601398601399,57.414058491534114,70.21897810218978,72.4308300395257,60.95003084515731,85.58303886925796,35.8201581027668,48.75776397515528,24.007561436672965
21,Madison & Cortland Counties PUMA,59.13461538461539,40.0,68.84057971014492,71.42857142857143,#DIV/0!,71.42857142857143,100.0,#DIV/0!,100.0
22,Erie County (West Central)--Buffalo City (West) PUMA,41.19496855345912,46.241674595623216,35.00583430571762,29.08545727136432,17.75244299674267,47.089262613195345,25.064069707842133,37.02127659574468,13.94658753709199
23,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0,56.95538057742782,83.44066237350506,21.76039119804401,56.01023017902813,56.01023017902813,#DIV/0!
24,Suffolk County (Central)--Islip Town (East) PUMA,40.28812717337307,32.01634877384196,45.03518373729476,91.98931909212284,100.0,80.83067092651757,100.0,#DIV/0!,100.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,92.86197564276048,93.26988443235894,92.45791245791246,88.70229007633587,100.0,81.12244897959184,100.0,100.0,#DIV/0!
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",10.968379446640316,0.0,25.773993808049532,3.1223526564201864,6.170772542453959,0.0,0.7269944518844462,0.0,1.401696790852084
27,St. Lawrence County PUMA,77.17391304347827,79.94227994227994,71.15987460815047,52.707581227436826,#DIV/0!,52.707581227436826,100.0,100.0,100.0
28,Columbia & Greene Counties PUMA,89.89473684210526,100.0,82.54545454545455,66.3157894736842,66.10169491525424,66.39344262295081,100.0,#DIV/0!,100.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,43.97720271102896,43.32778702163061,44.536851161456845,62.119437939110064,62.098765432098766,62.1380846325167,0.0,0.0,0.0
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",60.68460259804224,63.000272257010614,58.77261998426436,46.140828489441546,43.57066950053135,49.33201385452746,47.564338235294116,47.87096774193548,47.39471805852962
31,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!,100.0,100.0,100.0,0.0,0.0,#DIV/0!
32,Schenectady County--Schenectady City PUMA,67.00889801505818,62.431693989071036,71.60493827160494,96.28501827040195,100.0,92.84037558685446,100.0,100.0,100.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",46.71504965622613,30.19502353732347,68.43501326259947,36.98560541913633,35.41102077687444,37.93010024383636,42.5206124852768,75.46174142480211,15.957446808510639
34,Niagara County (North & East) PUMA,42.857142857142854,62.68656716417911,0.0,54.11764705882353,0.0,100.0,100.0,100.0,100.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,69.13419913419914,54.83870967741935,81.79591836734694,65.90771098967821,53.861955628594906,100.0,100.0,100.0,100.0
36,Suffolk County (East) PUMA,67.85920369301789,49.196538936959215,84.19913419913419,24.690837549184934,29.777025119954843,19.64735516372796,37.76881720430107,32.97180043383948,45.583038869257955
37,Warren & Washington Counties PUMA,97.02734839476813,100.0,94.52954048140045,60.06191950464397,0.0,100.0,100.0,100.0,100.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,56.139850838439976,54.46364290856731,57.238342376346615,55.87750294464075,42.672413793103445,68.66017617060733,79.89864864864865,81.18556701030928,77.45098039215686
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",3.828954723309111,0.0,6.492890995260664,35.12422360248447,28.373702422145332,43.00134589502019,24.61928934010152,31.25,19.690265486725664
40,Westchester County (Central)--White Plains City PUMA,68.00416883793643,58.14294697128485,77.75704809286898,51.071761416589,49.93528904227782,52.90434782608696,14.195914091147197,13.091309130913093,15.2
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",8.50025680534155,7.813525935653316,8.941374947279629,10.70533476548514,10.348810348810348,11.08641975308642,2.3131672597864767,3.9720646006110867,0.0
42,Erie County (North Central) PUMA,39.87029831387808,33.69815668202765,44.926852288815475,57.45393634840871,70.71428571428572,45.74132492113564,34.84848484848485,65.18218623481782,0.0
43,Chautauqua County PUMA,79.23627684964201,51.66666666666667,100.0,33.03964757709251,33.03964757709251,#DIV/0!,74.29906542056075,0.0,100.0
44,Dutchess County (Southwest) PUMA,79.33962264150944,86.99070764832022,73.32959011791128,52.076209086468005,53.17095588235294,50.83420229405631,90.86538461538461,77.22772277227723,93.49904397705545
45,Westchester County (Southeast) PUMA,56.601248884924175,39.94988864142539,75.68602425015955,15.521445990532204,9.672961768770152,25.18067706352225,44.861253854059605,40.17501988862371,53.41074020319303
46,Rockland County (North)--New City & Congers PUMA,92.43021065250899,90.00884173297966,95.78904333605888,93.02428909952607,100.0,86.94567627494457,100.0,100.0,100.0
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,90.13333333333333,91.14740875176447,88.88888888888889,86.84141546526868,79.05001572821642,92.40620085374073,73.06532663316582,86.52094717668488,56.502242152466366
48,Suffolk County (Southwest)--Islip Town (South) PUMA,82.87292817679558,77.88359788359789,87.38049713193116,71.31147540983606,62.74118429807053,100.0,100.0,100.0,100.0
49,Erie County (West Central)--Buffalo City (East) PUMA,40.75112107623318,31.766489764973464,66.23655913978494,80.7567127746135,74.61322081575246,89.1891891891892,#DIV/0!,#DIV/0!,#DIV/0!
50,Wayne & Seneca Counties PUMA,80.98591549295774,66.25,100.0,100.0,100.0,100.0,#DIV/0!,#DIV/0!,#DIV/0!
51,Monroe County (South) PUMA,72.31493367565255,68.97302001740644,75.54713804713805,67.87271142109851,89.3854748603352,54.11007862759114,69.11942098914355,71.42857142857143,66.40419947506561
52,Tompkins County PUMA,43.534844668345926,46.844919786096256,41.395991706979956,84.58715596330275,62.83185840707964,100.0,0.0,0.0,#DIV/0!
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,32.36923076923077,53.042328042328045,14.384349827387801,100.0,100.0,100.0,50.467289719626166,54.75578406169666,39.04109589041096
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",5.120481927710843,0.0,7.234042553191489,94.76190476190476,81.19658119658119,100.0,0.0,#DIV/0!,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,25.419534800017995,25.529265255292653,25.33555714399174,21.858168761220824,0.0,33.4478021978022,0.0,0.0,#DIV/0!
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",25.386626007405795,21.12398323884644,28.760975609756095,47.235023041474655,75.64575645756457,0.0,100.0,#DIV/0!,100.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",12.523447967842788,13.618752421542037,11.586275484833417,3.2275301913006307,1.4299332697807436,5.520428015564202,3.889484978540773,4.869039623908663,0.0
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,79.22894258974718,79.95501827382625,78.51193781232648,53.160345974717224,53.57222345871355,52.85335102853351,53.08724832214765,51.504629629629626,55.27156549520767
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",38.41824644549763,43.078175895765476,35.754189944134076,33.73825018076645,47.353662811076056,24.1752831117676,15.880370682392586,19.88950276243094,12.5
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,75.75498575498575,86.96904247660187,68.41112682696841,84.2666137145883,80.50785083415113,88.67165037377804,80.66921258410619,89.36547323644098,71.50858849887976
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",26.40480849874196,17.691001697792867,32.50178189593728,35.63560583506996,25.33123736806647,55.894039735099334,0.0,#DIV/0!,0.0
62,Saratoga County (South & Central) PUMA,81.73076923076923,72.11009174311927,100.0,73.47826086956522,43.69230769230769,100.0,47.96747967479675,100.0,37.254901960784316
63,Cattaraugus & Allegany Counties PUMA,61.05610561056105,73.17073170731707,35.714285714285715,23.52941176470588,#DIV/0!,23.52941176470588,#DIV/0!,#DIV/0!,#DIV/0!
64,Genesee & Orleans Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!,83.09409888357257,90.73275862068965,61.34969325153374,100.0,#DIV/0!,100.0
65,Cayuga & Onondaga (South) Counties PUMA,68.24457593688363,66.77966101694915,70.28301886792453,67.96116504854369,70.1058201058201,66.48451730418944,22.093023255813954,28.26086956521739,19.841269841269842
66,Sullivan & Ulster (West) Counties PUMA,74.32712215320912,89.47368421052632,61.81474480151229,57.276198557488335,46.58077304261645,65.28189910979229,54.478398314014754,75.69546120058565,0.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",7.94088669950739,5.761316872427984,9.943289224952741,6.249433928086224,4.614745011086475,9.333333333333334,0.0,0.0,0.0
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,79.53747072599532,70.04169148302562,88.71617731721358,71.16626997619858,70.27880063124671,72.78846153846153,47.79240898528273,46.82651622002821,48.96907216494845
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,21.105783202557397,19.304902109576567,22.7595818815331,22.930397042276162,19.910133250697243,26.18570474281897,34.83735571878279,38.39541547277937,30.50058207217695
70,Jefferson & Lewis Counties PUMA,13.40782122905028,15.774647887323944,11.080332409972298,55.63636363636364,80.4945054945055,46.6864490603363,50.0,#DIV/0!,50.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,86.93599888935167,85.12903225806451,88.301242992932,80.298300381547,82.82081608515671,76.71979865771812,73.21782178217822,58.607498087222645,100.0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,62.76809651474531,71.15526122148638,55.753846153846155,63.30775219664109,70.37133212152688,58.01556420233464,47.88519637462236,38.658577687900234,75.12437810945273
73,Orange County (Northeast)--Greater Newburgh City PUMA,75.01150483202946,63.660477453580896,81.0429880197322,69.6657294595439,69.42307692307692,70.11596788581623,48.80546075085324,48.80546075085324,#DIV/0!
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",39.06386701662292,19.872537659327925,50.70274068868588,22.5187265917603,28.720000000000002,13.769751693002258,21.875,29.287598944591032,4.848484848484849
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",56.84971663083839,45.611702127659576,72.87814129919393,40.778923253150055,40.53130929791271,41.0800830833141,39.95441224356887,49.06065485775631,25.91059602649007
76,Erie County (Central) PUMA,54.881889763779526,48.484848484848484,66.74157303370787,53.965053763440864,37.977965003240435,71.17934403349616,100.0,#DIV/0!,100.0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",74.2039068771742,78.41852337265182,71.29503995175637,68.78295936304414,69.04061212477927,68.49584608657631,52.72094035698738,44.95335029686175,60.91234347048301
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",51.370703764320794,53.21949484169335,50.2211900022119,32.27823670192234,30.418124271197733,33.884892086330936,46.038803556992725,44.5945945945946,47.940074906367045
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",46.60128508623605,48.22848879248012,45.1715374841169,12.483311081441922,13.833746898263028,10.910404624277456,37.821482602118,52.64797507788161,23.823529411764703
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,50.21660649819495,60.418482999128166,43.0067775723968,27.561225798179258,33.62246398118201,22.874033651659843,54.80019493177388,48.287841191067,61.0818573480134
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,67.74356385663806,76.44824311490979,57.866379310344826,82.8649138712602,64.31226765799256,88.84892086330936,67.9245283018868,43.333333333333336,100.0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",39.73564642709624,41.48369926813041,38.01083210241261,31.633206728160605,15.492957746478872,100.0,0.0,#DIV/0!,0.0
83,"Chenango, Delaware & Broome (East) Counties PUMA",89.44444444444444,79.7872340425532,100.0,100.0,100.0,100.0,70.64676616915423,65.29411764705883,100.0
84,Orange County (Northwest) PUMA,92.23826714801444,90.69767441860465,93.32648870636551,48.997517662784034,51.964512040557665,46.55052264808363,42.153284671532845,0.0,66.76300578034682
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,36.63760424564064,41.82156133828997,33.06658130601793,33.10333497617874,31.05629348513599,35.31623931623932,13.050895649701449,9.396825396825397,16.01441812564367
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,80.57457825288125,58.58262108262108,100.0,48.87770897832817,100.0,16.233354470513632,100.0,100.0,#DIV/0!
87,Dutchess County (North & East) PUMA,68.89952153110048,79.96715927750411,62.5587958607714,59.93690851735016,55.6732223903177,69.6551724137931,45.2589641434263,35.32550693703308,74.52830188679245
88,Putnam County PUMA,81.43891017454236,76.47058823529412,84.1688654353562,71.97309417040358,56.95364238410596,79.66101694915254,65.79925650557621,87.84119106699751,0.0
89,Albany County (Outside Albany City) PUMA,67.16672996581846,60.3071948261924,73.24498567335243,66.06354810238305,50.970017636684304,81.18374558303887,100.0,100.0,100.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",20.411899313501145,18.541548897682304,28.365384615384613,52.098849018280305,47.71404821280133,55.11136493432325,59.055982436882545,16.36904761904762,84.0
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,13.465087665333744,10.618172128963495,17.351764277919244,17.29060451565914,15.058645478622775,19.644816921081514,11.820595221461506,9.135226791013142,17.01517015170152
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",29.08749216955523,27.892409727339718,30.650602409638555,30.778515389257695,34.7355397463656,27.010309278350515,40.112676056338024,36.94267515923567,47.784200385356456
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,86.32893823733518,80.04052684903749,100.0,100.0,100.0,100.0,100.0,100.0,100.0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,84.48085419734905,85.22476050110538,83.73804267844002,66.92063492063492,76.70549084858568,60.8829568788501,100.0,100.0,#DIV/0!
95,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!,62.11453744493392,0.0,71.93877551020408,#DIV/0!,#DIV/0!,#DIV/0!
