,puma,BABS_Poverty_Total,BABS_Poverty_M,BABS_Poverty_F,HS_Poverty_Total,HS_Poverty_M,HS_Poverty_F,HSINC_Poverty_Total,HSINC_Poverty_M,HSINC_Poverty_F
0,Total Geo,10.589782787452705,10.339714783286446,10.806307897525663,21.68131005970498,19.123890127738864,24.366187142673834,34.57401096458735,30.631144545559884,39.47406316115954
1,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,6.740083613745284,0.5133928571428571,11.976722357799888,25.357809583074054,16.681943171402384,43.701550387596896,14.212548015364918,0.0,100.0
2,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,0.31763568567877365,0.7348242811501597,0.0,6.087408949011446,2.8385570668243645,10.696308724832216,7.524752475247524,6.197398622800306,9.957924263674615
3,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,8.179339594062405,13.32263242375602,3.584743332377402,5.035128805620609,10.617283950617285,0.0,74.10714285714286,61.16071428571429,100.0
4,Madison & Cortland Counties PUMA,9.615384615384617,0.0,14.492753623188406,28.57142857142857,#DIV/0!,28.57142857142857,0.0,#DIV/0!,0.0
5,Ontario & Yates Counties PUMA,8.74147551146931,0.0,23.53923205342237,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,#DIV/0!
6,Monroe County (Central)--Greece & Gates Towns PUMA,31.09090909090909,0.0,48.214285714285715,9.800362976406534,16.41337386018237,0.0,0.0,0.0,#DIV/0!
7,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,0.0,0.0,0.0,2.4873219029219995,0.0,8.736217133163699,0.0,0.0,0.0
8,"Clinton, Franklin, Essex & Hamilton Counties PUMA",0.0,0.0,0.0,33.10533515731874,25.263157894736842,38.11659192825112,0.0,0.0,0.0
9,NYC-Manhattan Community District 8--Upper East Side PUMA,4.517028838799658,1.9821502698215026,6.456993090302597,0.0,0.0,0.0,0.0,0.0,#DIV/0!
10,Suffolk County (Southwest)--Islip Town (South) PUMA,5.63872255489022,0.0,10.803059273422562,26.997950819672127,12.77445109780439,74.61024498886414,70.7165109034268,100.0,0.0
11,Erie County (Northwest) PUMA,15.582655826558264,16.614420062695924,14.797136038186157,41.00185528756957,27.424749163879596,57.91666666666667,49.44444444444444,49.44444444444444,#DIV/0!
12,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",9.813458105029857,9.025319901987476,10.464201416207711,32.595099698329776,27.948990435706694,38.363846280719116,43.060661764705884,34.96774193548387,47.53747323340471
13,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,23.862815884476536,21.970357454228424,25.200246457178068,16.14950634696756,13.172596295207292,18.45156889495225,34.50292397660819,37.32009925558313,31.78554332216372
14,Rockland County (North)--New City & Congers PUMA,2.4319232745333106,0.0,5.80539656582175,5.257701421800948,3.1488549618320607,7.095343680709535,0.0,0.0,0.0
15,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",20.783132530120483,0.0,29.361702127659573,13.571428571428571,48.717948717948715,0.0,100.0,#DIV/0!,100.0
16,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,5.5534495830174375,13.615241635687733,0.0,27.336947593231475,26.217583807716633,28.547008547008545,21.950526016491327,19.238095238095237,24.150360453141094
17,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,14.898350120496817,14.500491780244484,15.210677255680565,30.371914283853318,29.434335932664936,31.41325268078086,38.70302474793767,37.914986037852934,40.92900964066608
18,Tompkins County PUMA,9.319899244332493,4.81283422459893,12.232204561161023,0.0,0.0,0.0,100.0,100.0,#DIV/0!
19,Dutchess County (Southwest) PUMA,1.5408805031446542,0.0,2.7512633352049414,33.61016121152907,34.19117647058824,32.95099061522419,23.717948717948715,0.0,28.298279158699806
20,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,6.83850604944766,7.007963594994311,6.692759295499022,18.358019466779517,15.161096055404998,22.46278755074425,32.851874615857405,38.604651162790695,17.547806524184477
21,Westchester County (Northwest) PUMA,3.280067283431455,0.0,6.998654104979811,15.597871744609353,9.841706813489333,19.54674220963173,12.671846981470413,0.0,24.88262910798122
22,Albany County (Outside Albany City) PUMA,6.9502468666919865,8.205335489086501,5.83810888252149,8.25242718446602,16.490299823633155,0.0,0.0,0.0,0.0
23,Monroe County (South) PUMA,18.463842533162172,20.800696257615318,16.203703703703702,19.783549783549784,25.139664804469277,16.395759717314487,15.440289505428225,28.57142857142857,0.0
24,Jefferson & Lewis Counties PUMA,0.0,0.0,0.0,25.818181818181817,15.10989010989011,29.673590504451035,50.0,#DIV/0!,50.0
25,"Chenango, Delaware & Broome (East) Counties PUMA",7.725321888412018,0.0,12.949640287769784,12.066115702479339,0.0,17.42243436754177,46.766169154228855,55.294117647058826,0.0
26,Erie County (Central) PUMA,11.496062992125983,17.696969696969695,0.0,33.66935483870967,46.20868438107583,20.167480809490577,100.0,100.0,100.0
27,St. Lawrence County PUMA,20.75098814229249,13.275613275613276,36.990595611285265,52.707581227436826,#DIV/0!,52.707581227436826,52.0,100.0,0.0
28,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",14.130003963535472,12.860713474210407,15.111579687225444,21.342479176874082,24.21299397186872,17.292700212615166,49.84126984126984,45.539906103286384,58.82352941176471
29,Suffolk County (North Central)--Brookhaven Town (North) PUMA,1.774622892635315,2.628120893561104,0.0,20.945157526254377,10.440835266821345,24.473889321901794,0.0,#DIV/0!,0.0
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,12.158307582600427,15.651915651915651,9.827620368535763,31.735630031829242,19.336219336219337,45.11483067341378,26.614481409001954,33.08270676691729,21.20395327942498
31,Cayuga & Onondaga (South) Counties PUMA,16.370808678500985,28.135593220338983,0.0,43.689320388349515,67.72486772486772,27.140255009107467,77.90697674418605,71.73913043478261,80.15873015873017
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,15.891741845940318,23.2016210739615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,0.0,0.0,0.0,12.8739800543971,0.0,17.026378896882495,0.0,0.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,7.462356067316208,3.528937285743093,12.251411735821263,10.52424639580603,15.570934256055363,6.919793304875308,31.959798994974875,12.2040072859745,56.27802690582959
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,65.83850931677019,65.83850931677019,#DIV/0!,0.0,0.0,0.0,0.0,#DIV/0!,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,3.4199134199134202,7.281105990783409,0.0,21.281117182756525,28.80032867707477,0.0,0.0,0.0,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",29.456906729634003,30.980713992613868,28.052930056710775,39.905805633547686,30.085920177383592,58.43137254901961,50.15739769150053,54.876462938881666,46.965699208443276
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,29.4217163949554,26.019184652278177,34.0669334303383,18.693857732459335,18.454407869844875,18.94642322657887,29.188207349448092,21.00466299279356,45.018450184501845
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",7.1041859236762175,4.684375892602113,9.18467583497053,30.66184074457084,16.7,45.610278372591004,24.539877300613497,#DIV/0!,24.539877300613497
41,Suffolk County (Central)--Islip Town (East) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,4.635761589403973,100.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",21.55605131065254,16.869918699186993,24.834123222748815,6.118012422360248,8.016147635524797,3.9030955585464335,52.28426395939086,47.61904761904761,55.75221238938053
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",12.51958313466385,12.493736428929347,12.537382102599496,33.07886826661577,33.358895705521476,32.86281802045474,41.03614028841018,32.856678583035425,50.944881889763785
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,12.800603903806751,3.8338658146964857,18.096054888507716,17.77917614598964,12.877997914494266,23.94273849852475,24.586430112682812,17.36842105263158,40.158970476911435
45,Saratoga County (Outer) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",22.37926972909305,17.019543973941367,25.415129151291517,31.279826464208245,23.55415352260778,36.70605612998523,36.478517270429656,33.97790055248619,38.58695652173913
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",5.810147299509002,10.387762362148703,2.96394602963946,16.04261561028333,21.322671997334666,11.482014388489208,23.403395311236864,24.608819345661452,21.816479400749063
48,Wayne & Seneca Counties PUMA,19.014084507042252,33.75,0.0,4.576659038901601,100.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
49,Schenectady County--Schenectady City PUMA,8.829568788501026,13.114754098360656,4.526748971193416,3.714981729598051,0.0,7.159624413145541,44.66019417475729,0.0,100.0
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,11.574512901527118,11.275899672846238,11.85336048879837,36.49524334758031,25.768207113476894,50.705128205128204,22.795255286230017,27.647058823529413,19.00826446280992
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,3.872611464968153,1.2923677151914166,6.695118698319552,1.2435991221653255,2.820796460176991,0.0,33.94327538883806,22.31404958677686,39.726027397260275
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,6.862745098039216,0.0,10.2880658436214,8.743169398907105,8.627733717856284,9.026548672566372,50.698512843623256,42.19653179190752,56.12998522895125
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",7.267120498050852,3.7371829465731246,9.943734015345267,41.877067734633464,43.53846153846154,39.71119133574007,46.81528662420382,66.81818181818183,0.0
54,Columbia & Greene Counties PUMA,44.0,7.5,70.54545454545455,48.87218045112782,33.89830508474576,54.30327868852459,0.0,#DIV/0!,0.0
55,Rensselaer County--Troy City PUMA,8.62173649058895,4.4075558099599315,13.380736910148675,13.184931506849315,0.0,18.421052631578945,100.0,#DIV/0!,100.0
56,Erie County (West Central)--Buffalo City (West) PUMA,48.84696016771489,36.917221693625116,63.477246207701285,69.66516741629185,74.51140065146579,61.96636481241915,53.1009738595592,35.0,69.93076162215628
57,Erie County (South) PUMA,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,4.478527607361963,10.224089635854341,0.0,43.79274611398964,51.08870967741935,36.07675906183369,53.986486486486484,0.0,94.78054567022538
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",10.62974542206342,8.349476946919799,12.580805569368472,22.07438281500481,9.8093422306959,37.71887159533074,40.50429184549356,37.038280725319005,54.266666666666666
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,8.04953560371517,8.476944573823939,7.745779543197617,32.61211644374508,34.589196550158874,31.10031239153072,40.49227799227799,29.02902902902903,51.16495806150979
61,NYC-Manhattan Community District 10--Central Harlem PUMA,11.447419480015522,6.871218668971478,15.176056338028168,42.2625804010594,38.029179622099974,46.985058697972256,47.79330228432025,40.17857142857143,55.31070956368445
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,4.65361128658665,2.492581602373887,7.112311501237903,11.662531017369728,13.187748156551333,10.045112781954888,23.029259896729776,23.688862698880378,22.102649006622517
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,9.519450800915331,0.0,20.096618357487923,36.73919030570091,39.376770538243626,33.04692663582287,43.20203303684879,21.144278606965177,66.23376623376623
64,Albany County (East Central)--Albany City PUMA,27.720107650903497,25.07232401157184,29.475703324808183,5.676715843489416,6.811797752808989,4.7225501770956315,42.971887550200805,46.10778443113773,36.58536585365854
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,5.38965768390386,0.0,9.626016260162602,4.057971014492753,5.090696313633704,2.932738284985655,43.717948717948715,0.0,100.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0.0,0.0,0.0,100.0,100.0,100.0,0.0,#DIV/0!,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",22.943347080529627,16.67891256429096,31.989389920424404,42.17609705241209,31.252242554718336,54.41028732167973,52.81531531531532,31.630740393626994,72.41977450130095
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",24.561403508771928,16.227064220183486,33.866837387964146,28.790996006293113,23.104520449653194,34.61538461538461,43.8492443083987,34.10174880763116,52.89561047583917
